NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MGST1	microsomal glutathione S-transferase 1 [Source:HGNC Symbol;Acc:HGNC:7061]	25	0.7691357731819153	-0.0059138443	No	
row_1	NOCT	nocturnin [Source:HGNC Symbol;Acc:HGNC:14254]	82	0.4473187029361725	-0.05417525	No	
row_2	ITGA6	integrin subunit alpha 6 [Source:HGNC Symbol;Acc:HGNC:6142]	123	0.386333703994751	-0.086813435	No	
row_3	BNIP3	BCL2 interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:1084]	153	0.34533846378326416	-0.10868506	No	
row_4	SLC25A1	solute carrier family 25 member 1 [Source:HGNC Symbol;Acc:HGNC:10979]	184	0.3033995032310486	-0.13278902	No	
row_5	NABP1	nucleic acid binding protein 1 [Source:HGNC Symbol;Acc:HGNC:26232]	194	0.29346030950546265	-0.1344631	No	
row_6	GSR	glutathione-disulfide reductase [Source:HGNC Symbol;Acc:HGNC:4623]	221	0.2731231153011322	-0.15507384	No	
row_7	CYB5B	cytochrome b5 type B [Source:HGNC Symbol;Acc:HGNC:24374]	332	-0.2708953619003296	-0.26655653	No	
row_8	ISOC1	isochorismatase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24254]	343	-0.27380284667015076	-0.26985133	No	
row_9	DNAJC15	DnaJ heat shock protein family (Hsp40) member C15 [Source:HGNC Symbol;Acc:HGNC:20325]	348	-0.27536019682884216	-0.26661685	No	
row_10	CDIP1	cell death inducing p53 target 1 [Source:HGNC Symbol;Acc:HGNC:13234]	376	-0.2825339734554291	-0.28805035	No	
row_11	PDAP1	PDGFA associated protein 1 [Source:HGNC Symbol;Acc:HGNC:14634]	378	-0.283441424369812	-0.28135082	No	
row_12	ACADS	acyl-CoA dehydrogenase short chain [Source:HGNC Symbol;Acc:HGNC:90]	401	-0.29049646854400635	-0.29716033	No	
row_13	PON2	paraoxonase 2 [Source:HGNC Symbol;Acc:HGNC:9205]	407	-0.29359495639801025	-0.29450637	No	
row_14	GPD1	glycerol-3-phosphate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:4455]	421	-0.29793640971183777	-0.30038193	No	
row_15	PDHB	pyruvate dehydrogenase E1 subunit beta [Source:HGNC Symbol;Acc:HGNC:8808]	433	-0.30037587881088257	-0.30402833	No	
row_16	LONP2	lon peptidase 2, peroxisomal [Source:HGNC Symbol;Acc:HGNC:20598]	444	-0.3047015368938446	-0.30647492	No	
row_17	ME1	malic enzyme 1 [Source:HGNC Symbol;Acc:HGNC:6983]	460	-0.31156548857688904	-0.3141385	No	
row_18	SAMM50	SAMM50 sorting and assembly machinery component [Source:HGNC Symbol;Acc:HGNC:24276]	468	-0.3135656416416168	-0.31309855	No	
row_19	CS	citrate synthase [Source:HGNC Symbol;Acc:HGNC:2422]	486	-0.3227536976337433	-0.32261717	No	
row_20	DLAT	dihydrolipoamide S-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:2896]	494	-0.32490524649620056	-0.3212659	No	
row_21	NDUFB2	NADH:ubiquinone oxidoreductase subunit B2 [Source:HGNC Symbol;Acc:HGNC:7697]	536	-0.346210241317749	-0.35608658	No	
row_22	LTC4S	leukotriene C4 synthase [Source:HGNC Symbol;Acc:HGNC:6719]	541	-0.34869566559791565	-0.35083902	No	
row_23	FMC1-LUC7L2	FMC1-LUC7L2 readthrough [Source:HGNC Symbol;Acc:HGNC:44671]	566	-0.3654590845108032	-0.36675292	No	
row_24	DHRS7B	dehydrogenase/reductase 7B [Source:HGNC Symbol;Acc:HGNC:24547]	580	-0.372200608253479	-0.37058988	No	
row_25	TUFM	Tu translation elongation factor, mitochondrial [Source:HGNC Symbol;Acc:HGNC:12420]	583	-0.3741648495197296	-0.36248103	No	
row_26	CYB5A	cytochrome b5 type A [Source:HGNC Symbol;Acc:HGNC:2570]	594	-0.3842770457267761	-0.36274323	No	
row_27	UQCR10	ubiquinol-cytochrome c reductase, complex III subunit X [Source:HGNC Symbol;Acc:HGNC:30863]	651	-0.4226956367492676	-0.41168055	No	
row_28	NDUFS1	NADH:ubiquinone oxidoreductase core subunit S1 [Source:HGNC Symbol;Acc:HGNC:7707]	683	-0.4391177296638489	-0.43314004	Yes	
row_29	HIPK2	homeodomain interacting protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:14402]	688	-0.444011926651001	-0.425276	Yes	
row_30	DECR1	2,4-dienoyl-CoA reductase 1 [Source:HGNC Symbol;Acc:HGNC:2753]	706	-0.4561264216899872	-0.43113348	Yes	
row_31	RETSAT	retinol saturase [Source:HGNC Symbol;Acc:HGNC:25991]	707	-0.45730364322662354	-0.41858026	Yes	
row_32	ATP5F1D	ATP synthase F1 subunit delta [Source:HGNC Symbol;Acc:HGNC:837]	711	-0.4586392045021057	-0.4092336	Yes	
