NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SGK1	serum/glucocorticoid regulated kinase 1 [Source:HGNC Symbol;Acc:HGNC:10810]	5	1.3375345468521118	0.12948518	Yes	
row_1	HMGCS1	3-hydroxy-3-methylglutaryl-CoA synthase 1 [Source:HGNC Symbol;Acc:HGNC:5007]	7	1.1506723165512085	0.24425271	Yes	
row_2	ACTB	actin beta [Source:HGNC Symbol;Acc:HGNC:132]	10	1.093573808670044	0.35225314	Yes	
row_3	GLS	glutaminase [Source:HGNC Symbol;Acc:HGNC:4331]	45	0.5871861577033997	0.37661076	Yes	
row_4	CYP51A1	cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649]	47	0.5835601687431335	0.43431136	Yes	
row_5	EGR1	early growth response 1 [Source:HGNC Symbol;Acc:HGNC:3238]	55	0.5612092614173889	0.48363414	Yes	
row_6	JUNB	JunB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6205]	56	0.5586668848991394	0.53985125	Yes	
row_7	FOSL2	FOS like 2, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3798]	91	0.43129971623420715	0.5485225	Yes	
row_8	APP	amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]	96	0.4257490634918213	0.5872786	Yes	
row_9	HBEGF	heparin binding EGF like growth factor [Source:HGNC Symbol;Acc:HGNC:3059]	120	0.3883298337459564	0.6028618	Yes	
row_10	ATP2B1	ATPase plasma membrane Ca2+ transporting 1 [Source:HGNC Symbol;Acc:HGNC:814]	149	0.3527038097381592	0.60975283	Yes	
row_11	AREG	amphiregulin [Source:HGNC Symbol;Acc:HGNC:651]	163	0.32985934615135193	0.6296668	Yes	
row_12	MAPK1IP1L	mitogen-activated protein kinase 1 interacting protein 1 like [Source:HGNC Symbol;Acc:HGNC:19840]	232	0.2588394284248352	0.5862545	No	
row_13	SMCO4	single-pass membrane protein with coiled-coil domains 4 [Source:HGNC Symbol;Acc:HGNC:24810]	369	-0.2809602618217468	0.47560945	No	
row_14	ACTG1	actin gamma 1 [Source:HGNC Symbol;Acc:HGNC:144]	520	-0.33788469433784485	0.35639226	No	
row_15	IFNGR2	interferon gamma receptor 2 [Source:HGNC Symbol;Acc:HGNC:5440]	608	-0.391225129365921	0.306894	No	
row_16	TBX3	T-box transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:11602]	654	-0.4236731231212616	0.30356178	No	
row_17	UCP2	uncoupling protein 2 [Source:HGNC Symbol;Acc:HGNC:12518]	694	-0.4447386562824249	0.30847803	No	
