NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	S100A6	S100 calcium binding protein A6 [Source:HGNC Symbol;Acc:HGNC:10496]	1	2.1524081230163574	0.084784865	Yes	
row_1	MT1A	metallothionein 1A [Source:HGNC Symbol;Acc:HGNC:7393]	3	1.8194851875305176	0.15629353	Yes	
row_2	SGK1	serum/glucocorticoid regulated kinase 1 [Source:HGNC Symbol;Acc:HGNC:10810]	5	1.3375345468521118	0.2085831	Yes	
row_3	HMGCS1	3-hydroxy-3-methylglutaryl-CoA synthase 1 [Source:HGNC Symbol;Acc:HGNC:5007]	7	1.1506723165512085	0.25342104	Yes	
row_4	MSMO1	methylsterol monooxygenase 1 [Source:HGNC Symbol;Acc:HGNC:10545]	12	1.0861291885375977	0.29254052	Yes	
row_5	PGLYRP1	peptidoglycan recognition protein 1 [Source:HGNC Symbol;Acc:HGNC:8904]	16	0.9192438125610352	0.32605317	Yes	
row_6	S100A11	S100 calcium binding protein A11 [Source:HGNC Symbol;Acc:HGNC:10488]	17	0.8714961409568787	0.36080644	Yes	
row_7	PLSCR1	phospholipid scramblase 1 [Source:HGNC Symbol;Acc:HGNC:9092]	40	0.6218824982643127	0.3625449	Yes	
row_8	CYP51A1	cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649]	47	0.5835601687431335	0.37952662	Yes	
row_9	EGR1	early growth response 1 [Source:HGNC Symbol;Acc:HGNC:3238]	55	0.5612092614173889	0.39456883	Yes	
row_10	JUNB	JunB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6205]	56	0.5586668848991394	0.41684717	Yes	
row_11	SH3BGRL3	SH3 domain binding glutamate rich protein like 3 [Source:HGNC Symbol;Acc:HGNC:15568]	73	0.46841201186180115	0.41875488	Yes	
row_12	ARF6	ADP ribosylation factor 6 [Source:HGNC Symbol;Acc:HGNC:659]	75	0.46412602066993713	0.43621492	Yes	
row_13	TMEM238	transmembrane protein 238 [Source:HGNC Symbol;Acc:HGNC:40042]	87	0.4360927939414978	0.44207492	Yes	
row_14	EMP1	epithelial membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:3333]	88	0.43433189392089844	0.45939508	Yes	
