NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GLS	glutaminase [Source:HGNC Symbol;Acc:HGNC:4331]	45	0.5871861577033997	-0.045723327	No	
row_1	CYBA	cytochrome b-245 alpha chain [Source:HGNC Symbol;Acc:HGNC:2577]	83	0.4438360035419464	-0.0838136	No	
row_2	AZIN1	antizyme inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:16432]	134	0.37019696831703186	-0.13820688	No	
row_3	ACSL3	acyl-CoA synthetase long chain family member 3 [Source:HGNC Symbol;Acc:HGNC:3570]	150	0.3516235053539276	-0.15146524	No	
row_4	BNIP3	BCL2 interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:1084]	153	0.34533846378326416	-0.14943708	No	
row_5	SLC25A1	solute carrier family 25 member 1 [Source:HGNC Symbol;Acc:HGNC:10979]	184	0.3033995032310486	-0.18103927	No	
row_6	GSR	glutathione-disulfide reductase [Source:HGNC Symbol;Acc:HGNC:4623]	221	0.2731231153011322	-0.22011875	No	
row_7	GAL3ST1	galactose-3-O-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:24240]	288	-0.26064521074295044	-0.2948179	No	
row_8	BAK1	BCL2 antagonist/killer 1 [Source:HGNC Symbol;Acc:HGNC:949]	294	-0.2619319260120392	-0.29739666	No	
row_9	HSPE1	heat shock protein family E (Hsp10) member 1 [Source:HGNC Symbol;Acc:HGNC:5269]	310	-0.2653803527355194	-0.3117519	No	
row_10	CYB5B	cytochrome b5 type B [Source:HGNC Symbol;Acc:HGNC:24374]	332	-0.2708953619003296	-0.3331292	No	
row_11	ABAT	4-aminobutyrate aminotransferase [Source:HGNC Symbol;Acc:HGNC:23]	351	-0.27619287371635437	-0.35089302	No	
row_12	MRPL4	mitochondrial ribosomal protein L4 [Source:HGNC Symbol;Acc:HGNC:14276]	363	-0.27929988503456116	-0.3603431	No	
row_13	CPS1	carbamoyl-phosphate synthase 1 [Source:HGNC Symbol;Acc:HGNC:2323]	393	-0.2884640395641327	-0.3909532	No	
row_14	MRPL35	mitochondrial ribosomal protein L35 [Source:HGNC Symbol;Acc:HGNC:14489]	394	-0.2889846861362457	-0.38727772	No	
row_15	ACADS	acyl-CoA dehydrogenase short chain [Source:HGNC Symbol;Acc:HGNC:90]	401	-0.29049646854400635	-0.39067525	No	
row_16	NDUFA6	NADH:ubiquinone oxidoreductase subunit A6 [Source:HGNC Symbol;Acc:HGNC:7690]	402	-0.2915475368499756	-0.38696718	No	
row_17	COX6B1	cytochrome c oxidase subunit 6B1 [Source:HGNC Symbol;Acc:HGNC:2280]	403	-0.2918187081813812	-0.38325566	No	
row_18	MRPS15	mitochondrial ribosomal protein S15 [Source:HGNC Symbol;Acc:HGNC:14504]	416	-0.29703283309936523	-0.3936622	No	
row_19	PMPCB	peptidase, mitochondrial processing subunit beta [Source:HGNC Symbol;Acc:HGNC:9119]	418	-0.2974361479282379	-0.3910613	No	
row_20	PDHB	pyruvate dehydrogenase E1 subunit beta [Source:HGNC Symbol;Acc:HGNC:8808]	433	-0.30037587881088257	-0.4037894	No	
row_21	COQ7	coenzyme Q7, hydroxylase [Source:HGNC Symbol;Acc:HGNC:2244]	437	-0.3025364875793457	-0.40348768	No	
row_22	BAD	BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936]	441	-0.3041301667690277	-0.4031657	No	
row_23	PDHA1	pyruvate dehydrogenase E1 subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:8806]	452	-0.30791768431663513	-0.41106975	No	
row_24	GCAT	glycine C-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:4188]	454	-0.30806729197502136	-0.4083336	No	
row_25	MRPS34	mitochondrial ribosomal protein S34 [Source:HGNC Symbol;Acc:HGNC:16618]	461	-0.31168508529663086	-0.41146162	No	
row_26	ALDH2	aldehyde dehydrogenase 2 family member [Source:HGNC Symbol;Acc:HGNC:404]	469	-0.31444475054740906	-0.4157366	No	
row_27	MRPS16	mitochondrial ribosomal protein S16 [Source:HGNC Symbol;Acc:HGNC:14048]	477	-0.31945639848709106	-0.41994777	No	
row_28	CS	citrate synthase [Source:HGNC Symbol;Acc:HGNC:2422]	486	-0.3227536976337433	-0.42529908	No	
row_29	GPX4	glutathione peroxidase 4 [Source:HGNC Symbol;Acc:HGNC:4556]	490	-0.32351920008659363	-0.42473048	No	
row_30	DLAT	dihydrolipoamide S-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:2896]	494	-0.32490524649620056	-0.42414427	No	
row_31	TOMM70	translocase of outer mitochondrial membrane 70 [Source:HGNC Symbol;Acc:HGNC:11985]	513	-0.3346931040287018	-0.44116405	No	
row_32	ACADM	acyl-CoA dehydrogenase medium chain [Source:HGNC Symbol;Acc:HGNC:89]	519	-0.3377395272254944	-0.44277865	No	
row_33	BDH1	3-hydroxybutyrate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:1027]	521	-0.33824461698532104	-0.4396587	No	
row_34	ME2	malic enzyme 2 [Source:HGNC Symbol;Acc:HGNC:6984]	523	-0.338260293006897	-0.43653855	No	
row_35	ATP5MC2	ATP synthase membrane subunit c locus 2 [Source:HGNC Symbol;Acc:HGNC:842]	532	-0.3444669246673584	-0.44161367	No	
row_36	GOT1	glutamic-oxaloacetic transaminase 1 [Source:HGNC Symbol;Acc:HGNC:4432]	533	-0.34461709856987	-0.43723065	No	
row_37	HADHB	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta [Source:HGNC Symbol;Acc:HGNC:4803]	535	-0.3456202745437622	-0.43401688	No	
row_38	NDUFB2	NADH:ubiquinone oxidoreductase subunit B2 [Source:HGNC Symbol;Acc:HGNC:7697]	536	-0.346210241317749	-0.4296136	No	
row_39	CYCS	cytochrome c, somatic [Source:HGNC Symbol;Acc:HGNC:19986]	544	-0.3497234582901001	-0.43343985	No	
row_40	ODC1	ornithine decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:8109]	549	-0.35206371545791626	-0.43369025	No	
row_41	HADHA	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha [Source:HGNC Symbol;Acc:HGNC:4801]	571	-0.3688206672668457	-0.45382208	No	
row_42	CRAT	carnitine O-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:2342]	579	-0.3721253573894501	-0.4573634	No	
row_43	TUFM	Tu translation elongation factor, mitochondrial [Source:HGNC Symbol;Acc:HGNC:12420]	583	-0.3741648495197296	-0.45615065	No	
row_44	CYB5A	cytochrome b5 type A [Source:HGNC Symbol;Acc:HGNC:2570]	594	-0.3842770457267761	-0.46308354	No	
row_45	COX7A2L	cytochrome c oxidase subunit 7A2 like [Source:HGNC Symbol;Acc:HGNC:2289]	599	-0.38726896047592163	-0.46288618	No	
row_46	COX7C	cytochrome c oxidase subunit 7C [Source:HGNC Symbol;Acc:HGNC:2292]	618	-0.39630067348480225	-0.4791224	No	
row_47	UQCR11	ubiquinol-cytochrome c reductase, complex III subunit XI [Source:HGNC Symbol;Acc:HGNC:30862]	621	-0.39730024337768555	-0.47643337	No	
row_48	GPD2	glycerol-3-phosphate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:4456]	633	-0.40345069766044617	-0.48430443	Yes	
row_49	TIMM17A	translocase of inner mitochondrial membrane 17A [Source:HGNC Symbol;Acc:HGNC:17315]	634	-0.40354862809181213	-0.47917187	Yes	
row_50	ETFA	electron transfer flavoprotein subunit alpha [Source:HGNC Symbol;Acc:HGNC:3481]	635	-0.40490221977233887	-0.4740221	Yes	
row_51	ALDH18A1	aldehyde dehydrogenase 18 family member A1 [Source:HGNC Symbol;Acc:HGNC:9722]	637	-0.40573641657829285	-0.47004375	Yes	
row_52	FH	fumarate hydratase [Source:HGNC Symbol;Acc:HGNC:3700]	644	-0.4143153727054596	-0.47186646	Yes	
row_53	CPT2	carnitine palmitoyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:2330]	653	-0.4235009253025055	-0.47593638	Yes	
row_54	MRPL15	mitochondrial ribosomal protein L15 [Source:HGNC Symbol;Acc:HGNC:14054]	659	-0.42545753717422485	-0.47643536	Yes	
row_55	IDH3G	isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:5386]	664	-0.4265640676021576	-0.4757382	Yes	
row_56	MRPL18	mitochondrial ribosomal protein L18 [Source:HGNC Symbol;Acc:HGNC:14477]	665	-0.42741745710372925	-0.47030208	Yes	
row_57	ATP5F1E	ATP synthase F1 subunit epsilon [Source:HGNC Symbol;Acc:HGNC:838]	666	-0.4276672303676605	-0.46486276	Yes	
