NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	S100A6	S100 calcium binding protein A6 [Source:HGNC Symbol;Acc:HGNC:10496]	1	2.1524081230163574	0.15744689	Yes	
row_1	ABHD2	abhydrolase domain containing 2, acylglycerol lipase [Source:HGNC Symbol;Acc:HGNC:18717]	9	1.103035569190979	0.23145862	Yes	
row_2	DUSP1	dual specificity phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3064]	31	0.6976630091667175	0.26122063	Yes	
row_3	MALAT1	metastasis associated lung adenocarcinoma transcript 1 [Source:HGNC Symbol;Acc:HGNC:29665]	35	0.6629916429519653	0.3069484	Yes	
row_4	SCD	stearoyl-CoA desaturase [Source:HGNC Symbol;Acc:HGNC:10571]	36	0.6586044430732727	0.35543957	Yes	
row_5	IDI1	isopentenyl-diphosphate delta isomerase 1 [Source:HGNC Symbol;Acc:HGNC:5387]	46	0.5843395590782166	0.38920358	Yes	
row_6	MARCKS	myristoylated alanine rich protein kinase C substrate [Source:HGNC Symbol;Acc:HGNC:6759]	66	0.5048492550849915	0.40682688	Yes	
row_7	KRT18	keratin 18 [Source:HGNC Symbol;Acc:HGNC:6430]	70	0.474046915769577	0.4386432	Yes	
row_8	FOSL2	FOS like 2, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3798]	91	0.43129971623420715	0.44982243	Yes	
row_9	APP	amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]	96	0.4257490634918213	0.4770539	Yes	
row_10	S100A10	S100 calcium binding protein A10 [Source:HGNC Symbol;Acc:HGNC:10487]	116	0.3920312225818634	0.4863707	Yes	
row_11	HBEGF	heparin binding EGF like growth factor [Source:HGNC Symbol;Acc:HGNC:3059]	120	0.3883298337459564	0.5118759	Yes	
row_12	ERRFI1	ERBB receptor feedback inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:18185]	121	0.38825806975364685	0.54046226	Yes	
row_13	RHOB	ras homolog family member B [Source:HGNC Symbol;Acc:HGNC:668]	129	0.37531206011772156	0.5608938	Yes	
row_14	BMP2	bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]	151	0.35152918100357056	0.56517094	Yes	
row_15	CPE	carboxypeptidase E [Source:HGNC Symbol;Acc:HGNC:2303]	152	0.34894752502441406	0.59086293	Yes	
row_16	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	156	0.33836403489112854	0.6126893	Yes	
row_17	KLF6	Kruppel like factor 6 [Source:HGNC Symbol;Acc:HGNC:2235]	166	0.32632797956466675	0.62745667	Yes	
row_18	DSP	desmoplakin [Source:HGNC Symbol;Acc:HGNC:3052]	210	0.2798241078853607	0.6038206	No	
row_19	TPM4	tropomyosin 4 [Source:HGNC Symbol;Acc:HGNC:12013]	230	0.26038211584091187	0.6034445	No	
row_20	GNG12	G protein subunit gamma 12 [Source:HGNC Symbol;Acc:HGNC:19663]	516	-0.3362405300140381	0.33499107	No	
row_21	SCOC	short coiled-coil protein [Source:HGNC Symbol;Acc:HGNC:20335]	564	-0.3618656396865845	0.3132803	No	
row_22	PLIN2	perilipin 2 [Source:HGNC Symbol;Acc:HGNC:248]	625	-0.40069133043289185	0.28105366	No	
row_23	CDKN2B	cyclin dependent kinase inhibitor 2B [Source:HGNC Symbol;Acc:HGNC:1788]	686	-0.44223588705062866	0.25188586	No	
row_24	LPGAT1	lysophosphatidylglycerol acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:28985]	957	-0.8966164588928223	0.040123407	No	
