NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC51A	solute carrier family 51 subunit alpha [Source:HGNC Symbol;Acc:HGNC:29955]	64	0.5110651254653931	-0.061338875	No	
row_1	TOB1	transducer of ERBB2, 1 [Source:HGNC Symbol;Acc:HGNC:11979]	85	0.44114401936531067	-0.075299114	No	
row_2	JCHAIN	joining chain of multimeric IgA and IgM [Source:HGNC Symbol;Acc:HGNC:5713]	202	0.28869011998176575	-0.19827531	No	
row_3	SMPD2	sphingomyelin phosphodiesterase 2 [Source:HGNC Symbol;Acc:HGNC:11121]	307	-0.2651500999927521	-0.3084128	No	
row_4	VDR	vitamin D receptor [Source:HGNC Symbol;Acc:HGNC:12679]	321	-0.2694392800331116	-0.31780717	No	
row_5	TCEA3	transcription elongation factor A3 [Source:HGNC Symbol;Acc:HGNC:11615]	334	-0.27148205041885376	-0.32605755	No	
row_6	GNPDA1	glucosamine-6-phosphate deaminase 1 [Source:HGNC Symbol;Acc:HGNC:4417]	340	-0.27297112345695496	-0.326537	No	
row_7	RRAGD	Ras related GTP binding D [Source:HGNC Symbol;Acc:HGNC:19903]	356	-0.2774333655834198	-0.33799586	No	
row_8	SLC35B1	solute carrier family 35 member B1 [Source:HGNC Symbol;Acc:HGNC:20798]	361	-0.2788786292076111	-0.33725983	No	
row_9	SDF4	stromal cell derived factor 4 [Source:HGNC Symbol;Acc:HGNC:24188]	366	-0.27994683384895325	-0.336504	No	
row_10	SLC22A18	solute carrier family 22 member 18 [Source:HGNC Symbol;Acc:HGNC:10964]	377	-0.2831043004989624	-0.3423269	No	
row_11	MTTP	microsomal triglyceride transfer protein [Source:HGNC Symbol;Acc:HGNC:7467]	386	-0.2858778238296509	-0.34588614	No	
row_12	G6PC	glucose-6-phosphatase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4056]	392	-0.2881462872028351	-0.34608477	No	
row_13	GSTA1	glutathione S-transferase alpha 1 [Source:HGNC Symbol;Acc:HGNC:4626]	396	-0.2893564999103546	-0.34404862	No	
row_14	TM4SF5	transmembrane 4 L six family member 5 [Source:HGNC Symbol;Acc:HGNC:11857]	398	-0.2894885838031769	-0.33979765	No	
row_15	ABR	ABR activator of RhoGEF and GTPase [Source:HGNC Symbol;Acc:HGNC:81]	406	-0.29346218705177307	-0.3421103	No	
row_16	ACY3	aminoacylase 3 [Source:HGNC Symbol;Acc:HGNC:24104]	408	-0.293962687253952	-0.33777654	No	
row_17	SLC6A4	solute carrier family 6 member 4 [Source:HGNC Symbol;Acc:HGNC:11050]	414	-0.29658764600753784	-0.33781898	No	
row_18	GPD1	glycerol-3-phosphate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:4455]	421	-0.29793640971183777	-0.33894265	No	
row_19	SPHK2	sphingosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:18859]	451	-0.3075839579105377	-0.36533025	No	
row_20	GSTK1	glutathione S-transferase kappa 1 [Source:HGNC Symbol;Acc:HGNC:16906]	474	-0.3170558512210846	-0.3837992	No	
row_21	GPX4	glutathione peroxidase 4 [Source:HGNC Symbol;Acc:HGNC:4556]	490	-0.32351920008659363	-0.3944052	No	
row_22	SLC7A9	solute carrier family 7 member 9 [Source:HGNC Symbol;Acc:HGNC:11067]	510	-0.333647221326828	-0.40924853	No	
row_23	MGST2	microsomal glutathione S-transferase 2 [Source:HGNC Symbol;Acc:HGNC:7063]	515	-0.33567625284194946	-0.40746143	No	
row_24	ST3GAL4	ST3 beta-galactoside alpha-2,3-sialyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:10864]	529	-0.34147900342941284	-0.41552266	No	
row_25	DPEP1	dipeptidase 1 [Source:HGNC Symbol;Acc:HGNC:3002]	542	-0.34925130009651184	-0.4223339	No	
row_26	SULT2B1	sulfotransferase family 2B member 1 [Source:HGNC Symbol;Acc:HGNC:11459]	547	-0.351158082485199	-0.42026025	No	
row_27	ABCD1	ATP binding cassette subfamily D member 1 [Source:HGNC Symbol;Acc:HGNC:61]	554	-0.3571728765964508	-0.42028773	No	
row_28	GPR89A	G protein-coupled receptor 89A [Source:HGNC Symbol;Acc:HGNC:31984]	562	-0.36050155758857727	-0.42135978	No	
row_29	CRAT	carnitine O-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:2342]	579	-0.3721253573894501	-0.43217248	No	
row_30	PRPSAP1	phosphoribosyl pyrophosphate synthetase associated protein 1 [Source:HGNC Symbol;Acc:HGNC:9466]	581	-0.37314894795417786	-0.4263733	No	
row_31	CYB5A	cytochrome b5 type A [Source:HGNC Symbol;Acc:HGNC:2570]	594	-0.3842770457267761	-0.43253633	No	
row_32	ENTPD5	ectonucleoside triphosphate diphosphohydrolase 5 (inactive) [Source:HGNC Symbol;Acc:HGNC:3367]	600	-0.3880595862865448	-0.43088603	No	
row_33	GALM	galactose mutarotase [Source:HGNC Symbol;Acc:HGNC:24063]	603	-0.3890356421470642	-0.42589906	No	
row_34	GGT1	gamma-glutamyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:4250]	612	-0.39277347922325134	-0.4274801	No	
row_35	CDR2	cerebellar degeneration related protein 2 [Source:HGNC Symbol;Acc:HGNC:1799]	648	-0.41926899552345276	-0.45843807	No	
row_36	VAMP5	vesicle associated membrane protein 5 [Source:HGNC Symbol;Acc:HGNC:12646]	673	-0.431254506111145	-0.4770061	No	
row_37	CDKN2B	cyclin dependent kinase inhibitor 2B [Source:HGNC Symbol;Acc:HGNC:1788]	686	-0.44223588705062866	-0.48209658	No	
row_38	SLC7A8	solute carrier family 7 member 8 [Source:HGNC Symbol;Acc:HGNC:11066]	690	-0.44406405091285706	-0.4771975	No	
row_39	CD302	CD302 molecule [Source:HGNC Symbol;Acc:HGNC:30843]	693	-0.44472381472587585	-0.47118	No	
row_40	DAB1	DAB adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:2661]	700	-0.45044881105422974	-0.4694813	No	
row_41	CYP3A43	cytochrome P450 family 3 subfamily A member 43 [Source:HGNC Symbol;Acc:HGNC:17450]	702	-0.4516419768333435	-0.46222958	No	
row_42	UPP1	uridine phosphorylase 1 [Source:HGNC Symbol;Acc:HGNC:12576]	710	-0.45849570631980896	-0.4614882	No	
row_43	ACOT13	acyl-CoA thioesterase 13 [Source:HGNC Symbol;Acc:HGNC:20999]	716	-0.46001094579696655	-0.45850638	No	
row_44	GSTM1	glutathione S-transferase mu 1 [Source:HGNC Symbol;Acc:HGNC:4632]	719	-0.46112823486328125	-0.45218527	No	
