NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HMGCS1	3-hydroxy-3-methylglutaryl-CoA synthase 1 [Source:HGNC Symbol;Acc:HGNC:5007]	7	1.1506723165512085	0.0694853	Yes	
row_1	MSMO1	methylsterol monooxygenase 1 [Source:HGNC Symbol;Acc:HGNC:10545]	12	1.0861291885375977	0.13776939	Yes	
row_2	INSIG1	insulin induced gene 1 [Source:HGNC Symbol;Acc:HGNC:6083]	22	0.7930747270584106	0.18134263	Yes	
row_3	DHCR24	24-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2859]	29	0.721125066280365	0.22322084	Yes	
row_4	SQLE	squalene epoxidase [Source:HGNC Symbol;Acc:HGNC:11279]	32	0.6954421401023865	0.26752305	Yes	
row_5	SCD	stearoyl-CoA desaturase [Source:HGNC Symbol;Acc:HGNC:10571]	36	0.6586044430732727	0.30833492	Yes	
row_6	IDI1	isopentenyl-diphosphate delta isomerase 1 [Source:HGNC Symbol;Acc:HGNC:5387]	46	0.5843395590782166	0.3379902	Yes	
row_7	CYP51A1	cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649]	47	0.5835601687431335	0.3769006	Yes	
row_8	EGR1	early growth response 1 [Source:HGNC Symbol;Acc:HGNC:3238]	55	0.5612092614173889	0.40708187	Yes	
row_9	MIF	macrophage migration inhibitory factor [Source:HGNC Symbol;Acc:HGNC:7097]	68	0.4792749583721161	0.4266293	Yes	
row_10	UBALD2	UBA like domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28438]	71	0.4739038348197937	0.4561599	Yes	
row_11	LDLR	low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:6547]	76	0.4635609984397888	0.48293257	Yes	
row_12	HERPUD1	homocysteine inducible ER protein with ubiquitin like domain 1 [Source:HGNC Symbol;Acc:HGNC:13744]	86	0.43801143765449524	0.502831	Yes	
row_13	SLC6A6	solute carrier family 6 member 6 [Source:HGNC Symbol;Acc:HGNC:11052]	130	0.3751928210258484	0.4833806	Yes	
row_14	NDRG1	N-myc downstream regulated 1 [Source:HGNC Symbol;Acc:HGNC:7679]	133	0.37080249190330505	0.5060366	Yes	
row_15	ACSL3	acyl-CoA synthetase long chain family member 3 [Source:HGNC Symbol;Acc:HGNC:3570]	150	0.3516235053539276	0.512936	Yes	
row_16	TFRC	transferrin receptor [Source:HGNC Symbol;Acc:HGNC:11763]	170	0.31801122426986694	0.51449186	Yes	
row_17	SLC38A2	solute carrier family 38 member 2 [Source:HGNC Symbol;Acc:HGNC:13448]	181	0.3056460916996002	0.52453035	Yes	
row_18	EIF4EBP1	eukaryotic translation initiation factor 4E binding protein 1 [Source:HGNC Symbol;Acc:HGNC:3288]	183	0.3044561445713043	0.54379666	Yes	
row_19	H2AZ1	H2A.Z variant histone 1 [Source:HGNC Symbol;Acc:HGNC:4741]	187	0.30154839158058167	0.56080085	Yes	
row_20	HSPE1	heat shock protein family E (Hsp10) member 1 [Source:HGNC Symbol;Acc:HGNC:5269]	310	-0.2653803527355194	0.4523324	No	
row_21	SDF2L1	stromal cell derived factor 2 like 1 [Source:HGNC Symbol;Acc:HGNC:10676]	429	-0.2991613447666168	0.35025293	No	
row_22	EBP	EBP cholestenol delta-isomerase [Source:HGNC Symbol;Acc:HGNC:3133]	455	-0.3090462386608124	0.34500626	No	
row_23	ACY1	aminoacylase 1 [Source:HGNC Symbol;Acc:HGNC:177]	550	-0.35227781534194946	0.27128747	No	
row_24	DNAJA1	DnaJ heat shock protein family (Hsp40) member A1 [Source:HGNC Symbol;Acc:HGNC:5229]	572	-0.3690670132637024	0.27417937	No	
row_25	PYCR3	pyrroline-5-carboxylate reductase 3 [Source:HGNC Symbol;Acc:HGNC:25846]	640	-0.41156497597694397	0.2323351	No	
row_26	NUDT5	nudix hydrolase 5 [Source:HGNC Symbol;Acc:HGNC:8052]	674	-0.43144047260284424	0.22697641	No	
row_27	CENPV	centromere protein V [Source:HGNC Symbol;Acc:HGNC:29920]	742	-0.4831269383430481	0.18990374	No	
row_28	SFXN1	sideroflexin 1 [Source:HGNC Symbol;Acc:HGNC:16085]	778	-0.520482063293457	0.18841387	No	
row_29	SLC27A2	solute carrier family 27 member 2 [Source:HGNC Symbol;Acc:HGNC:10996]	791	-0.5397854447364807	0.211996	No	
