NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TFF3	trefoil factor 3 [Source:HGNC Symbol;Acc:HGNC:11757]	24	0.7790545225143433	0.021956857	No	
row_1	TFRC	transferrin receptor [Source:HGNC Symbol;Acc:HGNC:11763]	170	0.31801122426986694	-0.10775023	No	
row_2	HLA-A	major histocompatibility complex, class I, A [Source:HGNC Symbol;Acc:HGNC:4931]	201	0.28939008712768555	-0.12121958	No	
row_3	MUC17	mucin 17, cell surface associated [Source:HGNC Symbol;Acc:HGNC:16800]	216	0.27606451511383057	-0.11907529	No	
row_4	CMPK2	cytidine/uridine monophosphate kinase 2 [Source:HGNC Symbol;Acc:HGNC:27015]	316	-0.2685825824737549	-0.20455776	No	
row_5	TAP2	transporter 2, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:44]	364	-0.27949535846710205	-0.23605452	No	
row_6	STAT1	signal transducer and activator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:11362]	505	-0.3293241262435913	-0.3599571	No	
row_7	CASP7	caspase 7 [Source:HGNC Symbol;Acc:HGNC:1508]	589	-0.3806972801685333	-0.42232704	No	
row_8	UPP1	uridine phosphorylase 1 [Source:HGNC Symbol;Acc:HGNC:12576]	710	-0.45849570631980896	-0.5179949	No	
row_9	PSME2	proteasome activator subunit 2 [Source:HGNC Symbol;Acc:HGNC:9569]	818	-0.5635502338409424	-0.59404916	No	
row_10	PSMB9	proteasome 20S subunit beta 9 [Source:HGNC Symbol;Acc:HGNC:9546]	872	-0.6515887379646301	-0.6094559	Yes	
row_11	CASP1	caspase 1 [Source:HGNC Symbol;Acc:HGNC:1499]	886	-0.673431932926178	-0.58253115	Yes	
row_12	HLA-DMA	major histocompatibility complex, class II, DM alpha [Source:HGNC Symbol;Acc:HGNC:4934]	909	-0.7261295914649963	-0.5616869	Yes	
row_13	HLA-DMB	major histocompatibility complex, class II, DM beta [Source:HGNC Symbol;Acc:HGNC:4935]	914	-0.7368982434272766	-0.52173734	Yes	
row_14	PSMB10	proteasome 20S subunit beta 10 [Source:HGNC Symbol;Acc:HGNC:9538]	927	-0.771859347820282	-0.4879029	Yes	
row_15	DEFA3	defensin alpha 3 [Source:HGNC Symbol;Acc:HGNC:2762]	933	-0.7901926636695862	-0.445793	Yes	
row_16	PSMB8	proteasome 20S subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:9545]	975	-1.0574543476104736	-0.42462918	Yes	
row_17	HLA-DRB1	major histocompatibility complex, class II, DR beta 1 [Source:HGNC Symbol;Acc:HGNC:4948]	986	-1.1938711404800415	-0.36351544	Yes	
row_18	HLA-DQB2	major histocompatibility complex, class II, DQ beta 2 [Source:HGNC Symbol;Acc:HGNC:4945]	989	-1.3940566778182983	-0.28222936	Yes	
row_19	ARG2	arginase 2 [Source:HGNC Symbol;Acc:HGNC:664]	991	-1.5006401538848877	-0.19354603	Yes	
row_20	HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1 [Source:HGNC Symbol;Acc:HGNC:4942]	993	-1.5119847059249878	-0.10418452	Yes	
row_21	CD74	CD74 molecule [Source:HGNC Symbol;Acc:HGNC:1697]	995	-1.7771004438400269	0.0010257282	Yes	
