NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SGK1	serum/glucocorticoid regulated kinase 1 [Source:HGNC Symbol;Acc:HGNC:10810]	5	1.3375345468521118	0.08578389	Yes	
row_1	ABHD2	abhydrolase domain containing 2, acylglycerol lipase [Source:HGNC Symbol;Acc:HGNC:18717]	9	1.103035569190979	0.15769455	Yes	
row_2	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1 [Source:HGNC Symbol;Acc:HGNC:9108]	19	0.8593693375587463	0.20680107	Yes	
row_3	STK17B	serine/threonine kinase 17b [Source:HGNC Symbol;Acc:HGNC:11396]	26	0.7524741291999817	0.25175208	Yes	
row_4	ITPRID2	ITPR interacting domain containing 2 [Source:HGNC Symbol;Acc:HGNC:11319]	49	0.5818130970001221	0.2684804	Yes	
row_5	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	65	0.5057293176651001	0.2873026	Yes	
row_6	LDLR	low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:6547]	76	0.4635609984397888	0.30844873	Yes	
row_7	NOCT	nocturnin [Source:HGNC Symbol;Acc:HGNC:14254]	82	0.4473187029361725	0.3336822	Yes	
row_8	MAPK6	mitogen-activated protein kinase 6 [Source:HGNC Symbol;Acc:HGNC:6879]	101	0.4183421730995178	0.34344527	Yes	
row_9	MIDN	midnolin [Source:HGNC Symbol;Acc:HGNC:16298]	114	0.39321327209472656	0.35772967	Yes	
row_10	SAT1	spermidine/spermine N1-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10540]	127	0.3799961805343628	0.3711151	Yes	
row_11	RHOB	ras homolog family member B [Source:HGNC Symbol;Acc:HGNC:668]	129	0.37531206011772156	0.39560452	Yes	
row_12	JUND	JunD proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6206]	138	0.36702075600624084	0.41226104	Yes	
row_13	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	156	0.33836403489112854	0.41762263	Yes	
row_14	AREG	amphiregulin [Source:HGNC Symbol;Acc:HGNC:651]	163	0.32985934615135193	0.43382835	Yes	
row_15	CAMK2D	calcium/calmodulin dependent protein kinase II delta [Source:HGNC Symbol;Acc:HGNC:1462]	164	0.3284037411212921	0.4561656	Yes	
row_16	KLF6	Kruppel like factor 6 [Source:HGNC Symbol;Acc:HGNC:2235]	166	0.32632797956466675	0.47732326	Yes	
row_17	WDR1	WD repeat domain 1 [Source:HGNC Symbol;Acc:HGNC:12754]	180	0.3069761097431183	0.4847036	Yes	
row_18	SLC38A2	solute carrier family 38 member 2 [Source:HGNC Symbol;Acc:HGNC:13448]	181	0.3056460916996002	0.5054929	Yes	
row_19	SERTAD1	SERTA domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17932]	190	0.2967071831226349	0.5173669	Yes	
row_20	SLC26A2	solute carrier family 26 member 2 [Source:HGNC Symbol;Acc:HGNC:10994]	191	0.2961486577987671	0.5375102	Yes	
row_21	NABP1	nucleic acid binding protein 1 [Source:HGNC Symbol;Acc:HGNC:26232]	194	0.29346030950546265	0.5553939	Yes	
row_22	S100A16	S100 calcium binding protein A16 [Source:HGNC Symbol;Acc:HGNC:20441]	195	0.29156213998794556	0.5752253	Yes	
row_23	PLK3	polo like kinase 3 [Source:HGNC Symbol;Acc:HGNC:2154]	199	0.2900087237358093	0.59183574	Yes	
row_24	TPM4	tropomyosin 4 [Source:HGNC Symbol;Acc:HGNC:12013]	230	0.26038211584091187	0.57839364	Yes	
row_25	ZFP36	ZFP36 ring finger protein [Source:HGNC Symbol;Acc:HGNC:12862]	240	0.25401318073272705	0.5863253	Yes	
row_26	SOCS2	suppressor of cytokine signaling 2 [Source:HGNC Symbol;Acc:HGNC:19382]	274	-0.25643476843833923	0.56949943	Yes	
row_27	CEBPG	CCAAT enhancer binding protein gamma [Source:HGNC Symbol;Acc:HGNC:1837]	279	-0.2572067975997925	0.5828404	Yes	
row_28	SDCBP2	syndecan binding protein 2 [Source:HGNC Symbol;Acc:HGNC:15756]	290	-0.2613378167152405	0.5902318	Yes	
row_29	GADD45A	growth arrest and DNA damage inducible alpha [Source:HGNC Symbol;Acc:HGNC:4095]	291	-0.26158127188682556	0.6080239	Yes	
row_30	GRAMD2B	GRAM domain containing 2B [Source:HGNC Symbol;Acc:HGNC:24911]	440	-0.3039349317550659	0.47501045	No	
row_31	PARP14	poly(ADP-ribose) polymerase family member 14 [Source:HGNC Symbol;Acc:HGNC:29232]	582	-0.3741384446620941	0.35404104	No	
row_32	EEF1A1	eukaryotic translation elongation factor 1 alpha 1 [Source:HGNC Symbol;Acc:HGNC:3189]	632	-0.4033336043357849	0.3305922	No	
row_33	TSC22D1	TSC22 domain family member 1 [Source:HGNC Symbol;Acc:HGNC:16826]	890	-0.6815101504325867	0.11007256	No	
