NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
BIOCARTA_FEEDER_PATHWAY	9		Rejected!	
BIOCARTA_PROTEASOME_PATHWAY	19		Rejected!	
BIOCARTA_KREB_PATHWAY	8		Rejected!	
ST_INTERFERON_GAMMA_PATHWAY	10		Rejected!	
ST_WNT_CA2_CYCLIC_GMP_PATHWAY	20		Rejected!	
ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS	47		Rejected!	
ST_TUMOR_NECROSIS_FACTOR_PATHWAY	29		Rejected!	
ST_ERK1_ERK2_MAPK_PATHWAY	32		Rejected!	
ST_GA12_PATHWAY	23		Rejected!	
ST_G_ALPHA_S_PATHWAY	16		Rejected!	
ST_G_ALPHA_I_PATHWAY	36		Rejected!	
ST_IL_13_PATHWAY	7		Rejected!	
ST_P38_MAPK_PATHWAY	37		Rejected!	
ST_JAK_STAT_PATHWAY	9		Rejected!	
ST_GRANULE_CELL_SURVIVAL_PATHWAY	28		Rejected!	
ST_ADRENERGIC	37		Rejected!	
ST_INTEGRIN_SIGNALING_PATHWAY	82		Rejected!	
ST_GAQ_PATHWAY	28		Rejected!	
ST_GA13_PATHWAY	37		Rejected!	
ST_STAT3_PATHWAY	11		Rejected!	
ST_T_CELL_SIGNAL_TRANSDUCTION	45		Rejected!	
ST_TYPE_I_INTERFERON_PATHWAY	9		Rejected!	
ST_PAC1_RECEPTOR_PATHWAY	8		Rejected!	
ST_B_CELL_ANTIGEN_RECEPTOR	40		Rejected!	
ST_INTERLEUKIN_4_PATHWAY	26		Rejected!	
ST_WNT_BETA_CATENIN_PATHWAY	34		Rejected!	
ST_JNK_MAPK_PATHWAY	40		Rejected!	
ST_FAS_SIGNALING_PATHWAY	66		Rejected!	
ST_MYOCYTE_AD_PATHWAY	28		Rejected!	
ST_PHOSPHOINOSITIDE_3_KINASE_PATHWAY	38		Rejected!	
REACTOME_REMOVAL_OF_THE_FLAP_INTERMEDIATE_FROM_THE_C_STRAND	11		Rejected!	
BLANCO_MELO_SARS_COV_1_INFECTION_MCR5_CELLS_UP	12		Rejected!	
BLANCO_MELO_SARS_COV_1_INFECTION_MCR5_CELLS_DN	9		Rejected!	
BLANCO_MELO_MERS_COV_INFECTION_MCR5_CELLS_UP	295		Rejected!	
BLANCO_MELO_MERS_COV_INFECTION_MCR5_CELLS_DN	37		Rejected!	
BLANCO_MELO_INFLUENZA_A_INFECTION_A594_CELLS_UP	41		Rejected!	
BLANCO_MELO_INFLUENZA_A_INFECTION_A594_CELLS_DN	118		Rejected!	
BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_UP	204	21		
BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_DN	122		Rejected!	
BLANCO_MELO_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_A594_CELLS_UP	285	24		
BLANCO_MELO_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_A594_CELLS_DN	119		Rejected!	
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_CELLS_UP	86		Rejected!	
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_CELLS_DN	77		Rejected!	
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_CALU3_CELLS_UP	338	29		
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_CALU3_CELLS_DN	24		Rejected!	
BLANCO_MELO_COVID19_SARS_COV_2_LOW_MOI_INFECTION_A594_ACE2_EXPRESSING_CELLS_UP	174		Rejected!	
BLANCO_MELO_COVID19_SARS_COV_2_LOW_MOI_INFECTION_A594_ACE2_EXPRESSING_CELLS_DN	14		Rejected!	
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_ACE2_EXPRESSING_CELLS_UP	542	21		
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_ACE2_EXPRESSING_CELLS_DN	96		Rejected!	
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_ACE2_EXPRESSING_CELLS_RUXOLITINIB_UP	483		Rejected!	
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_ACE2_EXPRESSING_CELLS_RUXOLITINIB_DN	76		Rejected!	
BLANCO_MELO_COVID19_BRONCHIAL_EPITHELIAL_CELLS_SARS_COV_2_INFECTION_UP	144		Rejected!	
BLANCO_MELO_COVID19_BRONCHIAL_EPITHELIAL_CELLS_SARS_COV_2_INFECTION_DN	58		Rejected!	
BLANCO_MELO_BETA_INTERFERON_TREATED_BRONCHIAL_EPITHELIAL_CELLS_UP	378	26		
BLANCO_MELO_BETA_INTERFERON_TREATED_BRONCHIAL_EPITHELIAL_CELLS_DN	216		Rejected!	
BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_INFECTION_UP	136		Rejected!	
BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_INFECTION_DN	81		Rejected!	
BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_UP	644	54		
BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_DN	187		Rejected!	
BLANCO_MELO_COVID19_SARS_COV_2_POS_PATIENT_LUNG_TISSUE_UP	172		Rejected!	
BLANCO_MELO_COVID19_SARS_COV_2_POS_PATIENT_LUNG_TISSUE_DN	175		Rejected!	
BUFFA_HYPOXIA_METAGENE	50		Rejected!	
NAKAMURA_CANCER_MICROENVIRONMENT_UP	28		Rejected!	
NAKAMURA_CANCER_MICROENVIRONMENT_DN	46		Rejected!	
WEST_ADRENOCORTICAL_TUMOR_MARKERS_UP	22		Rejected!	
WEST_ADRENOCORTICAL_TUMOR_MARKERS_DN	20		Rejected!	
WINTER_HYPOXIA_UP	95	17		
WINTER_HYPOXIA_DN	52		Rejected!	
PARENT_MTOR_SIGNALING_UP	568	44		
PARENT_MTOR_SIGNALING_DN	44		Rejected!	
PYEON_HPV_POSITIVE_TUMORS_UP	99		Rejected!	
PYEON_HPV_POSITIVE_TUMORS_DN	10		Rejected!	
NAKAMURA_TUMOR_ZONE_PERIPHERAL_VS_CENTRAL_UP	284	30		
NAKAMURA_TUMOR_ZONE_PERIPHERAL_VS_CENTRAL_DN	644	62		
PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_UP	211		Rejected!	
PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_DN	137	18		
LU_TUMOR_VASCULATURE_UP	29		Rejected!	
LU_TUMOR_VASCULATURE_DN	13		Rejected!	
KORKOLA_EMBRYONAL_CARCINOMA_UP	42		Rejected!	
KORKOLA_EMBRYONAL_CARCINOMA_DN	13		Rejected!	
KORKOLA_TERATOMA_UP	17		Rejected!	
KORKOLA_YOLK_SAC_TUMOR_UP	20		Rejected!	
KORKOLA_CHORIOCARCINOMA_UP	6		Rejected!	
KORKOLA_CHORIOCARCINOMA_DN	11		Rejected!	
KORKOLA_SEMINOMA_UP	44		Rejected!	
KORKOLA_SEMINOMA_DN	13		Rejected!	
WATANABE_RECTAL_CANCER_RADIOTHERAPY_RESPONSIVE_UP	113	18		
WATANABE_RECTAL_CANCER_RADIOTHERAPY_RESPONSIVE_DN	93		Rejected!	
