NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TMSB10	thymosin beta 10 [Source:HGNC Symbol;Acc:HGNC:11879]	2	2.0840299129486084	0.12681009	Yes	
row_1	ACTB	actin beta [Source:HGNC Symbol;Acc:HGNC:132]	10	1.093573808670044	0.18716682	Yes	
row_2	TMSB4X	thymosin beta 4 X-linked [Source:HGNC Symbol;Acc:HGNC:11881]	11	1.0885082483291626	0.2544868	Yes	
row_3	APOA1	apolipoprotein A1 [Source:HGNC Symbol;Acc:HGNC:600]	44	0.5904099941253662	0.2577373	Yes	
row_4	SDCBP	syndecan binding protein [Source:HGNC Symbol;Acc:HGNC:10662]	63	0.513802707195282	0.27080297	Yes	
row_5	MARCKS	myristoylated alanine rich protein kinase C substrate [Source:HGNC Symbol;Acc:HGNC:6759]	66	0.5048492550849915	0.29994693	Yes	
row_6	ARF6	ADP ribosylation factor 6 [Source:HGNC Symbol;Acc:HGNC:659]	75	0.46412602066993713	0.3203353	Yes	
row_7	FAT1	FAT atypical cadherin 1 [Source:HGNC Symbol;Acc:HGNC:3595]	94	0.42706671357154846	0.3280367	Yes	
row_8	S100A10	S100 calcium binding protein A10 [Source:HGNC Symbol;Acc:HGNC:10487]	116	0.3920312225818634	0.33045277	Yes	
row_9	RHOB	ras homolog family member B [Source:HGNC Symbol;Acc:HGNC:668]	129	0.37531206011772156	0.34119034	Yes	
row_10	ACTR2	actin related protein 2 [Source:HGNC Symbol;Acc:HGNC:169]	135	0.3692680299282074	0.3588306	Yes	
row_11	ALDOA	aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]	159	0.33390697836875916	0.3555729	Yes	
row_12	CAMK2D	calcium/calmodulin dependent protein kinase II delta [Source:HGNC Symbol;Acc:HGNC:1462]	164	0.3284037411212921	0.3717254	Yes	
row_13	DSG2	desmoglein 2 [Source:HGNC Symbol;Acc:HGNC:3049]	176	0.3118993937969208	0.37958065	Yes	
row_14	WDR1	WD repeat domain 1 [Source:HGNC Symbol;Acc:HGNC:12754]	180	0.3069761097431183	0.3954474	Yes	
row_15	WASL	WASP like actin nucleation promoting factor [Source:HGNC Symbol;Acc:HGNC:12735]	203	0.2884257733821869	0.39041638	Yes	
row_16	DSP	desmoplakin [Source:HGNC Symbol;Acc:HGNC:3052]	210	0.2798241078853607	0.4014854	Yes	
row_17	CAPZA2	capping actin protein of muscle Z-line subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:1490]	215	0.2765505015850067	0.41443098	Yes	
row_18	TPM4	tropomyosin 4 [Source:HGNC Symbol;Acc:HGNC:12013]	230	0.26038211584091187	0.4159816	Yes	
row_19	SRI	sorcin [Source:HGNC Symbol;Acc:HGNC:11292]	249	-0.25151801109313965	0.41282597	No	
row_20	LIMA1	LIM domain and actin binding 1 [Source:HGNC Symbol;Acc:HGNC:24636]	297	-0.2625410854816437	0.38020656	No	
row_21	ARHGAP18	Rho GTPase activating protein 18 [Source:HGNC Symbol;Acc:HGNC:21035]	308	-0.2653142213821411	0.3862202	No	
row_22	ARF1	ADP ribosylation factor 1 [Source:HGNC Symbol;Acc:HGNC:652]	380	-0.28402501344680786	0.32998145	No	
row_23	GDPD2	glycerophosphodiester phosphodiesterase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25974]	383	-0.28470394015312195	0.34551027	No	
row_24	CDC42EP2	CDC42 effector protein 2 [Source:HGNC Symbol;Acc:HGNC:16263]	391	-0.2873932719230652	0.3560079	No	
row_25	ESPN	espin [Source:HGNC Symbol;Acc:HGNC:13281]	399	-0.2898026704788208	0.36665457	No	
row_26	ABR	ABR activator of RhoGEF and GTPase [Source:HGNC Symbol;Acc:HGNC:81]	406	-0.29346218705177307	0.37856704	No	
row_27	VIL1	villin 1 [Source:HGNC Symbol;Acc:HGNC:12690]	449	-0.3066394627094269	0.35387245	No	
row_28	ACTG1	actin gamma 1 [Source:HGNC Symbol;Acc:HGNC:144]	520	-0.33788469433784485	0.30200422	No	
row_29	ARPC1A	actin related protein 2/3 complex subunit 1A [Source:HGNC Symbol;Acc:HGNC:703]	638	-0.40651220083236694	0.20552379	No	
row_30	IQGAP2	IQ motif containing GTPase activating protein 2 [Source:HGNC Symbol;Acc:HGNC:6111]	745	-0.4862918257713318	0.12541193	No	
row_31	PYCARD	PYD and CARD domain containing [Source:HGNC Symbol;Acc:HGNC:16608]	773	-0.515485942363739	0.1292262	No	
row_32	EPB41L3	erythrocyte membrane protein band 4.1 like 3 [Source:HGNC Symbol;Acc:HGNC:3380]	782	-0.5240123867988586	0.15331829	No	
row_33	BST1	bone marrow stromal cell antigen 1 [Source:HGNC Symbol;Acc:HGNC:1118]	789	-0.5388811230659485	0.18040897	No	
row_34	MICAL1	microtubule associated monooxygenase, calponin and LIM domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20619]	802	-0.5453581809997559	0.20166323	No	
