NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	S100A6	S100 calcium binding protein A6 [Source:HGNC Symbol;Acc:HGNC:10496]	1	2.1524081230163574	0.17015345	Yes	
row_1	ACTB	actin beta [Source:HGNC Symbol;Acc:HGNC:132]	10	1.093573808670044	0.2489193	Yes	
row_2	APOA1	apolipoprotein A1 [Source:HGNC Symbol;Acc:HGNC:600]	44	0.5904099941253662	0.26202792	Yes	
row_3	IFRD1	interferon related developmental regulator 1 [Source:HGNC Symbol;Acc:HGNC:5456]	52	0.5744974613189697	0.3005377	Yes	
row_4	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	65	0.5057293176651001	0.32845023	Yes	
row_5	YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta [Source:HGNC Symbol;Acc:HGNC:12853]	90	0.43239930272102356	0.33822316	Yes	
row_6	FAT1	FAT atypical cadherin 1 [Source:HGNC Symbol;Acc:HGNC:3595]	94	0.42706671357154846	0.3691105	Yes	
row_7	APP	amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]	96	0.4257490634918213	0.40194428	Yes	
row_8	S100A10	S100 calcium binding protein A10 [Source:HGNC Symbol;Acc:HGNC:10487]	116	0.3920312225818634	0.41363502	Yes	
row_9	CTNNB1	catenin beta 1 [Source:HGNC Symbol;Acc:HGNC:2514]	126	0.38030514121055603	0.43464956	Yes	
row_10	ACTR2	actin related protein 2 [Source:HGNC Symbol;Acc:HGNC:169]	135	0.3692680299282074	0.455812	Yes	
row_11	RTN4	reticulon 4 [Source:HGNC Symbol;Acc:HGNC:14085]	137	0.3680606782436371	0.4840579	Yes	
row_12	SPINT2	serine peptidase inhibitor, Kunitz type 2 [Source:HGNC Symbol;Acc:HGNC:11247]	139	0.36503300070762634	0.512063	Yes	
row_13	RAPH1	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1 [Source:HGNC Symbol;Acc:HGNC:14436]	168	0.3227360248565674	0.509012	Yes	
row_14	WDR1	WD repeat domain 1 [Source:HGNC Symbol;Acc:HGNC:12754]	180	0.3069761097431183	0.5221434	Yes	
row_15	WASL	WASP like actin nucleation promoting factor [Source:HGNC Symbol;Acc:HGNC:12735]	203	0.2884257733821869	0.5225176	Yes	
row_16	RAB25	RAB25, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:18238]	459	-0.3115048110485077	0.28575283	No	
row_17	DAB1	DAB adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:2661]	700	-0.45044881105422974	0.07542281	No	
row_18	BSG	basigin (Ok blood group) [Source:HGNC Symbol;Acc:HGNC:1116]	761	-0.5024280548095703	0.053842004	No	
row_19	IGSF9	immunoglobulin superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:18132]	768	-0.5107964873313904	0.08831135	No	
row_20	CASP3	caspase 3 [Source:HGNC Symbol;Acc:HGNC:1504]	931	-0.7807434797286987	-0.015750656	No	
row_21	FBLN1	fibulin 1 [Source:HGNC Symbol;Acc:HGNC:3600]	970	-1.0234193801879883	0.026666619	No	
