NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1 [Source:HGNC Symbol;Acc:HGNC:9108]	19	0.8593693375587463	0.031705335	Yes	
row_1	RPL37A	ribosomal protein L37a [Source:HGNC Symbol;Acc:HGNC:10348]	30	0.7070110440254211	0.06368644	Yes	
row_2	RPL41	ribosomal protein L41 [Source:HGNC Symbol;Acc:HGNC:10354]	42	0.5943914651870728	0.0878582	Yes	
row_3	RPS28	ribosomal protein S28 [Source:HGNC Symbol;Acc:HGNC:10418]	58	0.5374387502670288	0.10442178	Yes	
row_4	RPL35	ribosomal protein L35 [Source:HGNC Symbol;Acc:HGNC:10344]	61	0.5163154602050781	0.13332957	Yes	
row_5	SDCBP	syndecan binding protein [Source:HGNC Symbol;Acc:HGNC:10662]	63	0.513802707195282	0.1631336	Yes	
row_6	RPL39	ribosomal protein L39 [Source:HGNC Symbol;Acc:HGNC:10350]	69	0.4788356423377991	0.18664958	Yes	
row_7	KRT18	keratin 18 [Source:HGNC Symbol;Acc:HGNC:6430]	70	0.474046915769577	0.21511361	Yes	
row_8	RPS20	ribosomal protein S20 [Source:HGNC Symbol;Acc:HGNC:10405]	77	0.4579424560070038	0.23632793	Yes	
row_9	YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta [Source:HGNC Symbol;Acc:HGNC:12853]	90	0.43239930272102356	0.24972579	Yes	
row_10	RPS29	ribosomal protein S29 [Source:HGNC Symbol;Acc:HGNC:10419]	95	0.4269571900367737	0.27117386	Yes	
row_11	RPL36	ribosomal protein L36 [Source:HGNC Symbol;Acc:HGNC:13631]	102	0.4179432988166809	0.28998643	Yes	
row_12	RPL37	ribosomal protein L37 [Source:HGNC Symbol;Acc:HGNC:10347]	105	0.4111798405647278	0.3125814	Yes	
row_13	RPS19	ribosomal protein S19 [Source:HGNC Symbol;Acc:HGNC:10402]	106	0.4095083773136139	0.3371702	Yes	
row_14	RPL30	ribosomal protein L30 [Source:HGNC Symbol;Acc:HGNC:10333]	111	0.3992132246494293	0.3569524	Yes	
row_15	RPS27	ribosomal protein S27 [Source:HGNC Symbol;Acc:HGNC:10416]	131	0.3742702901363373	0.3595301	Yes	
row_16	RPL11	ribosomal protein L11 [Source:HGNC Symbol;Acc:HGNC:10301]	132	0.37296441197395325	0.38192463	Yes	
row_17	ACSL3	acyl-CoA synthetase long chain family member 3 [Source:HGNC Symbol;Acc:HGNC:3570]	150	0.3516235053539276	0.38523674	Yes	
row_18	RPS26	ribosomal protein S26 [Source:HGNC Symbol;Acc:HGNC:10414]	154	0.3405185341835022	0.40254173	Yes	
row_19	RPS7	ribosomal protein S7 [Source:HGNC Symbol;Acc:HGNC:10440]	171	0.31699883937835693	0.40482193	Yes	
row_20	RPS24	ribosomal protein S24 [Source:HGNC Symbol;Acc:HGNC:10411]	178	0.3076510727405548	0.41701204	Yes	
row_21	RPL10A	ribosomal protein L10a [Source:HGNC Symbol;Acc:HGNC:10299]	200	0.28988054394721985	0.41242832	Yes	
row_22	RPL38	ribosomal protein L38 [Source:HGNC Symbol;Acc:HGNC:10349]	205	0.28546860814094543	0.4253807	Yes	
row_23	RPL18A	ribosomal protein L18a [Source:HGNC Symbol;Acc:HGNC:10311]	206	0.2838688790798187	0.44242555	Yes	
row_24	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta [Source:HGNC Symbol;Acc:HGNC:12855]	212	0.27820849418640137	0.4538949	Yes	
row_25	RPL6	ribosomal protein L6 [Source:HGNC Symbol;Acc:HGNC:10362]	214	0.27658218145370483	0.4694551	Yes	
row_26	RPS15	ribosomal protein S15 [Source:HGNC Symbol;Acc:HGNC:10388]	217	0.2760257422924042	0.48393476	Yes	
row_27	RPS2	ribosomal protein S2 [Source:HGNC Symbol;Acc:HGNC:10404]	222	0.27124667167663574	0.49603322	Yes	
row_28	RPS27A	ribosomal protein S27a [Source:HGNC Symbol;Acc:HGNC:10417]	237	0.2573755383491516	0.4968276	Yes	
row_29	ZDHHC7	zinc finger DHHC-type palmitoyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:18459]	276	-0.25662437081336975	0.47244596	No	
row_30	VPS37A	VPS37A subunit of ESCRT-I [Source:HGNC Symbol;Acc:HGNC:24928]	374	-0.28218695521354675	0.38781914	No	
row_31	ARL6IP1	ADP ribosylation factor like GTPase 6 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:697]	436	-0.30248531699180603	0.34210745	No	
row_32	HSPA5	heat shock protein family A (Hsp70) member 5 [Source:HGNC Symbol;Acc:HGNC:5238]	439	-0.3030836582183838	0.3582118	No	
row_33	BAD	BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936]	441	-0.3041301667690277	0.37542608	No	
row_34	RPL21	ribosomal protein L21 [Source:HGNC Symbol;Acc:HGNC:10313]	453	-0.3080396056175232	0.3824039	No	
row_35	SAMM50	SAMM50 sorting and assembly machinery component [Source:HGNC Symbol;Acc:HGNC:24276]	468	-0.3135656416416168	0.3865722	No	
row_36	PEX16	peroxisomal biogenesis factor 16 [Source:HGNC Symbol;Acc:HGNC:8857]	507	-0.33113858103752136	0.36666477	No	
row_37	AQP11	aquaporin 11 [Source:HGNC Symbol;Acc:HGNC:19940]	558	-0.35965853929519653	0.33590436	No	
row_38	SSR2	signal sequence receptor subunit 2 [Source:HGNC Symbol;Acc:HGNC:11324]	655	-0.423974871635437	0.26083827	No	
row_39	VAMP5	vesicle associated membrane protein 5 [Source:HGNC Symbol;Acc:HGNC:12646]	673	-0.431254506111145	0.26893178	No	
row_40	NDUFA13	NADH:ubiquinone oxidoreductase subunit A13 [Source:HGNC Symbol;Acc:HGNC:17194]	794	-0.5411498546600342	0.17577055	No	
row_41	PDZK1	PDZ domain containing 1 [Source:HGNC Symbol;Acc:HGNC:8821]	832	-0.5779129266738892	0.17172773	No	
