NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ADA	adenosine deaminase [Source:HGNC Symbol;Acc:HGNC:186]	27	0.7498687505722046	0.02307576	No	
row_1	MIF	macrophage migration inhibitory factor [Source:HGNC Symbol;Acc:HGNC:7097]	68	0.4792749583721161	0.014498281	No	
row_2	CLU	clusterin [Source:HGNC Symbol;Acc:HGNC:2095]	74	0.467189222574234	0.041000005	No	
row_3	CTNNB1	catenin beta 1 [Source:HGNC Symbol;Acc:HGNC:2514]	126	0.38030514121055603	0.014439961	No	
row_4	TFRC	transferrin receptor [Source:HGNC Symbol;Acc:HGNC:11763]	170	0.31801122426986694	-0.008132415	No	
row_5	HLA-A	major histocompatibility complex, class I, A [Source:HGNC Symbol;Acc:HGNC:4931]	201	0.28939008712768555	-0.019309182	No	
row_6	LGALS3	galectin 3 [Source:HGNC Symbol;Acc:HGNC:6563]	302	-0.2634928822517395	-0.104034126	No	
row_7	CEBPB	CCAAT enhancer binding protein beta [Source:HGNC Symbol;Acc:HGNC:1834]	306	-0.2650432586669922	-0.08916693	No	
row_8	CD81	CD81 molecule [Source:HGNC Symbol;Acc:HGNC:1701]	624	-0.4003819525241852	-0.38718823	No	
row_9	PYCARD	PYD and CARD domain containing [Source:HGNC Symbol;Acc:HGNC:16608]	773	-0.515485942363739	-0.50408334	Yes	
row_10	BST1	bone marrow stromal cell antigen 1 [Source:HGNC Symbol;Acc:HGNC:1118]	789	-0.5388811230659485	-0.4829843	Yes	
row_11	CD55	CD55 molecule (Cromer blood group) [Source:HGNC Symbol;Acc:HGNC:2665]	814	-0.5599076747894287	-0.4696925	Yes	
row_12	IL18	interleukin 18 [Source:HGNC Symbol;Acc:HGNC:5986]	847	-0.613774299621582	-0.4609589	Yes	
row_13	PRDX2	peroxiredoxin 2 [Source:HGNC Symbol;Acc:HGNC:9353]	868	-0.6459109783172607	-0.43774185	Yes	
row_14	PNP	purine nucleoside phosphorylase [Source:HGNC Symbol;Acc:HGNC:7892]	902	-0.7025298476219177	-0.4240249	Yes	
row_15	HLA-DMB	major histocompatibility complex, class II, DM beta [Source:HGNC Symbol;Acc:HGNC:4935]	914	-0.7368982434272766	-0.38541704	Yes	
row_16	PSMB10	proteasome 20S subunit beta 10 [Source:HGNC Symbol;Acc:HGNC:9538]	927	-0.771859347820282	-0.34546784	Yes	
row_17	CASP3	caspase 3 [Source:HGNC Symbol;Acc:HGNC:1504]	931	-0.7807434797286987	-0.2956864	Yes	
row_18	ACE	angiotensin I converting enzyme [Source:HGNC Symbol;Acc:HGNC:2707]	946	-0.8199199438095093	-0.25453466	Yes	
row_19	HLA-DRB1	major histocompatibility complex, class II, DR beta 1 [Source:HGNC Symbol;Acc:HGNC:4948]	986	-1.1938711404800415	-0.21370648	Yes	
row_20	ARG2	arginase 2 [Source:HGNC Symbol;Acc:HGNC:664]	991	-1.5006401538848877	-0.116211794	Yes	
row_21	CD74	CD74 molecule [Source:HGNC Symbol;Acc:HGNC:1697]	995	-1.7771004438400269	0.0010256052	Yes	
