NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1 [Source:HGNC Symbol;Acc:HGNC:9108]	19	0.8593693375587463	-0.006493515	No	
row_1	FAM162A	family with sequence similarity 162 member A [Source:HGNC Symbol;Acc:HGNC:17865]	37	0.6547834277153015	-0.014285838	No	
row_2	CLU	clusterin [Source:HGNC Symbol;Acc:HGNC:2095]	74	0.467189222574234	-0.046757136	No	
row_3	HIGD1A	HIG1 hypoxia inducible domain family member 1A [Source:HGNC Symbol;Acc:HGNC:29527]	78	0.45466217398643494	-0.04224197	No	
row_4	YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta [Source:HGNC Symbol;Acc:HGNC:12853]	90	0.43239930272102356	-0.047132667	No	
row_5	BNIP3	BCL2 interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:1084]	153	0.34533846378326416	-0.11103277	No	
row_6	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	156	0.33836403489112854	-0.107410274	No	
row_7	MT-ATP8	mitochondrially encoded ATP synthase membrane subunit 8 [Source:HGNC Symbol;Acc:HGNC:7415]	158	0.33394917845726013	-0.10273706	No	
row_8	TFRC	transferrin receptor [Source:HGNC Symbol;Acc:HGNC:11763]	170	0.31801122426986694	-0.10961465	No	
row_9	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta [Source:HGNC Symbol;Acc:HGNC:12855]	212	0.27820849418640137	-0.15100548	No	
row_10	MT-ND6	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 [Source:HGNC Symbol;Acc:HGNC:7462]	225	0.26831966638565063	-0.15987357	No	
row_11	SREBF2	sterol regulatory element binding transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:11290]	231	0.26032912731170654	-0.16098872	No	
row_12	MTFP1	mitochondrial fission process 1 [Source:HGNC Symbol;Acc:HGNC:26945]	255	-0.2525160014629364	-0.18253268	No	
row_13	CHCHD4	coiled-coil-helix-coiled-coil-helix domain containing 4 [Source:HGNC Symbol;Acc:HGNC:26467]	259	-0.25338655710220337	-0.18151362	No	
row_14	PINK1	PTEN induced kinase 1 [Source:HGNC Symbol;Acc:HGNC:14581]	277	-0.25693079829216003	-0.19621652	No	
row_15	BAK1	BCL2 antagonist/killer 1 [Source:HGNC Symbol;Acc:HGNC:949]	294	-0.2619319260120392	-0.20970517	No	
row_16	TNFSF10	TNF superfamily member 10 [Source:HGNC Symbol;Acc:HGNC:11925]	314	-0.26824304461479187	-0.22646639	No	
row_17	DNAJC15	DnaJ heat shock protein family (Hsp40) member C15 [Source:HGNC Symbol;Acc:HGNC:20325]	348	-0.27536019682884216	-0.25888753	No	
row_18	CHCHD2	coiled-coil-helix-coiled-coil-helix domain containing 2 [Source:HGNC Symbol;Acc:HGNC:21645]	349	-0.2759201228618622	-0.25409487	No	
row_19	COA5	cytochrome c oxidase assembly factor 5 [Source:HGNC Symbol;Acc:HGNC:33848]	365	-0.2797214686870575	-0.2661471	No	
row_20	TMEM135	transmembrane protein 135 [Source:HGNC Symbol;Acc:HGNC:26167]	371	-0.2812969386577606	-0.26689804	No	
row_21	NDUFA6	NADH:ubiquinone oxidoreductase subunit A6 [Source:HGNC Symbol;Acc:HGNC:7690]	402	-0.2915475368499756	-0.29565582	No	
row_22	MUL1	mitochondrial E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:25762]	404	-0.2926333248615265	-0.29170024	No	
row_23	NDUFA11	NADH:ubiquinone oxidoreductase subunit A11 [Source:HGNC Symbol;Acc:HGNC:20371]	412	-0.2957046329975128	-0.2944557	No	
row_24	PMPCB	peptidase, mitochondrial processing subunit beta [Source:HGNC Symbol;Acc:HGNC:9119]	418	-0.2974361479282379	-0.29492632	No	
row_25	SLC25A36	solute carrier family 25 member 36 [Source:HGNC Symbol;Acc:HGNC:25554]	430	-0.2994755804538727	-0.30212587	No	
row_26	BAD	BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936]	441	-0.3041301667690277	-0.30811715	No	
row_27	ESRRA	estrogen related receptor alpha [Source:HGNC Symbol;Acc:HGNC:3471]	447	-0.30600064992904663	-0.308439	No	
row_28	MIGA2	mitoguardin 2 [Source:HGNC Symbol;Acc:HGNC:23621]	457	-0.310703843832016	-0.31318873	No	
row_29	SAMM50	SAMM50 sorting and assembly machinery component [Source:HGNC Symbol;Acc:HGNC:24276]	468	-0.3135656416416168	-0.31901613	No	
row_30	GRPEL1	GrpE like 1, mitochondrial [Source:HGNC Symbol;Acc:HGNC:19696]	483	-0.3220340311527252	-0.32920602	No	
row_31	UBE2J2	ubiquitin conjugating enzyme E2 J2 [Source:HGNC Symbol;Acc:HGNC:19268]	491	-0.32361629605293274	-0.3314767	No	
row_32	APOOL	apolipoprotein O like [Source:HGNC Symbol;Acc:HGNC:24009]	495	-0.3251601457595825	-0.3292109	No	
row_33	TOMM70	translocase of outer mitochondrial membrane 70 [Source:HGNC Symbol;Acc:HGNC:11985]	513	-0.3346931040287018	-0.34256312	No	
row_34	ATP5MC2	ATP synthase membrane subunit c locus 2 [Source:HGNC Symbol;Acc:HGNC:842]	532	-0.3444669246673584	-0.35687295	No	
row_35	NDUFB2	NADH:ubiquinone oxidoreductase subunit B2 [Source:HGNC Symbol;Acc:HGNC:7697]	536	-0.346210241317749	-0.35424155	No	
row_36	CYCS	cytochrome c, somatic [Source:HGNC Symbol;Acc:HGNC:19986]	544	-0.3497234582901001	-0.35605875	No	
row_37	COX19	cytochrome c oxidase assembly factor COX19 [Source:HGNC Symbol;Acc:HGNC:28074]	551	-0.35440516471862793	-0.3566672	No	
row_38	MTX2	metaxin 2 [Source:HGNC Symbol;Acc:HGNC:7506]	590	-0.38202279806137085	-0.3928726	No	
row_39	COX7A2L	cytochrome c oxidase subunit 7A2 like [Source:HGNC Symbol;Acc:HGNC:2289]	599	-0.38726896047592163	-0.39516503	No	
row_40	RAB5IF	RAB5 interacting factor [Source:HGNC Symbol;Acc:HGNC:15870]	615	-0.39360836148262024	-0.40523908	No	
row_41	APOO	apolipoprotein O [Source:HGNC Symbol;Acc:HGNC:28727]	626	-0.40072789788246155	-0.4095525	No	
row_42	MARCHF5	membrane associated ring-CH-type finger 5 [Source:HGNC Symbol;Acc:HGNC:26025]	628	-0.40216732025146484	-0.40369436	No	
row_43	TIMM17A	translocase of inner mitochondrial membrane 17A [Source:HGNC Symbol;Acc:HGNC:17315]	634	-0.40354862809181213	-0.40232182	No	
