NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
FABP6	1	Fabp6	
S100A6	1	S100a6	
TMSB10	1	Tmsb10	
MT1A	1	Mt1	
TM4SF4	1	Tm4sf4	
SGK1	1	Sgk1	
GUCA2A	1	Guca2a	
HMGCS1	1	Hmgcs1	
TMIGD1	1	Tmigd1	
ABHD2	1	Abhd2	
ACTB	1	Actb	
TMSB4X	1	Tmsb4x	
MSMO1	1	Msmo1	
C19orf33	1	2200002D01Rik	
LY6D	1	Ly6d	
SLC10A2	1	Slc10a2	
PGLYRP1	1	Pglyrp1	
S100A11	1	S100a11	
CYP3A4	1	Cyp3a13	
PMAIP1	1	Pmaip1	
POR	1	Por	
PHGR1	1	Phgr1	
INSIG1	1	Insig1	
DYNLL1	1	Dynll1	
TFF3	1	Tff3	
MGST1	1	Mgst1	
STK17B	1	Stk17b	
ADA	1	Ada	
RBM3	1	Rbm3	
DHCR24	1	Dhcr24	
RPL37A	1	Rpl37a	
DUSP1	1	Dusp1	
SQLE	1	Sqle	
MT-ND4L	1	mt-Nd4l	
ABCB1	1	Abcb1a	
MALAT1	1	Malat1	
SCD	1	Scd2	
FAM162A	1	Fam162a	
NEU1	1	Neu1	
GFPT1	1	Gfpt1	
PLSCR1	1	Plscr1	
H2AJ	1	H2afj	
RPL41	1	Rpl41	
WSB1	1	Wsb1	
APOA1	1	Apoa1	
GLS	1	Gls	
IDI1	1	Idi1	
CYP51A1	1	Cyp51	
IGKC	1	Igkc	
ITPRID2	1	Ssfa2	
CLCA4	2	Clca4b:Clca4a	
ATF3	1	Atf3	
IFRD1	1	Ifrd1	
QSOX1	1	Qsox1	
TM4SF20	1	Tm4sf20	
EGR1	1	Egr1	
JUNB	1	Junb	
XIST	1	Xist	
RPS28	1	Rps28	
PTP4A1	1	Ptp4a1	
GCNT3	1	Gcnt3	
RPL35	1	Rpl35	
C6orf62	1	BC005537	
SDCBP	1	Sdcbp	
SLC51A	1	Slc51a	
VEGFA	1	Vegfa	
MARCKS	1	Marcks	
MGAT4C	1	Mgat4c	
MIF	1	Mif	
RPL39	1	Rpl39	
KRT18	1	Krt18	
UBALD2	1	Ubald2	
C10orf99	1	2610528A11Rik	
SH3BGRL3	1	Sh3bgrl3	
CLU	1	Clu	
ARF6	1	Arf6	
LDLR	1	Ldlr	
RPS20	1	Rps20	
HIGD1A	1	Higd1a	
MYO15B	1	Myo15b	
APOC3	1	Apoc3	
RPL22L1	1	Rpl22l1	
NOCT	1	Noct	
CYBA	1	Cyba	
FKBP5	1	Fkbp5	
TOB1	1	Tob1	
HERPUD1	1	Herpud1	
TMEM238	1	Tmem238	
EMP1	1	Emp1	
PANK3	1	Pank3	
YWHAH	1	Ywhah	
FOSL2	1	Fosl2	
PGK1	1	Pgk1	
TENT5A	1	Fam46a	
FAT1	1	Fat1	
RPS29	1	Rps29	
APP	1	App	
MYL7	1	Myl7	
LGMN	1	Lgmn	
SLC25A22	1	Slc25a22	
LPCAT4	1	Lpcat4	
MAPK6	1	Mapk6	
RPL36	1	Rpl36	
FOSB	1	Fosb	
NOS2	1	Nos2	
RPL37	1	Rpl37	
RPS19	1	Rps19	
SPINK4	1	Spink4	
PTMA	1	Ptma	
ANKRD37	1	Ankrd37	
PRR13	1	Prr13	
RPL30	1	Rpl30	
SLC44A4	1	Slc44a4	
LMO7	1	Lmo7	
MIDN	1	Midn	
ETNK1	1	Etnk1	
S100A10	1	S100a10	
SLC28A2	1	Slc28a2	
PLEC	1	Plec	
DDAH1	1	Ddah1	
HBEGF	1	Hbegf	
ERRFI1	1	Errfi1	
ATP8B1	1	Atp8b1	
ITGA6	1	Itga6	
SLC16A3	1	Slc16a3	
ABHD17C	1	Abhd17c	
CTNNB1	1	Ctnnb1	
SAT1	1	Sat1	
FDPS	1	Fdps	
RHOB	1	Rhob	
SLC6A6	1	Slc6a6	
RPS27	1	Rps27	
RPL11	1	Rpl11	
NDRG1	1	Ndrg1	
AZIN1	1	Azin1	
ACTR2	1	Actr2	
SLC5A8	1	Slc5a8	
RTN4	1	Rtn4	
JUND	1	Jund	
SPINT2	1	Spint2	
HMGCR	1	Hmgcr	
CXCL16	1	Cxcl16	
SLC13A2	1	Slc13a2	
NAALADL1	1	Naaladl1	
EFHD2	1	Efhd2	
ALKBH5	1	Alkbh5	
SKP1	1	Skp1a	
GML	2	Gml:Gml2	
GUCA2B	1	Guca2b	
ATP2B1	1	Atp2b1	
ACSL3	1	Acsl3	
BMP2	1	Bmp2	
CPE	1	Cpe	
BNIP3	1	Bnip3	
RPS26	1	Rps26	
SELENOP	1	Selenop	
JUN	1	Jun	
PPIA	1	Ppia	
MT-ATP8	1	mt-Atp8	
ALDOA	1	Aldoa	
MT1X	1	Mt2	
CCDC71L	1	Ccdc71l	
KRT12	1	Krt12	
AREG	1	Areg	
CAMK2D	1	Camk2d	
DAZAP2	1	Dazap2	
KLF6	1	Klf6	
EPS8L3	1	Eps8l3	
RAPH1	1	Raph1	
C4orf3	1	1810037I17Rik	
TFRC	1	Tfrc	
RPS7	1	Rps7	
GCH1	1	Gch1	
RRAS	1	Rras	
TSPAN8	1	Tspan8	
MTMR11	1	Mtmr11	
DSG2	1	Dsg2	
CTSD	1	Ctsd	
RPS24	1	Rps24	
TCF7L2	1	Tcf7l2	
WDR1	1	Wdr1	
SLC38A2	1	Slc38a2	
SEM1	1	Sem1	
EIF4EBP1	1	Eif4ebp1	
SLC25A1	1	Slc25a1	
SUOX	1	Suox	
TXNIP	1	Txnip	
H2AZ1	1	H2afz	
FDFT1	1	Fdft1	
ENPEP	1	Enpep	
SERTAD1	1	Sertad1	
SLC26A2	1	Slc26a2	
SELENOI	1	Selenoi	
BRD2	1	Brd2	
NABP1	1	Nabp1	
S100A16	1	S100a16	
DGAT2	1	Dgat2	
TMEM256	1	Tmem256	
CES2	3	Ces2g:Ces2e:Ces2a	
PLK3	1	Plk3	
RPL10A	1	Rpl10a	
HLA-A	1	H2-K1	
JCHAIN	1	Jchain	
WASL	1	Wasl	
SLC15A1	1	Slc15a1	
RPL38	1	Rpl38	
RPL18A	1	Rpl18a	
ITPK1	1	Itpk1	
CCND2	1	Ccnd2	
C1orf116	1	AA986860	
DSP	1	Dsp	
SLC39A1	1	Slc39a1	
YWHAZ	1	Ywhaz	
RNF152	1	Rnf152	
RPL6	1	Rpl6	
CAPZA2	1	Capza2	
MUC17	1	Muc3	
RPS15	1	Rps15	
ANXA7	1	Anxa7	
LRATD1	1	Fam84a	
SLC6A8	1	Slc6a8	
GSR	1	Gsr	
RPS2	1	Rps2	
TFCP2L1	1	Tfcp2l1	
UBC	1	Ubc	
MT-ND6	1	mt-Nd6	
GNAI3	1	Gnai3	
NCKAP5	1	Nckap5	
SLC30A10	1	Slc30a10	
GSDME	1	Gsdme	
TPM4	1	Tpm4	
SREBF2	1	Srebf2	
MAPK1IP1L	1	Mapk1ip1l	
DBP	1	Dbp	
H3-3B	1	H3f3b	
HSD17B7	1	Hsd17b7	
GGH	1	Ggh	
RPS27A	1	Rps27a	
PNRC1	1	Pnrc1	
HEXIM1	1	Hexim1	
ZFP36	1	Zfp36	
NUCB1	1	Nucb1	
CLEC2D	1	Clec2d	
SUCO	1	Suco	
MYL12A	1	Myl12a	
PLB1	1	Plb1	
CSNK1A1	1	Csnk1a1	
OGT	1	Ogt	
EHHADH	1	Ehhadh	
SRI	1	Sri	
RTRAF	1	Rtraf	
SNX6	1	Snx6	
PSMB3	1	Psmb3	
PJA1	1	Pja1	
C18orf32	1	BC031181	
MTFP1	1	Mtfp1	
SARAF	1	Saraf	
CSNK2B	1	Csnk2b	
GALK1	1	Galk1	
CHCHD4	1	Chchd4	
CEACAM20	1	Ceacam20	
VCP	1	Vcp	
TMBIM6	1	Tmbim6	
PSMB4	1	Psmb4	
CIITA	1	Ciita	
SNX3	1	Snx3	
GPAT3	1	Gpat3	
ADH5	1	Adh5	
ABCG2	1	Abcg2	
EMC10	1	Emc10	
MALRD1	1	Malrd1	
GALT	1	Galt	
SPCS1	1	Spcs1	
SEPHS2	1	Sephs2	
SOCS2	1	Socs2	
DYNC1LI1	1	Dync1li1	
ZDHHC7	1	Zdhhc7	
PINK1	1	Pink1	
PSMA2	1	Psma2	
CEBPG	1	Cebpg	
COPG1	1	Copg1	
NADK	1	Nadk	
APRT	1	Aprt	
EFCAB14	1	Efcab14	
OAZ1	1	Oaz1	
ACBD4	1	Acbd4	
CTNNBIP1	1	Ctnnbip1	
HMOX2	1	Hmox2	
GAL3ST1	1	Gal3st1	
MYDGF	1	Mydgf	
SDCBP2	1	Sdcbp2	
GADD45A	1	Gadd45a	
MCEE	1	Mcee	
PRDX5	1	Prdx5	
BAK1	1	Bak1	
NABP2	1	Nabp2	
KBTBD11	1	Kbtbd11	
LIMA1	1	Lima1	
MPP1	1	Mpp1	
NAA35	1	Naa35	
PTGES2	1	Ptges2	
SLC4A7	1	Slc4a7	
LGALS3	1	Lgals3	
SPR	1	Spr	
FAM151A	1	Fam151a	
LAMP2	1	Lamp2	
CEBPB	1	Cebpb	
SMPD2	1	Smpd2	
ARHGAP18	1	Arhgap18	
PSMB1	1	Psmb1	
HSPE1	1	Hspe1	
MRPS5	1	Mrps5	
NTAN1	1	Ntan1	
AHCYL1	1	Ahcyl1	
TNFSF10	1	Tnfsf10	
MCRIP2	1	Mcrip2	
CMPK2	1	Cmpk2	
EMC2	1	Emc2	
ZFYVE21	1	Zfyve21	
SLC37A4	1	Slc37a4	
TSTA3	1	Tsta3	
VDR	1	Vdr	
TMEM219	1	Tmem219	
TMCC1	1	Tmcc1	
AK3	1	Ak3	
GSTO1	1	Gsto1	
TLE5	1	Aes	
MRPL55	1	Mrpl55	
ACOT8	1	Acot8	
PDK2	1	Pdk2	
SCFD1	1	Scfd1	
NDRG3	1	Ndrg3	
CYB5B	1	Cyb5b	
SLC35E1	1	Slc35e1	
TCEA3	1	Tcea3	
PDZD11	1	Pdzd11	
TMBIM4	1	Tmbim4	
PIGF	1	Pigf	
MRPL30	1	Mrpl30	
PSMA5	1	Psma5	
GNPDA1	1	Gnpda1	
SI	1	Sis	
ATG4D	1	Atg4d	
ISOC1	1	Isoc1	
TPI1	1	Tpi1	
PTGR2	1	Ptgr2	
TEX261	1	Tex261	
MPC1	1	Mpc1	
DNAJC15	1	Dnajc15	
CHCHD2	1	Chchd2	
VAPB	1	Vapb	
ABAT	1	Abat	
ACP1	1	Acp1	
KIAA1109	1	4932438A13Rik	
PLGRKT	1	Plgrkt	
FUOM	1	Fuom	
RRAGD	1	Rragd	
TPT1	1	Tpt1	
AKAP7	1	Akap7	
C10orf143	1	9430038I01Rik	
LRAT	1	Lrat	
SLC35B1	1	Slc35b1	
STARD7	1	Stard7	
MRPL4	1	Mrpl4	
TAP2	1	Tap2	
COA5	1	Coa5	
SDF4	1	Sdf4	
DTX3L	1	Dtx3l	
OSTC	1	Ostc	
SMCO4	1	Smco4	
DGLUCY	1	Dglucy	
TMEM135	1	Tmem135	
CISD3	1	Cisd3	
PM20D1	1	Pm20d1	
VPS37A	1	Vps37a	
PKIG	1	Pkig	
CDIP1	1	Cdip1	
SLC22A18	1	Slc22a18	
PDAP1	1	Pdap1	
HEXA	1	Hexa	
ARF1	1	Arf1	
PSMD13	1	Psmd13	
PRELID3B	1	Prelid3b	
GDPD2	1	Gdpd2	
C1orf210	1	2610528J11Rik	
MRPL58	1	Mrpl58	
MTTP	1	Mttp	
TMEM167A	1	Tmem167	
CPPED1	1	Cpped1	
SLC46A1	1	Slc46a1	
DDOST	1	Ddost	
CDC42EP2	1	Cdc42ep2	
G6PC	1	G6pc	
CPS1	1	Cps1	
MRPL35	1	Mrpl35	
COPS6	1	Cops6	
GSTA1	1	Gsta1	
MARCHF6	1	March6	
TM4SF5	1	Tm4sf5	
ESPN	1	Espn	
LTA4H	1	Lta4h	
ACADS	1	Acads	
NDUFA6	1	Ndufa6	
COX6B1	1	Cox6b1	
MUL1	1	Mul1	
SEC23B	1	Sec23b	
ABR	1	Abr	
PON2	1	Pon2	
ACY3	1	Acy3	
ABCD3	1	Abcd3	
PGAM1	1	Pgam1	
MRPL36	1	Mrpl36	
NDUFA11	1	Ndufa11	
FASTK	1	Fastk	
SLC6A4	1	Slc6a4	
KMT5A	1	Kmt5a	
MRPS15	1	Mrps15	
IAH1	1	Iah1	
PMPCB	1	Pmpcb	
ITLN1	1	Itln1	
GATA5	1	Gata5	
GPD1	1	Gpd1	
USO1	1	Uso1	
FMO5	1	Fmo5	
SLC22A1	1	Slc22a1	
SPTSSA	1	Sptssa	
NAXD	1	Naxd	
COPB1	1	Copb1	
SMIM7	1	Smim7	
SDF2L1	1	Sdf2l1	
SLC25A36	1	Slc25a36	
COMTD1	1	Comtd1	
RNF187	1	Rnf187	
PDHB	1	Pdhb	
ADCK5	1	Adck5	
PNKD	1	Pnkd	
ARL6IP1	1	Arl6ip1	
COQ7	1	Coq7	
ELOVL6	1	Elovl6	
HSPA5	1	Hspa5	
GRAMD2B	1	Gramd3	
BAD	1	Bad	
KXD1	1	Kxd1	
IFT172	1	Ift172	
LONP2	1	Lonp2	
COQ4	1	Coq4	
PSMA6	1	Psma6	
ESRRA	1	Esrra	
PSMC5	1	Psmc5	
VIL1	1	Vil1	
MAGT1	1	Magt1	
SPHK2	1	Sphk2	
PDHA1	1	Pdha1	
RPL21	1	Rpl21	
GCAT	1	Gcat	
EBP	1	Ebp	
FAM3D	1	Oit1	
MIGA2	1	Miga2	
GSDMC	2	Gsdmc4:Gsdmc2	
RAB25	1	Rab25	
ME1	1	Me1	
MRPS34	1	Mrps34	
APEH	1	Apeh	
MCUR1	1	Mcur1	
DAP	1	Dap	
HEATR5A	1	Heatr5a	
CST6	1	Cst6	
LAPTM4A	1	Laptm4a	
SAMM50	1	Samm50	
ALDH2	1	Aldh2	
MFSD4B	1	Mfsd4b3	
CNIH4	1	Cnih4	
SMIM24	1	Smim24	
RNF167	1	Rnf167	
GSTK1	1	Gstk1	
OASL2P	1	Oasl2	
GLRX5	1	Glrx5	
MRPS16	1	Mrps16	
CAPN13	1	Capn13	
SAMHD1	1	Samhd1	
CROT	1	Crot	
PDXK	1	Pdxk	
ACSF2	1	Acsf2	
GRPEL1	1	Grpel1	
TMEM45B	1	Tmem45b	
MYLK	1	Mylk	
CS	1	Cs	
SEC22B	1	Sec22b	
C11orf24	1	1810055G02Rik	
CCS	1	Ccs	
GPX4	1	Gpx4	
UBE2J2	1	Ube2j2	
DHFRP1	1	Dhfr	
PRKAR2A	1	Prkar2a	
DLAT	1	Dlat	
APOOL	1	Apool	
SNAPC5	1	Snapc5	
SEC11A	1	Sec11a	
RER1	1	Rer1	
CDX2	1	Cdx2	
MGAT2	1	Mgat2	
SAP30L	1	Sap30l	
PPP1R1B	1	Ppp1r1b	
SLC26A3	1	Slc26a3	
REG3A	1	Reg3b	
STAT1	1	Stat1	
ANKRD9	1	Ankrd9	
PEX16	1	Pex16	
SEC31A	1	Sec31a	
SECTM1	1	Sectm1b	
SLC7A9	1	Slc7a9	
BANF1	1	Banf1	
DGCR6L	1	Dgcr6	
TOMM70	1	Tomm70a	
EXOC3L4	1	Exoc3l4	
MGST2	1	Mgst2	
GNG12	1	Gng12	
SELENOS	1	Selenos	
ORAI1	1	Orai1	
ACADM	1	Acadm	
ACTG1	1	Actg1	
BDH1	1	Bdh1	
AHCYL2	1	Ahcyl2	
ME2	1	Me2	
ERP44	1	Erp44	
PDIA3	1	Pdia3	
SPCS2	1	Spcs2	
SLC16A6	1	Slc16a6	
PSMD8	1	Psmd8	
ST3GAL4	1	St3gal4	
ACAD11	1	Acad11	
TBRG1	1	Tbrg1	
ATP5MC2	1	Atp5g2	
GOT1	1	Got1	
MLX	1	Mlx	
HADHB	1	Hadhb	
NDUFB2	1	Ndufb2	
PRKG2	1	Prkg2	
SCAMP5	1	Scamp5	
ABHD12	1	Abhd12	
ANO6	1	Ano6	
LTC4S	1	Ltc4s	
DPEP1	1	Dpep1	
SMIM31	1	BC030870	
CYCS	1	Cycs	
LCMT1	1	Lcmt1	
MAF	1	Maf	
SULT2B1	1	Sult2b1	
PPP5C	1	Ppp5c	
ODC1	1	Odc1	
ACY1	1	Acy1	
COX19	1	Cox19	
ADH1B	1	Adh1	
FKBP2	1	Fkbp2	
ABCD1	1	Abcd1	
CIAO2A	1	Fam96a	
SLC39A5	1	Slc39a5	
MRPL43	1	Mrpl43	
AQP11	1	Aqp11	
C9orf64	1	2210016F16Rik	
COPE	1	Cope	
GLO1	1	Glo1	
GPR89A	1	Gpr89	
LMAN2	1	Lman2	
SCOC	1	Scoc	
HINT2	1	Hint2	
FMC1-LUC7L2	1	Fmc1	
YIPF1	1	Yipf1	
AIG1	1	Aig1	
PARP9	1	Parp9	
DPYD	1	Dpyd	
HADHA	1	Hadha	
DNAJA1	1	Dnaja1	
ABCG8	1	Abcg8	
TMEM208	1	Tmem208	
ZBP1	1	Zbp1	
TMEM41A	1	Tmem41a	
SLC5A4	2	Slc5a4b:Slc5a4a	
EIF4H	1	Eif4h	
CRAT	1	Crat	
DHRS7B	1	Dhrs7b	
PRPSAP1	1	Prpsap1	
PARP14	1	Parp14	
TUFM	1	Tufm	
ACO1	1	Aco1	
IRGM	1	Igtp	
RFK	1	Rfk	
MLEC	1	Mlec	
SLC43A2	1	Slc43a2	
CASP7	1	Casp7	
MTX2	1	Mtx2	
PSMA1	1	Psma1	
LAMTOR2	1	Lamtor2	
SCRN2	1	Scrn2	
CYB5A	1	Cyb5a	
MAFB	1	Mafb	
ABHD17A	1	Abhd17a	
DHRS11	1	Dhrs11	
XPNPEP1	1	Xpnpep1	
COX7A2L	1	Cox7a2l	
ENTPD5	1	Entpd5	
CHDH	1	Chdh	
DYNC1H1	1	Dync1h1	
GALM	1	Galm	
PGRMC2	1	Pgrmc2	
KIAA0232	1	D5Ertd579e	
SGPL1	1	Sgpl1	
DNAJB11	1	Dnajb11	
IFNGR2	1	Ifngr2	
DUOX2	1	Duox2	
CLIC5	1	Clic5	
STK16	1	Stk16	
GGT1	1	Ggt1	
NPC1L1	1	Npc1l1	
NMI	1	Nmi	
RAB5IF	1	1110008F13Rik	
ERICH4	1	Erich4	
VMP1	1	Vmp1	
COX7C	1	Cox7c	
BOLA3	1	Bola3	
SLC31A1	1	Slc31a1	
UQCR11	1	Uqcr11	
AS3MT	1	As3mt	
GMPPB	1	Gmppb	
CD81	1	Cd81	
PLIN2	1	Plin2	
APOO	1	Apoo	
PLIN3	1	Plin3	
MARCHF5	1	March5	
CYP2C18	1	Cyp2c55	
MS4A8	1	Ms4a8a	
ERGIC3	1	Ergic3	
EEF1A1	1	Eef1a1	
GPD2	1	Gpd2	
TIMM17A	1	Timm17a	
ETFA	1	Etfa	
MSRA	1	Msra	
ALDH18A1	1	Aldh18a1	
ARPC1A	1	Arpc1a	
BAG1	1	Bag1	
PYCR3	1	Pycrl	
CISD1	1	Cisd1	
GUK1	1	Guk1	
PPIB	1	Ppib	
FH	1	Fh1	
TRIM31	1	Trim31	
DERL1	1	Derl1	
TMEM19	1	Tmem19	
CDR2	1	Cdr2	
LPCAT3	1	Lpcat3	
SLC36A1	1	Slc36a1	
UQCR10	1	Uqcr10	
KDELR1	1	Kdelr1	
CPT2	1	Cpt2	
TBX3	1	Tbx3	
SSR2	1	Ssr2	
MANF	1	Manf	
TUBB4B	1	Tubb4b	
ESD	1	Esd	
MRPL15	1	Mrpl15	
MTCO2P12	1	mt-Co2	
LARP1B	1	Larp1b	
LMAN1	1	Lman1	
TAP1	1	Tap1	
IDH3G	1	Idh3g	
MRPL18	1	Mrpl18	
ATP5F1E	1	Atp5e	
IRF8	1	Irf8	
TMEM37	1	Tmem37	
CNPY2	1	Cnpy2	
COX8A	1	Cox8a	
NDUFS6	1	Ndufs6	
AKR7A2	1	Akr7a5	
VAMP5	1	Vamp5	
NUDT5	1	Nudt5	
SORD	1	Sord	
CALML4	1	Calml4	
BET1	1	Bet1	
CD36	1	Cd36	
THOC7	1	Thoc7	
ACADVL	1	Acadvl	
TMEM184A	1	Tmem184a	
HSPA8	1	Hspa8	
NDUFS1	1	Ndufs1	
TMEM147	1	Tmem147	
HNF4G	1	Hnf4g	
CDKN2B	1	Cdkn2b	
PTPRF	1	Ptprf	
HIPK2	1	Hipk2	
IFI27	1	Ifi27	
SLC7A8	1	Slc7a8	
CLDN15	1	Cldn15	
TXN2	1	Txn2	
CD302	1	Cd302	
UCP2	1	Ucp2	
PPP1R14D	1	Ppp1r14d	
EBPL	1	Ebpl	
UNC93A	1	Gm9992	
PSMB2	1	Psmb2	
ADTRP	1	Adtrp	
DAB1	1	Dab1	
CYP2C19	2	Cyp2c65:Cyp2c66	
CYP3A43	1	Cyp3a25	
MAOB	1	Maob	
PHB2	1	Phb2	
TMED4	1	Tmed4	
DECR1	1	Decr1	
RETSAT	1	Retsat	
TMEM86A	1	Tmem86a	
DHRS4	1	Dhrs4	
UPP1	1	Upp1	
ATP5F1D	1	Atp5d	
PSME1	1	Psme1	
TKFC	1	Tkfc	
S100G	1	S100g	
PPARGC1A	1	Ppargc1a	
ACOT13	1	Acot13	
NDUFB3	1	Ndufb3	
NDUFA1	1	Ndufa1	
GSTM1	3	Gstm3:Gstm1:Gstm6	
MRPS36	1	Mrps36	
SLC25A15	1	Slc25a15	
MRPL51	1	Mrpl51	
TMEM120A	1	Tmem120a	
LAP3	1	Lap3	
NDUFB7	1	Ndufb7	
ATP5MPL	1	2010107E04Rik	
UBE2M	1	Ube2m	
VDAC1	1	Vdac1	
ACE2	1	Ace2	
TREH	1	Treh	
YBX1	1	Ybx1	
PSMA3	1	Psma3	
SAR1B	1	Sar1b	
NDUFB11	1	Ndufb11	
SURF4	1	Surf4	
CMBL	1	Cmbl	
TFG	1	Tfg	
LETM1	1	Letm1	
ATP5MC3	1	Atp5g3	
COMT	1	Comt	
COX7A2	1	Cox7a2	
CENPV	1	Cenpv	
MRPL42	1	Mrpl42	
REEP6	1	Reep6	
IQGAP2	1	Iqgap2	
ACP5	1	Acp5	
HINT1	1	Hint1	
ECI1	1	Eci1	
UBE4B	1	Ube4b	
TMA7	1	Tma7	
CAT	1	Cat	
RNPEP	1	Rnpep	
MPC2	1	Mpc2	
CYP4V2	1	Cyp4v3	
NDUFS8	1	Ndufs8	
REG3G	1	Reg3g	
