NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	POR	cytochrome p450 oxidoreductase [Source:HGNC Symbol;Acc:HGNC:9208]	20	0.850222647190094	0.001976138	No	
row_1	TOB1	transducer of ERBB2, 1 [Source:HGNC Symbol;Acc:HGNC:11979]	85	0.44114401936531067	-0.05484411	No	
row_2	ALDOA	aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]	159	0.33390697836875916	-0.12434356	No	
row_3	SLC25A1	solute carrier family 25 member 1 [Source:HGNC Symbol;Acc:HGNC:10979]	184	0.3033995032310486	-0.14182939	No	
row_4	NABP1	nucleic acid binding protein 1 [Source:HGNC Symbol;Acc:HGNC:26232]	194	0.29346030950546265	-0.14340928	No	
row_5	UBC	ubiquitin C [Source:HGNC Symbol;Acc:HGNC:12468]	224	0.2689400017261505	-0.16724338	No	
row_6	GADD45A	growth arrest and DNA damage inducible alpha [Source:HGNC Symbol;Acc:HGNC:4095]	291	-0.26158127188682556	-0.231195	No	
row_7	DNAJC15	DnaJ heat shock protein family (Hsp40) member C15 [Source:HGNC Symbol;Acc:HGNC:20325]	348	-0.27536019682884216	-0.28397748	No	
row_8	ACADS	acyl-CoA dehydrogenase short chain [Source:HGNC Symbol;Acc:HGNC:90]	401	-0.29049646854400635	-0.33202565	No	
row_9	ELOVL6	ELOVL fatty acid elongase 6 [Source:HGNC Symbol;Acc:HGNC:15829]	438	-0.3026563823223114	-0.36247703	No	
row_10	ESRRA	estrogen related receptor alpha [Source:HGNC Symbol;Acc:HGNC:3471]	447	-0.30600064992904663	-0.36263084	No	
row_11	MIGA2	mitoguardin 2 [Source:HGNC Symbol;Acc:HGNC:23621]	457	-0.310703843832016	-0.3637331	No	
row_12	ME1	malic enzyme 1 [Source:HGNC Symbol;Acc:HGNC:6983]	460	-0.31156548857688904	-0.35726026	No	
