NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1 [Source:HGNC Symbol;Acc:HGNC:9108]	19	0.8593693375587463	0.038410887	Yes	
row_1	ATF3	activating transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:785]	51	0.578048825263977	0.045347515	Yes	
row_2	KRT18	keratin 18 [Source:HGNC Symbol;Acc:HGNC:6430]	70	0.474046915769577	0.058735818	Yes	
row_3	CLU	clusterin [Source:HGNC Symbol;Acc:HGNC:2095]	74	0.467189222574234	0.08722049	Yes	
row_4	EMP1	epithelial membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:3333]	88	0.43433189392089844	0.10310952	Yes	
row_5	APP	amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]	96	0.4257490634918213	0.12464216	Yes	
row_6	CTNNB1	catenin beta 1 [Source:HGNC Symbol;Acc:HGNC:2514]	126	0.38030514121055603	0.120279774	Yes	
row_7	SAT1	spermidine/spermine N1-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10540]	127	0.3799961805343628	0.14597948	Yes	
row_8	RHOB	ras homolog family member B [Source:HGNC Symbol;Acc:HGNC:668]	129	0.37531206011772156	0.17032506	Yes	
row_9	BMP2	bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]	151	0.35152918100357056	0.17231527	Yes	
row_10	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	156	0.33836403489112854	0.19104995	Yes	
row_11	GCH1	GTP cyclohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:4193]	172	0.3160191774368286	0.19686264	Yes	
row_12	TXNIP	thioredoxin interacting protein [Source:HGNC Symbol;Acc:HGNC:16952]	186	0.3026135265827179	0.20384337	Yes	
row_13	CCND2	cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583]	208	0.2824990153312683	0.20116496	Yes	
row_14	GSR	glutathione-disulfide reductase [Source:HGNC Symbol;Acc:HGNC:4623]	221	0.2731231153011322	0.20718855	Yes	
row_15	GADD45A	growth arrest and DNA damage inducible alpha [Source:HGNC Symbol;Acc:HGNC:4095]	291	-0.26158127188682556	0.15330292	No	
row_16	LGALS3	galectin 3 [Source:HGNC Symbol;Acc:HGNC:6563]	302	-0.2634928822517395	0.1607499	No	
row_17	TNFSF10	TNF superfamily member 10 [Source:HGNC Symbol;Acc:HGNC:11925]	314	-0.26824304461479187	0.16748078	No	
row_18	EBP	EBP cholestenol delta-isomerase [Source:HGNC Symbol;Acc:HGNC:3133]	455	-0.3090462386608124	0.043153815	No	
row_19	DAP	death associated protein [Source:HGNC Symbol;Acc:HGNC:2672]	464	-0.31221961975097656	0.055970937	No	
row_20	GPX4	glutathione peroxidase 4 [Source:HGNC Symbol;Acc:HGNC:4556]	490	-0.32351920008659363	0.05191741	No	
row_21	DPYD	dihydropyrimidine dehydrogenase [Source:HGNC Symbol;Acc:HGNC:3012]	570	-0.36738160252571106	-0.0051862323	No	
row_22	DNAJA1	DnaJ heat shock protein family (Hsp40) member A1 [Source:HGNC Symbol;Acc:HGNC:5229]	572	-0.3690670132637024	0.018736977	No	
row_23	CASP7	caspase 7 [Source:HGNC Symbol;Acc:HGNC:1508]	589	-0.3806972801685333	0.027886592	No	
row_24	TAP1	transporter 1, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:43]	663	-0.4264518618583679	-0.018997977	No	
row_25	RETSAT	retinol saturase [Source:HGNC Symbol;Acc:HGNC:25991]	707	-0.45730364322662354	-0.032675657	No	
row_26	GSTM1	glutathione S-transferase mu 1 [Source:HGNC Symbol;Acc:HGNC:4632]	719	-0.46112823486328125	-0.012899657	No	
row_27	IL18	interleukin 18 [Source:HGNC Symbol;Acc:HGNC:5986]	847	-0.613774299621582	-0.10313193	No	
row_28	VDAC2	voltage dependent anion channel 2 [Source:HGNC Symbol;Acc:HGNC:12672]	851	-0.6208280920982361	-0.06425643	No	
row_29	SOD2	superoxide dismutase 2 [Source:HGNC Symbol;Acc:HGNC:11180]	860	-0.6364188194274902	-0.02951323	No	
row_30	CASP1	caspase 1 [Source:HGNC Symbol;Acc:HGNC:1499]	886	-0.673431932926178	-0.009901633	No	
row_31	CASP3	caspase 3 [Source:HGNC Symbol;Acc:HGNC:1504]	931	-0.7807434797286987	-0.002741939	No	
row_32	CASP6	caspase 6 [Source:HGNC Symbol;Acc:HGNC:1507]	969	-1.0221878290176392	0.028008405	No	
