NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TFF3	trefoil factor 3 [Source:HGNC Symbol;Acc:HGNC:11757]	24	0.7790545225143433	0.013403137	No	
row_1	FAM162A	family with sequence similarity 162 member A [Source:HGNC Symbol;Acc:HGNC:17865]	37	0.6547834277153015	0.03319816	No	
row_2	GFPT1	glutamine--fructose-6-phosphate transaminase 1 [Source:HGNC Symbol;Acc:HGNC:4241]	39	0.6303122043609619	0.0632675	No	
row_3	QSOX1	quiescin sulfhydryl oxidase 1 [Source:HGNC Symbol;Acc:HGNC:9756]	53	0.5743919014930725	0.07805043	No	
row_4	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	65	0.5057293176651001	0.091531746	No	
row_5	MIF	macrophage migration inhibitory factor [Source:HGNC Symbol;Acc:HGNC:7097]	68	0.4792749583721161	0.11310182	No	
row_6	PGK1	phosphoglycerate kinase 1 [Source:HGNC Symbol;Acc:HGNC:8896]	92	0.43054434657096863	0.110345796	No	
row_7	SLC16A3	solute carrier family 16 member 3 [Source:HGNC Symbol;Acc:HGNC:10924]	124	0.38280051946640015	0.096882336	No	
row_8	PPIA	peptidylprolyl isomerase A [Source:HGNC Symbol;Acc:HGNC:9253]	157	0.3357107937335968	0.08005061	No	
row_9	ALDOA	aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]	159	0.33390697836875916	0.09548893	No	
row_10	GALK1	galactokinase 1 [Source:HGNC Symbol;Acc:HGNC:4118]	258	-0.2530062794685364	0.0056812568	No	
row_11	GAL3ST1	galactose-3-O-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:24240]	288	-0.26064521074295044	-0.011724294	No	
row_12	SLC37A4	solute carrier family 37 member 4 [Source:HGNC Symbol;Acc:HGNC:4061]	319	-0.26885947585105896	-0.029768217	No	
row_13	TSTA3	tissue specific transplantation antigen P35B [Source:HGNC Symbol;Acc:HGNC:12390]	320	-0.26888298988342285	-0.01649574	No	
row_14	AK3	adenylate kinase 3 [Source:HGNC Symbol;Acc:HGNC:17376]	324	-0.26986417174339294	-0.006306353	No	
row_15	GNPDA1	glucosamine-6-phosphate deaminase 1 [Source:HGNC Symbol;Acc:HGNC:4417]	340	-0.27297112345695496	-0.008489699	No	
row_16	TPI1	triosephosphate isomerase 1 [Source:HGNC Symbol;Acc:HGNC:12009]	344	-0.27387842535972595	0.001897838	No	
row_17	RRAGD	Ras related GTP binding D [Source:HGNC Symbol;Acc:HGNC:19903]	356	-0.2774333655834198	0.0041101207	No	
row_18	PGAM1	phosphoglycerate mutase 1 [Source:HGNC Symbol;Acc:HGNC:8888]	410	-0.29495251178741455	-0.03665416	No	
row_19	HSPA5	heat shock protein family A (Hsp70) member 5 [Source:HGNC Symbol;Acc:HGNC:5238]	439	-0.3030836582183838	-0.050921045	No	
row_20	ME1	malic enzyme 1 [Source:HGNC Symbol;Acc:HGNC:6983]	460	-0.31156548857688904	-0.05641852	No	
row_21	ME2	malic enzyme 2 [Source:HGNC Symbol;Acc:HGNC:6984]	523	-0.338260293006897	-0.10443963	No	
