NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LDLR	low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:6547]	76	0.4635609984397888	0.00373107	Yes	
row_1	SLC28A2	solute carrier family 28 member 2 [Source:HGNC Symbol;Acc:HGNC:11002]	117	0.38949671387672424	0.03116061	Yes	
row_2	HBEGF	heparin binding EGF like growth factor [Source:HGNC Symbol;Acc:HGNC:3059]	120	0.3883298337459564	0.09708248	Yes	
row_3	ATP2B1	ATPase plasma membrane Ca2+ transporting 1 [Source:HGNC Symbol;Acc:HGNC:814]	149	0.3527038097381592	0.13029315	Yes	
row_4	KLF6	Kruppel like factor 6 [Source:HGNC Symbol;Acc:HGNC:2235]	166	0.32632797956466675	0.17110795	Yes	
row_5	GCH1	GTP cyclohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:4193]	172	0.3160191774368286	0.22132032	Yes	
row_6	GNAI3	G protein subunit alpha i3 [Source:HGNC Symbol;Acc:HGNC:4387]	226	0.2656763792037964	0.21384276	Yes	
row_7	SRI	sorcin [Source:HGNC Symbol;Acc:HGNC:11292]	249	-0.25151801109313965	0.23545568	Yes	
row_8	TNFSF10	TNF superfamily member 10 [Source:HGNC Symbol;Acc:HGNC:11925]	314	-0.26824304461479187	0.21722566	No	
row_9	SELENOS	selenoprotein S [Source:HGNC Symbol;Acc:HGNC:30396]	517	-0.3372361660003662	0.07054003	No	
row_10	IFNGR2	interferon gamma receptor 2 [Source:HGNC Symbol;Acc:HGNC:5440]	608	-0.391225129365921	0.04735555	No	
row_11	NMI	N-myc and STAT interactor [Source:HGNC Symbol;Acc:HGNC:7854]	614	-0.3935810923576355	0.11114142	No	
row_12	SLC31A1	solute carrier family 31 member 1 [Source:HGNC Symbol;Acc:HGNC:11016]	620	-0.39661645889282227	0.17545849	No	
row_13	CD55	CD55 molecule (Cromer blood group) [Source:HGNC Symbol;Acc:HGNC:2665]	814	-0.5599076747894287	0.07690582	No	
row_14	IL18	interleukin 18 [Source:HGNC Symbol;Acc:HGNC:5986]	847	-0.613774299621582	0.15173104	No	
