NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLSCR1	phospholipid scramblase 1 [Source:HGNC Symbol;Acc:HGNC:9092]	40	0.6218824982643127	0.019556299	No	
row_1	TENT5A	terminal nucleotidyltransferase 5A [Source:HGNC Symbol;Acc:HGNC:18345]	93	0.42968571186065674	0.008183755	No	
row_2	TXNIP	thioredoxin interacting protein [Source:HGNC Symbol;Acc:HGNC:16952]	186	0.3026135265827179	-0.05639155	No	
row_3	CMPK2	cytidine/uridine monophosphate kinase 2 [Source:HGNC Symbol;Acc:HGNC:27015]	316	-0.2685825824737549	-0.16206655	No	
row_4	PARP9	poly(ADP-ribose) polymerase family member 9 [Source:HGNC Symbol;Acc:HGNC:24118]	569	-0.36683717370033264	-0.38383475	Yes	
row_5	PARP14	poly(ADP-ribose) polymerase family member 14 [Source:HGNC Symbol;Acc:HGNC:29232]	582	-0.3741384446620941	-0.35974556	Yes	
row_6	NMI	N-myc and STAT interactor [Source:HGNC Symbol;Acc:HGNC:7854]	614	-0.3935810923576355	-0.3531751	Yes	
row_7	TAP1	transporter 1, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:43]	663	-0.4264518618583679	-0.360776	Yes	
row_8	IFI27	interferon alpha inducible protein 27 [Source:HGNC Symbol;Acc:HGNC:5397]	689	-0.44405001401901245	-0.34317395	Yes	
row_9	PSME1	proteasome activator subunit 1 [Source:HGNC Symbol;Acc:HGNC:9568]	712	-0.4587673246860504	-0.32107776	Yes	
row_10	LAP3	leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]	724	-0.46815618872642517	-0.28683352	Yes	
row_11	PSMA3	proteasome 20S subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:9532]	732	-0.47706297039985657	-0.24763821	Yes	
row_12	IFI35	interferon induced protein 35 [Source:HGNC Symbol;Acc:HGNC:5399]	788	-0.5386931896209717	-0.25148532	Yes	
row_13	PSME2	proteasome activator subunit 2 [Source:HGNC Symbol;Acc:HGNC:9569]	818	-0.5635502338409424	-0.22635989	Yes	
row_14	PSMB9	proteasome 20S subunit beta 9 [Source:HGNC Symbol;Acc:HGNC:9546]	872	-0.6515887379646301	-0.21719655	Yes	
row_15	CASP1	caspase 1 [Source:HGNC Symbol;Acc:HGNC:1499]	886	-0.673431932926178	-0.16505319	Yes	
row_16	PSMB8	proteasome 20S subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:9545]	975	-1.0574543476104736	-0.15221182	Yes	
row_17	CD74	CD74 molecule [Source:HGNC Symbol;Acc:HGNC:1697]	995	-1.7771004438400269	0.0010214539	Yes	
