NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLSCR1	phospholipid scramblase 1 [Source:HGNC Symbol;Acc:HGNC:9092]	40	0.6218824982643127	-0.012464118	No	
row_1	GCH1	GTP cyclohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:4193]	172	0.3160191774368286	-0.1343234	No	
row_2	TXNIP	thioredoxin interacting protein [Source:HGNC Symbol;Acc:HGNC:16952]	186	0.3026135265827179	-0.1336408	No	
row_3	HLA-A	major histocompatibility complex, class I, A [Source:HGNC Symbol;Acc:HGNC:4931]	201	0.28939008712768555	-0.13462482	No	
row_4	SRI	sorcin [Source:HGNC Symbol;Acc:HGNC:11292]	249	-0.25151801109313965	-0.17183933	No	
row_5	CIITA	class II major histocompatibility complex transactivator [Source:HGNC Symbol;Acc:HGNC:7067]	264	-0.2547990679740906	-0.17445253	No	
row_6	PSMA2	proteasome 20S subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:9531]	278	-0.25719884037971497	-0.17590888	No	
row_7	TNFSF10	TNF superfamily member 10 [Source:HGNC Symbol;Acc:HGNC:11925]	314	-0.26824304461479187	-0.19980957	No	
row_8	CMPK2	cytidine/uridine monophosphate kinase 2 [Source:HGNC Symbol;Acc:HGNC:27015]	316	-0.2685825824737549	-0.18820365	No	
row_9	ISOC1	isochorismatase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24254]	343	-0.27380284667015076	-0.2024479	No	
row_10	SAMHD1	SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:15925]	479	-0.32084715366363525	-0.32825518	No	
row_11	STAT1	signal transducer and activator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:11362]	505	-0.3293241262435913	-0.33884063	No	
row_12	SECTM1	secreted and transmembrane 1 [Source:HGNC Symbol;Acc:HGNC:10707]	509	-0.33355477452278137	-0.32626233	No	
row_13	ZBP1	Z-DNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:16176]	575	-0.3706014156341553	-0.37665737	No	
row_14	PARP14	poly(ADP-ribose) polymerase family member 14 [Source:HGNC Symbol;Acc:HGNC:29232]	582	-0.3741384446620941	-0.36529917	No	
row_15	CASP7	caspase 7 [Source:HGNC Symbol;Acc:HGNC:1508]	589	-0.3806972801685333	-0.35363206	No	
row_16	NMI	N-myc and STAT interactor [Source:HGNC Symbol;Acc:HGNC:7854]	614	-0.3935810923576355	-0.36014733	No	
row_17	TAP1	transporter 1, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:43]	663	-0.4264518618583679	-0.39016658	Yes	
row_18	IRF8	interferon regulatory factor 8 [Source:HGNC Symbol;Acc:HGNC:5358]	667	-0.4286118745803833	-0.37311128	Yes	
row_19	VAMP5	vesicle associated membrane protein 5 [Source:HGNC Symbol;Acc:HGNC:12646]	673	-0.431254506111145	-0.35801917	Yes	
row_20	IFI27	interferon alpha inducible protein 27 [Source:HGNC Symbol;Acc:HGNC:5397]	689	-0.44405001401901245	-0.35276285	Yes	
row_21	PSMB2	proteasome 20S subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:9539]	698	-0.44724172353744507	-0.3400493	Yes	
row_22	UPP1	uridine phosphorylase 1 [Source:HGNC Symbol;Acc:HGNC:12576]	710	-0.45849570631980896	-0.32993725	Yes	
row_23	PSME1	proteasome activator subunit 1 [Source:HGNC Symbol;Acc:HGNC:9568]	712	-0.4587673246860504	-0.30937397	Yes	
row_24	LAP3	leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]	724	-0.46815618872642517	-0.29880694	Yes	
row_25	PSMA3	proteasome 20S subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:9532]	732	-0.47706297039985657	-0.283645	Yes	
row_26	IFI35	interferon induced protein 35 [Source:HGNC Symbol;Acc:HGNC:5399]	788	-0.5386931896209717	-0.31568483	Yes	
row_27	PSME2	proteasome activator subunit 2 [Source:HGNC Symbol;Acc:HGNC:9569]	818	-0.5635502338409424	-0.31941402	Yes	
row_28	SOD2	superoxide dismutase 2 [Source:HGNC Symbol;Acc:HGNC:11180]	860	-0.6364188194274902	-0.33223736	Yes	
row_29	PSMB9	proteasome 20S subunit beta 9 [Source:HGNC Symbol;Acc:HGNC:9546]	872	-0.6515887379646301	-0.31303096	Yes	
row_30	CASP1	caspase 1 [Source:HGNC Symbol;Acc:HGNC:1499]	886	-0.673431932926178	-0.29488346	Yes	
row_31	PNP	purine nucleoside phosphorylase [Source:HGNC Symbol;Acc:HGNC:7892]	902	-0.7025298476219177	-0.2774532	Yes	
row_32	HLA-DMA	major histocompatibility complex, class II, DM alpha [Source:HGNC Symbol;Acc:HGNC:4934]	909	-0.7261295914649963	-0.24951687	Yes	
row_33	PSMB10	proteasome 20S subunit beta 10 [Source:HGNC Symbol;Acc:HGNC:9538]	927	-0.771859347820282	-0.230909	Yes	
row_34	CASP3	caspase 3 [Source:HGNC Symbol;Acc:HGNC:1504]	931	-0.7807434797286987	-0.19726893	Yes	
row_35	PSMB8	proteasome 20S subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:9545]	975	-1.0574543476104736	-0.19234993	Yes	
row_36	HLA-DRB1	major histocompatibility complex, class II, DR beta 1 [Source:HGNC Symbol;Acc:HGNC:4948]	986	-1.1938711404800415	-0.14655918	Yes	
row_37	HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1 [Source:HGNC Symbol;Acc:HGNC:4942]	993	-1.5119847059249878	-0.081610486	Yes	
row_38	CD74	CD74 molecule [Source:HGNC Symbol;Acc:HGNC:1697]	995	-1.7771004438400269	0.0010438751	Yes	
