NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ABCB1	ATP binding cassette subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:40]	34	0.673995852470398	0.046384092	No	
row_1	EMP1	epithelial membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:3333]	88	0.43433189392089844	0.044582523	No	
row_2	HBEGF	heparin binding EGF like growth factor [Source:HGNC Symbol;Acc:HGNC:3059]	120	0.3883298337459564	0.059675664	No	
row_3	BMP2	bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]	151	0.35152918100357056	0.071363196	No	
row_4	CPE	carboxypeptidase E [Source:HGNC Symbol;Acc:HGNC:2303]	152	0.34894752502441406	0.113321334	No	
row_5	CCND2	cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583]	208	0.2824990153312683	0.09122434	No	
row_6	PRELID3B	PRELI domain containing 3B [Source:HGNC Symbol;Acc:HGNC:15892]	382	-0.28456032276153564	-0.050910216	No	
row_7	CROT	carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:HGNC:2366]	480	-0.32132551074028015	-0.11115209	No	
row_8	PRKG2	protein kinase cGMP-dependent 2 [Source:HGNC Symbol;Acc:HGNC:9416]	537	-0.34648069739341736	-0.12657517	No	
row_9	MAFB	MAF bZIP transcription factor B [Source:HGNC Symbol;Acc:HGNC:6408]	595	-0.3842867314815521	-0.13847174	No	
row_10	IRF8	interferon regulatory factor 8 [Source:HGNC Symbol;Acc:HGNC:5358]	667	-0.4286118745803833	-0.15930973	No	
row_11	GLRX	glutaredoxin [Source:HGNC Symbol;Acc:HGNC:4330]	769	-0.5124866366386414	-0.20064348	No	
row_12	EPB41L3	erythrocyte membrane protein band 4.1 like 3 [Source:HGNC Symbol;Acc:HGNC:3380]	782	-0.5240123867988586	-0.14986761	No	
row_13	ACE	angiotensin I converting enzyme [Source:HGNC Symbol;Acc:HGNC:2707]	946	-0.8199199438095093	-0.21743578	Yes	
row_14	PSMB8	proteasome 20S subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:9545]	975	-1.0574543476104736	-0.11882766	Yes	
row_15	PIGR	polymeric immunoglobulin receptor [Source:HGNC Symbol;Acc:HGNC:8968]	984	-1.1577906608581543	0.012232443	Yes	
