NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IFRD1	interferon related developmental regulator 1 [Source:HGNC Symbol;Acc:HGNC:5456]	52	0.5744974613189697	-0.0052876426	No	
row_1	PGK1	phosphoglycerate kinase 1 [Source:HGNC Symbol;Acc:HGNC:8896]	92	0.43054434657096863	-0.009281054	No	
row_2	PPIA	peptidylprolyl isomerase A [Source:HGNC Symbol;Acc:HGNC:9253]	157	0.3357107937335968	-0.047059786	No	
row_3	H2AZ1	H2A.Z variant histone 1 [Source:HGNC Symbol;Acc:HGNC:4741]	187	0.30154839158058167	-0.051595468	No	
row_4	RPL6	ribosomal protein L6 [Source:HGNC Symbol;Acc:HGNC:10362]	214	0.27658218145370483	-0.05513747	No	
row_5	RPS2	ribosomal protein S2 [Source:HGNC Symbol;Acc:HGNC:10404]	222	0.27124667167663574	-0.039520912	No	
row_6	PSMB3	proteasome 20S subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:9540]	252	-0.2518477439880371	-0.04824167	No	
row_7	PSMA2	proteasome 20S subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:9531]	278	-0.25719884037971497	-0.05238387	No	
row_8	HSPE1	heat shock protein family E (Hsp10) member 1 [Source:HGNC Symbol;Acc:HGNC:5269]	310	-0.2653803527355194	-0.062029094	No	
row_9	ACP1	acid phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:122]	352	-0.27652212977409363	-0.08105603	No	
row_10	STARD7	StAR related lipid transfer domain containing 7 [Source:HGNC Symbol;Acc:HGNC:18063]	362	-0.27894312143325806	-0.06685537	No	
row_11	PSMA6	proteasome 20S subunit alpha 6 [Source:HGNC Symbol;Acc:HGNC:9535]	446	-0.30570510029792786	-0.12676859	No	
row_12	TOMM70	translocase of outer mitochondrial membrane 70 [Source:HGNC Symbol;Acc:HGNC:11985]	513	-0.3346931040287018	-0.166697	Yes	
row_13	PSMD8	proteasome 26S subunit, non-ATPase 8 [Source:HGNC Symbol;Acc:HGNC:9566]	528	-0.3406497836112976	-0.15246025	Yes	
row_14	ODC1	ornithine decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:8109]	549	-0.35206371545791626	-0.14345433	Yes	
row_15	GLO1	glyoxalase I [Source:HGNC Symbol;Acc:HGNC:4323]	561	-0.3599807322025299	-0.12449383	Yes	
row_16	EIF4H	eukaryotic translation initiation factor 4H [Source:HGNC Symbol;Acc:HGNC:12741]	578	-0.37155023217201233	-0.10971907	Yes	
row_17	TUFM	Tu translation elongation factor, mitochondrial [Source:HGNC Symbol;Acc:HGNC:12420]	583	-0.3741648495197296	-0.08234024	Yes	
row_18	PSMA1	proteasome 20S subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:9530]	591	-0.3835160732269287	-0.057269957	Yes	
row_19	PSMB2	proteasome 20S subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:9539]	698	-0.44724172353744507	-0.12900081	Yes	
row_20	PHB2	prohibitin 2 [Source:HGNC Symbol;Acc:HGNC:30306]	704	-0.4551081955432892	-0.095838085	Yes	
row_21	VDAC1	voltage dependent anion channel 1 [Source:HGNC Symbol;Acc:HGNC:12669]	728	-0.47022950649261475	-0.079977915	Yes	
row_22	VDAC3	voltage dependent anion channel 3 [Source:HGNC Symbol;Acc:HGNC:12674]	795	-0.5412341356277466	-0.10251439	Yes	
row_23	PSMA4	proteasome 20S subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:9533]	849	-0.616424024105072	-0.10530358	Yes	
row_24	NDUFAB1	NADH:ubiquinone oxidoreductase subunit AB1 [Source:HGNC Symbol;Acc:HGNC:7694]	854	-0.6296541094779968	-0.056411114	Yes	
row_25	SLC25A3	solute carrier family 25 member 3 [Source:HGNC Symbol;Acc:HGNC:10989]	912	-0.7328926920890808	-0.053520937	Yes	
row_26	COX5A	cytochrome c oxidase subunit 5A [Source:HGNC Symbol;Acc:HGNC:2267]	936	-0.8000854253768921	-0.009885037	Yes	
row_27	CYC1	cytochrome c1 [Source:HGNC Symbol;Acc:HGNC:2579]	950	-0.8404727578163147	0.047471628	Yes	
