NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ADA	adenosine deaminase [Source:HGNC Symbol;Acc:HGNC:186]	27	0.7498687505722046	0.023899844	Yes	
row_1	FAM162A	family with sequence similarity 162 member A [Source:HGNC Symbol;Acc:HGNC:17865]	37	0.6547834277153015	0.05987413	Yes	
row_2	H2AJ	H2A.J histone [Source:HGNC Symbol;Acc:HGNC:14456]	41	0.5961445569992065	0.09800915	Yes	
row_3	ATF3	activating transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:785]	51	0.578048825263977	0.12867461	Yes	
row_4	TOB1	transducer of ERBB2, 1 [Source:HGNC Symbol;Acc:HGNC:11979]	85	0.44114401936531067	0.12499794	Yes	
row_5	APP	amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]	96	0.4257490634918213	0.14409038	Yes	
row_6	RPL36	ribosomal protein L36 [Source:HGNC Symbol;Acc:HGNC:13631]	102	0.4179432988166809	0.16782413	Yes	
row_7	S100A10	S100 calcium binding protein A10 [Source:HGNC Symbol;Acc:HGNC:10487]	116	0.3920312225818634	0.18147503	Yes	
row_8	HBEGF	heparin binding EGF like growth factor [Source:HGNC Symbol;Acc:HGNC:3059]	120	0.3883298337459564	0.20523253	Yes	
row_9	SAT1	spermidine/spermine N1-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10540]	127	0.3799961805343628	0.22530468	Yes	
row_10	NDRG1	N-myc downstream regulated 1 [Source:HGNC Symbol;Acc:HGNC:7679]	133	0.37080249190330505	0.24577703	Yes	
row_11	BMP2	bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]	151	0.35152918100357056	0.25248075	Yes	
row_12	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	156	0.33836403489112854	0.27174512	Yes	
row_13	CTSD	cathepsin D [Source:HGNC Symbol;Acc:HGNC:2529]	177	0.3078806698322296	0.27232024	Yes	
row_14	TXNIP	thioredoxin interacting protein [Source:HGNC Symbol;Acc:HGNC:16952]	186	0.3026135265827179	0.28496617	Yes	
row_15	PLK3	polo like kinase 3 [Source:HGNC Symbol;Acc:HGNC:2154]	199	0.2900087237358093	0.29259497	Yes	
row_16	CCND2	cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583]	208	0.2824990153312683	0.3038493	Yes	
row_17	HEXIM1	HEXIM P-TEFb complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:24953]	239	0.2562592625617981	0.29049033	No	
row_18	GADD45A	growth arrest and DNA damage inducible alpha [Source:HGNC Symbol;Acc:HGNC:4095]	291	-0.26158127188682556	0.2557379	No	
row_19	BAK1	BCL2 antagonist/killer 1 [Source:HGNC Symbol;Acc:HGNC:949]	294	-0.2619319260120392	0.27178693	No	
row_20	VDR	vitamin D receptor [Source:HGNC Symbol;Acc:HGNC:12679]	321	-0.2694392800331116	0.2634849	No	
row_21	ABAT	4-aminobutyrate aminotransferase [Source:HGNC Symbol;Acc:HGNC:23]	351	-0.27619287371635437	0.25254127	No	
row_22	CD81	CD81 molecule [Source:HGNC Symbol;Acc:HGNC:1701]	624	-0.4003819525241852	-0.001623892	No	
row_23	TAP1	transporter 1, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:43]	663	-0.4264518618583679	-0.011498373	No	
row_24	CDKN2B	cyclin dependent kinase inhibitor 2B [Source:HGNC Symbol;Acc:HGNC:1788]	686	-0.44223588705062866	-0.003700535	No	
row_25	RETSAT	retinol saturase [Source:HGNC Symbol;Acc:HGNC:25991]	707	-0.45730364322662354	0.0072122915	No	
row_26	UPP1	uridine phosphorylase 1 [Source:HGNC Symbol;Acc:HGNC:12576]	710	-0.45849570631980896	0.036860444	No	
row_27	HINT1	histidine triad nucleotide binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4912]	747	-0.4870101511478424	0.033248182	No	
row_28	SLC3A2	solute carrier family 3 member 2 [Source:HGNC Symbol;Acc:HGNC:11026]	873	-0.6516299843788147	-0.05120296	No	
row_29	CASP1	caspase 1 [Source:HGNC Symbol;Acc:HGNC:1499]	886	-0.673431932926178	-0.017047297	No	
row_30	TSC22D1	TSC22 domain family member 1 [Source:HGNC Symbol;Acc:HGNC:16826]	890	-0.6815101504325867	0.026993675	No	
row_31	GPX2	glutathione peroxidase 2 [Source:HGNC Symbol;Acc:HGNC:4554]	985	-1.182559847831726	0.011398879	No	
