NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KRT18	keratin 18 [Source:HGNC Symbol;Acc:HGNC:6430]	70	0.474046915769577	0.015794437	Yes	
row_1	BNIP3	BCL2 interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:1084]	153	0.34533846378326416	-0.0042735077	Yes	
row_2	TSPAN8	tetraspanin 8 [Source:HGNC Symbol;Acc:HGNC:11855]	174	0.3137320578098297	0.03298924	Yes	
row_3	LAMP2	lysosomal associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:6501]	305	-0.26486122608184814	-0.050741382	Yes	
row_4	ARF1	ADP ribosylation factor 1 [Source:HGNC Symbol;Acc:HGNC:652]	380	-0.28402501344680786	-0.07392533	Yes	
row_5	USO1	USO1 vesicle transport factor [Source:HGNC Symbol;Acc:HGNC:30904]	422	-0.29795554280281067	-0.060945503	Yes	
row_6	COPB1	COPI coat complex subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:2231]	427	-0.29892438650131226	-0.0101094935	Yes	
row_7	SEC22B	SEC22 homolog B, vesicle trafficking protein (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:10700]	487	-0.32318514585494995	-0.010825183	Yes	
row_8	RER1	retention in endoplasmic reticulum sorting receptor 1 [Source:HGNC Symbol;Acc:HGNC:30309]	498	-0.32600677013397217	0.0388756	Yes	
row_9	SEC31A	SEC31 homolog A, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:17052]	508	-0.3332540988922119	0.09092598	Yes	
row_10	COPE	COPI coat complex subunit epsilon [Source:HGNC Symbol;Acc:HGNC:2234]	560	-0.3599109351634979	0.105103076	Yes	
row_11	ERGIC3	ERGIC and golgi 3 [Source:HGNC Symbol;Acc:HGNC:15927]	631	-0.4029581546783447	0.107839234	Yes	
row_12	LMAN1	lectin, mannose binding 1 [Source:HGNC Symbol;Acc:HGNC:6631]	662	-0.4262417256832123	0.15558556	Yes	
row_13	BET1	Bet1 golgi vesicular membrane trafficking protein [Source:HGNC Symbol;Acc:HGNC:14562]	677	-0.43174201250076294	0.22063549	Yes	
row_14	COPB2	COPI coat complex subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:2232]	816	-0.5617814660072327	0.18329942	No	
