NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	200	30		
HALLMARK_HYPOXIA	200	33		
HALLMARK_CHOLESTEROL_HOMEOSTASIS	74	24		
HALLMARK_MITOTIC_SPINDLE	199		Rejected!	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	42		Rejected!	
HALLMARK_TGF_BETA_SIGNALING	54		Rejected!	
HALLMARK_IL6_JAK_STAT3_SIGNALING	87		Rejected!	
HALLMARK_DNA_REPAIR	150		Rejected!	
HALLMARK_G2M_CHECKPOINT	200		Rejected!	
HALLMARK_APOPTOSIS	161	33		
HALLMARK_NOTCH_SIGNALING	32		Rejected!	
HALLMARK_ADIPOGENESIS	200	70		
HALLMARK_ESTROGEN_RESPONSE_EARLY	200	19		
HALLMARK_ESTROGEN_RESPONSE_LATE	200	24		
HALLMARK_ANDROGEN_RESPONSE	100	24		
HALLMARK_MYOGENESIS	200		Rejected!	
HALLMARK_PROTEIN_SECRETION	96	15		
HALLMARK_INTERFERON_ALPHA_RESPONSE	97	18		
HALLMARK_INTERFERON_GAMMA_RESPONSE	200	39		
HALLMARK_APICAL_JUNCTION	200		Rejected!	
HALLMARK_APICAL_SURFACE	44		Rejected!	
HALLMARK_HEDGEHOG_SIGNALING	36		Rejected!	
HALLMARK_COMPLEMENT	200	22		
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	113	15		
HALLMARK_PI3K_AKT_MTOR_SIGNALING	105		Rejected!	
HALLMARK_MTORC1_SIGNALING	200	45		
HALLMARK_E2F_TARGETS	200		Rejected!	
HALLMARK_MYC_TARGETS_V1	200	28		
HALLMARK_MYC_TARGETS_V2	58		Rejected!	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	200		Rejected!	
HALLMARK_INFLAMMATORY_RESPONSE	200	15		
HALLMARK_XENOBIOTIC_METABOLISM	200	48		
HALLMARK_FATTY_ACID_METABOLISM	158	61		
HALLMARK_OXIDATIVE_PHOSPHORYLATION	200	115		
HALLMARK_GLYCOLYSIS	200	39		
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	49	15		
HALLMARK_P53_PATHWAY	200	32		
HALLMARK_UV_RESPONSE_UP	158	26		
HALLMARK_UV_RESPONSE_DN	144		Rejected!	
HALLMARK_ANGIOGENESIS	36		Rejected!	
HALLMARK_HEME_METABOLISM	200	17		
HALLMARK_COAGULATION	138		Rejected!	
HALLMARK_IL2_STAT5_SIGNALING	199	25		
HALLMARK_BILE_ACID_METABOLISM	112	28		
HALLMARK_PEROXISOME	104	30		
HALLMARK_ALLOGRAFT_REJECTION	200	16		
HALLMARK_SPERMATOGENESIS	135		Rejected!	
HALLMARK_KRAS_SIGNALING_UP	200	16		
HALLMARK_KRAS_SIGNALING_DN	200		Rejected!	
HALLMARK_PANCREAS_BETA_CELLS	40		Rejected!	
