NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LGALS3	galectin 3 [Source:HGNC Symbol;Acc:HGNC:6563]	1	0.9599125385284424	0.04545401	Yes	
row_1	EMP1	epithelial membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:3333]	2	0.8661971688270569	0.08892917	Yes	
row_2	ANXA2	annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]	6	0.6924484968185425	0.115509346	Yes	
row_3	CLU	clusterin [Source:HGNC Symbol;Acc:HGNC:2095]	10	0.6586881875991821	0.14039506	Yes	
row_4	KRT19	keratin 19 [Source:HGNC Symbol;Acc:HGNC:6436]	15	0.6018701791763306	0.15970425	Yes	
row_5	MAL2	mal, T cell differentiation protein 2 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:13634]	17	0.5847442150115967	0.18632825	Yes	
row_6	F3	coagulation factor III, tissue factor [Source:HGNC Symbol;Acc:HGNC:3541]	24	0.5324541330337524	0.19670379	Yes	
row_7	PMEPA1	prostate transmembrane protein, androgen induced 1 [Source:HGNC Symbol;Acc:HGNC:14107]	29	0.49336227774620056	0.21056688	Yes	
row_8	KRT8	keratin 8 [Source:HGNC Symbol;Acc:HGNC:6446]	30	0.489909291267395	0.23515582	Yes	
row_9	SFN	stratifin [Source:HGNC Symbol;Acc:HGNC:10773]	34	0.47600749135017395	0.25087264	Yes	
row_10	HSPE1	heat shock protein family E (Hsp10) member 1 [Source:HGNC Symbol;Acc:HGNC:5269]	35	0.4756585955619812	0.27474636	Yes	
row_11	AHNAK	AHNAK nucleoprotein [Source:HGNC Symbol;Acc:HGNC:347]	38	0.46660831570625305	0.29271623	Yes	
row_12	SAT1	spermidine/spermine N1-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10540]	40	0.45204922556877136	0.31268016	Yes	
row_13	RTN4	reticulon 4 [Source:HGNC Symbol;Acc:HGNC:14085]	43	0.4448782503604889	0.32955936	Yes	
row_14	S100A10	S100 calcium binding protein A10 [Source:HGNC Symbol;Acc:HGNC:10487]	53	0.42264324426651	0.32624903	Yes	
row_15	PRDX1	peroxiredoxin 1 [Source:HGNC Symbol;Acc:HGNC:9352]	59	0.4066278338432312	0.33303404	Yes	
row_16	GPRC5A	G protein-coupled receptor class C group 5 member A [Source:HGNC Symbol;Acc:HGNC:9836]	61	0.4008501470088959	0.35042825	Yes	
row_17	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta [Source:HGNC Symbol;Acc:HGNC:12855]	69	0.39545300602912903	0.3512028	Yes	
row_18	NUCKS1	nuclear casein kinase and cyclin dependent kinase substrate 1 [Source:HGNC Symbol;Acc:HGNC:29923]	72	0.3874936103820801	0.36520183	Yes	
row_19	GSS	glutathione synthetase [Source:HGNC Symbol;Acc:HGNC:4624]	73	0.3869691491127014	0.38462412	Yes	
row_20	TUBB	tubulin beta class I [Source:HGNC Symbol;Acc:HGNC:20778]	82	0.3757162392139435	0.38168326	Yes	
row_21	SLC25A24	solute carrier family 25 member 24 [Source:HGNC Symbol;Acc:HGNC:20662]	95	0.3597855865955353	0.36704367	Yes	
row_22	DSP	desmoplakin [Source:HGNC Symbol;Acc:HGNC:3052]	118	0.3363525867462158	0.32397997	Yes	
row_23	DSG2	desmoglein 2 [Source:HGNC Symbol;Acc:HGNC:3049]	120	0.3356475532054901	0.3381016	Yes	
row_24	MBOAT1	membrane bound O-acyltransferase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21579]	123	0.3342765271663666	0.34942964	Yes	
row_25	IFRD1	interferon related developmental regulator 1 [Source:HGNC Symbol;Acc:HGNC:5456]	127	0.32986506819725037	0.35781145	Yes	
row_26	FAT1	FAT atypical cadherin 1 [Source:HGNC Symbol;Acc:HGNC:3595]	128	0.3283334970474243	0.37429076	Yes	
row_27	SNRPE	small nuclear ribonucleoprotein polypeptide E [Source:HGNC Symbol;Acc:HGNC:11161]	140	0.32184842228889465	0.36047187	Yes	
row_28	AGPS	alkylglycerone phosphate synthase [Source:HGNC Symbol;Acc:HGNC:327]	147	0.3166772127151489	0.3600174	Yes	
row_29	TXNRD1	thioredoxin reductase 1 [Source:HGNC Symbol;Acc:HGNC:12437]	163	0.3064437806606293	0.33452612	Yes	
row_30	CD44	CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681]	164	0.3060827851295471	0.34988868	Yes	
row_31	JUP	junction plakoglobin [Source:HGNC Symbol;Acc:HGNC:6207]	170	0.3028024435043335	0.3514626	Yes	
row_32	NME1	NME/NM23 nucleoside diphosphate kinase 1 [Source:HGNC Symbol;Acc:HGNC:7849]	174	0.30005040764808655	0.35834798	Yes	
row_33	DSTN	destrin, actin depolymerizing factor [Source:HGNC Symbol;Acc:HGNC:15750]	177	0.29831424355506897	0.36787105	Yes	
row_34	PTP4A1	protein tyrosine phosphatase 4A1 [Source:HGNC Symbol;Acc:HGNC:9634]	180	0.29590001702308655	0.3772729	Yes	
row_35	HNRNPK	heterogeneous nuclear ribonucleoprotein K [Source:HGNC Symbol;Acc:HGNC:5044]	198	0.2883415222167969	0.3454235	Yes	
row_36	MPZL2	myelin protein zero like 2 [Source:HGNC Symbol;Acc:HGNC:3496]	202	0.28531014919281006	0.35156906	Yes	
row_37	LAMC2	laminin subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:6493]	203	0.284866064786911	0.36586672	Yes	
row_38	ABHD2	abhydrolase domain containing 2, acylglycerol lipase [Source:HGNC Symbol;Acc:HGNC:18717]	210	0.2793167531490326	0.3635371	Yes	
row_39	KLF6	Kruppel like factor 6 [Source:HGNC Symbol;Acc:HGNC:2235]	214	0.2778095006942749	0.3693062	Yes	
row_40	LAD1	ladinin 1 [Source:HGNC Symbol;Acc:HGNC:6472]	218	0.27672281861305237	0.37502074	Yes	
row_41	VDAC2	voltage dependent anion channel 2 [Source:HGNC Symbol;Acc:HGNC:12672]	219	0.27646106481552124	0.38889655	Yes	
row_42	DSC2	desmocollin 2 [Source:HGNC Symbol;Acc:HGNC:3036]	220	0.27552154660224915	0.40272522	Yes	
row_43	PERP	p53 apoptosis effector related to PMP22 [Source:HGNC Symbol;Acc:HGNC:17637]	231	0.2720051109790802	0.38912943	No	
row_44	TMOD3	tropomodulin 3 [Source:HGNC Symbol;Acc:HGNC:11873]	255	0.26249760389328003	0.3396341	No	
row_45	CDV3	CDV3 homolog [Source:HGNC Symbol;Acc:HGNC:26928]	269	0.2583073675632477	0.31717643	No	
row_46	ACTN1	actinin alpha 1 [Source:HGNC Symbol;Acc:HGNC:163]	278	0.25406816601753235	0.30812994	No	
row_47	TES	testin LIM domain protein [Source:HGNC Symbol;Acc:HGNC:14620]	282	0.25147128105163574	0.3125771	No	
row_48	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	309	-0.2748803496360779	0.2555289	No	
row_49	HSPA5	heat shock protein family A (Hsp70) member 5 [Source:HGNC Symbol;Acc:HGNC:5238]	321	-0.2926256060600281	0.24024327	No	
row_50	MALAT1	metastasis associated lung adenocarcinoma transcript 1 [Source:HGNC Symbol;Acc:HGNC:29665]	350	-0.3708343207836151	0.18256147	No	
