NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KRT19	keratin 19 [Source:HGNC Symbol;Acc:HGNC:6436]	15	0.6018701791763306	0.005987243	No	
row_1	PGD	phosphogluconate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:8891]	52	0.4243435859680176	-0.053994466	No	
row_2	CAVIN3	caveolae associated protein 3 [Source:HGNC Symbol;Acc:HGNC:9400]	64	0.3971804678440094	-0.05282459	No	
row_3	S100A6	S100 calcium binding protein A6 [Source:HGNC Symbol;Acc:HGNC:10496]	66	0.3967401385307312	-0.02643428	No	
row_4	TMSB10	thymosin beta 10 [Source:HGNC Symbol;Acc:HGNC:11879]	88	0.3689432144165039	-0.05257494	No	
row_5	CA9	carbonic anhydrase 9 [Source:HGNC Symbol;Acc:HGNC:1383]	113	0.3431645333766937	-0.088170186	No	
row_6	LY6H	lymphocyte antigen 6 family member H [Source:HGNC Symbol;Acc:HGNC:6728]	115	0.3388656973838806	-0.06599793	No	
row_7	SYT8	synaptotagmin 8 [Source:HGNC Symbol;Acc:HGNC:19264]	168	0.3051326274871826	-0.17507212	No	
row_8	REG3G	regenerating family member 3 gamma [Source:HGNC Symbol;Acc:HGNC:29595]	237	0.2694959342479706	-0.32714766	No	
row_9	IFI27L2	interferon alpha inducible protein 27 like 2 [Source:HGNC Symbol;Acc:HGNC:19753]	297	-0.2567986249923706	-0.45742133	No	
row_10	GPX3	glutathione peroxidase 3 [Source:HGNC Symbol;Acc:HGNC:4555]	319	-0.2915361225605011	-0.48920363	Yes	
row_11	TPSG1	tryptase gamma 1 [Source:HGNC Symbol;Acc:HGNC:14134]	325	-0.2995205521583557	-0.48	Yes	
row_12	LRRC26	leucine rich repeat containing 26 [Source:HGNC Symbol;Acc:HGNC:31409]	330	-0.3051862418651581	-0.46785814	Yes	
row_13	SLC6A19	solute carrier family 6 member 19 [Source:HGNC Symbol;Acc:HGNC:27960]	336	-0.3297031819820404	-0.4564547	Yes	
row_14	HGFAC	HGF activator [Source:HGNC Symbol;Acc:HGNC:4894]	359	-0.4011346697807312	-0.48277438	Yes	
row_15	CAMK2N1	calcium/calmodulin dependent protein kinase II inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:24190]	366	-0.4241335690021515	-0.46701384	Yes	
row_16	KLK1	kallikrein 1 [Source:HGNC Symbol;Acc:HGNC:6357]	379	-0.49935078620910645	-0.46092275	Yes	
row_17	CLPS	colipase [Source:HGNC Symbol;Acc:HGNC:2085]	382	-0.5743468403816223	-0.42411318	Yes	
row_18	PCSK1N	proprotein convertase subtilisin/kexin type 1 inhibitor [Source:HGNC Symbol;Acc:HGNC:17301]	392	-0.8577544689178467	-0.38432485	Yes	
row_19	NUPR1	nuclear protein 1, transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:29990]	400	-1.3154819011688232	-0.30612552	Yes	
row_20	REG4	regenerating family member 4 [Source:HGNC Symbol;Acc:HGNC:22977]	403	-1.4251763820648193	-0.20730506	Yes	
row_21	MUC2	mucin 2, oligomeric mucus/gel-forming [Source:HGNC Symbol;Acc:HGNC:7512]	414	-3.2947847843170166	0.0075757997	Yes	
