NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CLU	clusterin [Source:HGNC Symbol;Acc:HGNC:2095]	10	0.6586881875991821	0.01663793	No	
row_1	CLCA4	chloride channel accessory 4 [Source:HGNC Symbol;Acc:HGNC:2018]	47	0.4377717673778534	-0.04587294	No	
row_2	SLC51A	solute carrier family 51 subunit alpha [Source:HGNC Symbol;Acc:HGNC:29955]	294	-0.2553631663322449	-0.6462476	No	
row_3	GPX3	glutathione peroxidase 3 [Source:HGNC Symbol;Acc:HGNC:4555]	319	-0.2915361225605011	-0.68794125	Yes	
row_4	KCTD12	potassium channel tetramerization domain containing 12 [Source:HGNC Symbol;Acc:HGNC:14678]	324	-0.29766416549682617	-0.6791217	Yes	
row_5	SLC15A1	solute carrier family 15 member 1 [Source:HGNC Symbol;Acc:HGNC:10920]	329	-0.30288901925086975	-0.6699712	Yes	
row_6	SLC6A19	solute carrier family 6 member 19 [Source:HGNC Symbol;Acc:HGNC:27960]	336	-0.3297031819820404	-0.6641358	Yes	
row_7	INSM1	INSM transcriptional repressor 1 [Source:HGNC Symbol;Acc:HGNC:6090]	339	-0.3423251509666443	-0.64747626	Yes	
row_8	NEUROD1	neuronal differentiation 1 [Source:HGNC Symbol;Acc:HGNC:7762]	358	-0.4010186195373535	-0.6672011	Yes	
row_9	CCL23	C-C motif chemokine ligand 23 [Source:HGNC Symbol;Acc:HGNC:10622]	369	-0.4310687482357025	-0.66497344	Yes	
row_10	SI	sucrase-isomaltase [Source:HGNC Symbol;Acc:HGNC:10856]	381	-0.5697730183601379	-0.6564709	Yes	
row_11	GUCA2B	guanylate cyclase activator 2B [Source:HGNC Symbol;Acc:HGNC:4683]	383	-0.5930408835411072	-0.6214326	Yes	
row_12	TPH1	tryptophan hydroxylase 1 [Source:HGNC Symbol;Acc:HGNC:12008]	388	-0.7331603765487671	-0.58504236	Yes	
row_13	ANPEP	alanyl aminopeptidase, membrane [Source:HGNC Symbol;Acc:HGNC:500]	389	-0.7979745268821716	-0.5345237	Yes	
row_14	GUCA2A	guanylate cyclase activator 2A [Source:HGNC Symbol;Acc:HGNC:4682]	390	-0.8092594146728516	-0.4832907	Yes	
row_15	LGALS2	galectin 2 [Source:HGNC Symbol;Acc:HGNC:6562]	394	-0.9187455177307129	-0.43264505	Yes	
row_16	CHGA	chromogranin A [Source:HGNC Symbol;Acc:HGNC:1929]	399	-1.2148116827011108	-0.36576217	Yes	
row_17	CHGB	chromogranin B [Source:HGNC Symbol;Acc:HGNC:1930]	409	-2.1343424320220947	-0.25319645	Yes	
row_18	ZG16	zymogen granule protein 16 [Source:HGNC Symbol;Acc:HGNC:30961]	417	-4.276520729064941	-7.21775E-9	Yes	
