NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
LY6D	1	Ly6d	
LGALS3	1	Lgals3	
EMP1	1	Emp1	
GSTA1	2	Gsta4:Gsta1	
TMSB4X	1	Tmsb4x	
PRDX6	1	Prdx6	
ANXA2	1	Anxa2	
IL1RN	1	Il1rn	
PRAP1	1	Prap1	
FAM162A	1	Fam162a	
CLU	1	Clu	
ANXA1	1	Anxa1	
DMBT1	1	Dmbt1	
APRT	1	Aprt	
AREG	1	Areg	
KRT19	1	Krt19	
PLAC8	1	Plac8	
MAL2	1	Mal2	
GPX2	1	Gpx2	
ACTB	1	Actb	
GSR	1	Gsr	
PTMA	1	Ptma	
GPX1	1	Gpx1	
S100A11	1	S100a11	
F3	1	F3	
ACTG1	1	Actg1	
TSPO	1	Tspo	
FLNB	1	Flnb	
RPS2	1	Rps2	
PMEPA1	1	Pmepa1	
KRT8	1	Krt8	
TM4SF20	1	Tm4sf20	
SULT6B2P	1	Sult6b2	
SPTSSB	1	Sptssb	
SFN	1	Sfn	
HSPE1	1	Hspe1	
NCL	1	Ncl	
HSPA9	1	Hspa9	
AHNAK	1	Ahnak	
CKB	1	Ckb	
SAT1	1	Sat1	
YWHAH	1	Ywhah	
CTNNB1	1	Ctnnb1	
RTN4	1	Rtn4	
C19orf33	1	2200002D01Rik	
HSPD1	1	Hspd1	
NPM1	1	Npm1	
CLCA4	1	Clca4b	
CFTR	1	Cftr	
SDC1	1	Sdc1	
SET	1	Set	
ANXA10	1	Anxa10	
PGD	1	Pgd	
S100A10	1	S100a10	
HMGB2	1	Hmgb2	
IL33	1	Il33	
RPS21	1	Rps21	
PGK1	1	Pgk1	
UGDH	1	Ugdh	
PRDX1	1	Prdx1	
SLC39A4	1	Slc39a4	
GPRC5A	1	Gprc5a	
LMO7	1	Lmo7	
UQCR11	1	Uqcr11	
CAVIN3	1	Cavin3	
FTH1	1	Fth1	
S100A6	1	S100a6	
COX7C	1	Cox7c	
CCDC71L	1	Ccdc71l	
YWHAZ	1	Ywhaz	
LMNA	1	Lmna	
ATP5MC3	1	Atp5g3	
NUCKS1	1	Nucks1	
GSS	1	Gss	
TOMM5	1	Tomm5	
GSTO1	1	Gsto1	
RPLP2	1	Rplp2	
MGAT4C	1	Mgat4c	
ITGA6	1	Itga6	
RPLP1	1	Rplp1	
HNRNPA3	1	Hnrnpa3	
EIF4G2	1	Eif4g2	
TUBB	1	Tubb5	
DBI	1	Dbi	
SCD	1	Scd2	
COX6A1	1	Cox6a1	
BZW1	1	Bzw1	
NOP10	1	Nop10	
TMSB10	1	Tmsb10	
CORO2A	1	Coro2a	
PTGES3	1	Ptges3	
PGAP1	1	Pgap1	
SNRPG	1	Snrpg	
ALYREF	1	Alyref	
RPL41	1	Rpl41	
SLC25A24	1	Slc25a24	
RPS27L	1	Rps27l	
WFDC2	1	Wfdc2	
TKT	1	Tkt	
ATP5ME	1	Atp5k	
ONECUT2	1	Onecut2	
