NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL1RN	interleukin 1 receptor antagonist [Source:HGNC Symbol;Acc:HGNC:6000]	7	0.6831202507019043	0.0015071174	No	
row_1	GPX1	glutathione peroxidase 1 [Source:HGNC Symbol;Acc:HGNC:4553]	22	0.555739164352417	-0.019897003	No	
row_2	KRT8	keratin 8 [Source:HGNC Symbol;Acc:HGNC:6446]	30	0.489909291267395	-0.024210844	No	
row_3	CFTR	CF transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]	48	0.4273115396499634	-0.057658553	No	
row_4	GSS	glutathione synthetase [Source:HGNC Symbol;Acc:HGNC:4624]	73	0.3869691491127014	-0.11139524	No	
row_5	RPS27L	ribosomal protein S27 like [Source:HGNC Symbol;Acc:HGNC:18476]	96	0.35821977257728577	-0.1605485	No	
row_6	CYBA	cytochrome b-245 alpha chain [Source:HGNC Symbol;Acc:HGNC:2577]	102	0.3542243242263794	-0.16350058	No	
row_7	COX8A	cytochrome c oxidase subunit 8A [Source:HGNC Symbol;Acc:HGNC:2294]	105	0.3509872555732727	-0.15837581	No	
row_8	EIF2S3	eukaryotic translation initiation factor 2 subunit gamma [Source:HGNC Symbol;Acc:HGNC:3267]	117	0.33854469656944275	-0.17814907	No	
row_9	KITLG	KIT ligand [Source:HGNC Symbol;Acc:HGNC:6343]	133	0.3255648612976074	-0.20921256	No	
row_10	NAP1L1	nucleosome assembly protein 1 like 1 [Source:HGNC Symbol;Acc:HGNC:7637]	139	0.3218720853328705	-0.21313934	No	
row_11	RPS25	ribosomal protein S25 [Source:HGNC Symbol;Acc:HGNC:10413]	153	0.31368330121040344	-0.2391112	No	
row_12	MIF	macrophage migration inhibitory factor [Source:HGNC Symbol;Acc:HGNC:7097]	154	0.31344732642173767	-0.22966783	No	
row_13	RBP2	retinol binding protein 2 [Source:HGNC Symbol;Acc:HGNC:9920]	178	0.2969084680080414	-0.28339303	No	
