NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
SABATES_COLORECTAL_ADENOMA_DN	SABATES_COLORECTAL_ADENOMA_DN	Details ...	19	-0.706398	-2.0956612	0.0	0.07212922	0.149	100	tags=84%, list=24%, signal=106%	
SANSOM_APC_TARGETS_DN	SANSOM_APC_TARGETS_DN	Details ...	16	-0.71498656	-2.082118	0.0	0.046251424	0.185	55	tags=50%, list=13%, signal=55%	
YOSHIMURA_MAPK8_TARGETS_UP	YOSHIMURA_MAPK8_TARGETS_UP	Details ...	51	-0.5343332	-2.020449	0.0011560693	0.0712325	0.376	65	tags=33%, list=16%, signal=35%	
CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_UP	CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_UP	Details ...	25	-0.591669	-1.9202131	0.009615385	0.15885247	0.741	92	tags=60%, list=22%, signal=72%	
CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_UP	CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_UP	Details ...	18	-0.6128164	-1.8525882	0.011678832	0.23606117	0.912	92	tags=61%, list=22%, signal=75%	
SMID_BREAST_CANCER_BASAL_DN	SMID_BREAST_CANCER_BASAL_DN	Details ...	35	-0.52708566	-1.8399527	0.0075949365	0.21896209	0.924	123	tags=71%, list=29%, signal=93%	
ACEVEDO_LIVER_CANCER_DN	ACEVEDO_LIVER_CANCER_DN	Details ...	24	-0.5709346	-1.805419	0.026279392	0.25423962	0.976	64	tags=38%, list=15%, signal=42%	
MASSARWEH_TAMOXIFEN_RESISTANCE_UP	MASSARWEH_TAMOXIFEN_RESISTANCE_UP	Details ...	26	-0.53815246	-1.744816	0.03576159	0.3466113	1.0	43	tags=27%, list=10%, signal=28%	
REACTOME_SIGNALING_BY_GPCR	REACTOME_SIGNALING_BY_GPCR	Details ...	19	-0.58696485	-1.7427691	0.023088023	0.31235984	1.0	67	tags=53%, list=16%, signal=60%	
MIKKELSEN_MEF_HCP_WITH_H3K27ME3	MIKKELSEN_MEF_HCP_WITH_H3K27ME3	Details ...	18	-0.57477474	-1.7165352	0.04011887	0.33646974	1.0	92	tags=56%, list=22%, signal=68%	
JINESH_BLEBBISHIELD_TO_IMMUNE_CELL_FUSION_PBSHMS_DN	JINESH_BLEBBISHIELD_TO_IMMUNE_CELL_FUSION_PBSHMS_DN	Details ...	26	-0.49808466	-1.6518551	0.053981107	0.4595969	1.0	22	tags=19%, list=5%, signal=19%	
MARTENS_TRETINOIN_RESPONSE_UP	MARTENS_TRETINOIN_RESPONSE_UP	Details ...	22	-0.5120102	-1.603153	0.06329114	0.5544581	1.0	60	tags=36%, list=14%, signal=40%	
VECCHI_GASTRIC_CANCER_ADVANCED_VS_EARLY_DN	VECCHI_GASTRIC_CANCER_ADVANCED_VS_EARLY_DN	Details ...	16	-0.5496191	-1.5679277	0.076576576	0.6212872	1.0	21	tags=19%, list=5%, signal=19%	
FEVR_CTNNB1_TARGETS_UP	FEVR_CTNNB1_TARGETS_UP	Details ...	56	-0.39883852	-1.5332552	0.058891457	0.6886656	1.0	60	tags=29%, list=14%, signal=29%	
NABA_ECM_AFFILIATED	NABA_ECM_AFFILIATED	Details ...	16	-0.5238513	-1.5161879	0.099540584	0.69727844	1.0	34	tags=31%, list=8%, signal=33%	
WANG_LMO4_TARGETS_UP	WANG_LMO4_TARGETS_UP	Details ...	20	-0.49270976	-1.4965068	0.11643836	0.7173914	1.0	8	tags=10%, list=2%, signal=10%	
SCHAEFFER_PROSTATE_DEVELOPMENT_48HR_UP	SCHAEFFER_PROSTATE_DEVELOPMENT_48HR_UP	Details ...	32	-0.42813882	-1.4674717	0.11290322	0.7710818	1.0	49	tags=25%, list=12%, signal=26%	
PROVENZANI_METASTASIS_UP	PROVENZANI_METASTASIS_UP	Details ...	17	-0.49947453	-1.4658324	0.10138249	0.73331517	1.0	32	tags=18%, list=8%, signal=18%	
FARMER_BREAST_CANCER_BASAL_VS_LULMINAL	FARMER_BREAST_CANCER_BASAL_VS_LULMINAL	Details ...	19	-0.49329987	-1.4557552	0.12957746	0.725424	1.0	8	tags=11%, list=2%, signal=10%	
JINESH_BLEBBISHIELD_VS_LIVE_CONTROL_DN	JINESH_BLEBBISHIELD_VS_LIVE_CONTROL_DN	Details ...	25	-0.4482736	-1.4301698	0.12057667	0.7688132	1.0	24	tags=16%, list=6%, signal=16%	
KAAB_HEART_ATRIUM_VS_VENTRICLE_UP	KAAB_HEART_ATRIUM_VS_VENTRICLE_UP		21	-0.45985156	-1.427781	0.121715076	0.7390424	1.0	100	tags=57%, list=24%, signal=71%	
OISHI_CHOLANGIOMA_STEM_CELL_LIKE_DN	OISHI_CHOLANGIOMA_STEM_CELL_LIKE_DN		19	-0.45224243	-1.3468225	0.18722786	0.9622235	1.0	79	tags=42%, list=19%, signal=50%	
LEI_MYB_TARGETS	LEI_MYB_TARGETS		36	-0.3805098	-1.3257065	0.18275419	0.9941194	1.0	33	tags=17%, list=8%, signal=17%	
ICHIBA_GRAFT_VERSUS_HOST_DISEASE_35D_UP	ICHIBA_GRAFT_VERSUS_HOST_DISEASE_35D_UP		18	-0.4378453	-1.2856414	0.2580645	1.0	1.0	12	tags=11%, list=3%, signal=11%	
WANG_SMARCE1_TARGETS_UP	WANG_SMARCE1_TARGETS_UP		15	-0.4559889	-1.2806953	0.25113463	1.0	1.0	115	tags=60%, list=28%, signal=80%	
BOYLAN_MULTIPLE_MYELOMA_C_D_DN	BOYLAN_MULTIPLE_MYELOMA_C_D_DN		17	-0.4353336	-1.2674258	0.23426062	1.0	1.0	41	tags=24%, list=10%, signal=25%	
NABA_MATRISOME_ASSOCIATED	NABA_MATRISOME_ASSOCIATED		32	-0.37181726	-1.2653892	0.22551547	1.0	1.0	76	tags=34%, list=18%, signal=39%	
FULCHER_INFLAMMATORY_RESPONSE_LECTIN_VS_LPS_DN	FULCHER_INFLAMMATORY_RESPONSE_LECTIN_VS_LPS_DN		17	-0.41311595	-1.2207834	0.30711043	1.0	1.0	100	tags=47%, list=24%, signal=59%	
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_3	CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_3		35	-0.35393167	-1.2142507	0.27295598	1.0	1.0	14	tags=9%, list=3%, signal=8%	
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM2	SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM2		17	-0.42338088	-1.2124913	0.3073463	1.0	1.0	2	tags=6%, list=0%, signal=6%	
REACTOME_TRANSPORT_OF_SMALL_MOLECULES	REACTOME_TRANSPORT_OF_SMALL_MOLECULES		22	-0.3943274	-1.2117045	0.28983516	1.0	1.0	118	tags=55%, list=28%, signal=72%	
NABA_MATRISOME	NABA_MATRISOME		34	-0.34974465	-1.2109548	0.27480915	1.0	1.0	34	tags=18%, list=8%, signal=18%	
LIU_PROSTATE_CANCER_DN	LIU_PROSTATE_CANCER_DN		18	-0.39926428	-1.2085406	0.28360415	1.0	1.0	11	tags=11%, list=3%, signal=11%	
WEST_ADRENOCORTICAL_TUMOR_DN	WEST_ADRENOCORTICAL_TUMOR_DN		19	-0.394532	-1.1983627	0.2947214	1.0	1.0	64	tags=26%, list=15%, signal=30%	
GOZGIT_ESR1_TARGETS_DN	GOZGIT_ESR1_TARGETS_DN		30	-0.3505043	-1.1910684	0.29503918	1.0	1.0	58	tags=23%, list=14%, signal=25%	
FARMER_BREAST_CANCER_APOCRINE_VS_LUMINAL	FARMER_BREAST_CANCER_APOCRINE_VS_LUMINAL		17	-0.40805373	-1.1736078	0.3338346	1.0	1.0	67	tags=29%, list=16%, signal=34%	
ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY		18	-0.39422697	-1.1727873	0.3078078	1.0	1.0	85	tags=39%, list=20%, signal=47%	
BASAKI_YBX1_TARGETS_DN	BASAKI_YBX1_TARGETS_DN		25	-0.36886585	-1.1643939	0.3261745	1.0	1.0	69	tags=36%, list=17%, signal=41%	
WINTER_HYPOXIA_METAGENE	WINTER_HYPOXIA_METAGENE		22	-0.37191072	-1.1611762	0.32714286	0.99054974	1.0	18	tags=9%, list=4%, signal=9%	
PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_7	PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_7		21	-0.36453304	-1.1274679	0.35150644	1.0	1.0	4	tags=5%, list=1%, signal=5%	
DEURIG_T_CELL_PROLYMPHOCYTIC_LEUKEMIA_UP	DEURIG_T_CELL_PROLYMPHOCYTIC_LEUKEMIA_UP		16	-0.39155868	-1.1270015	0.3748126	1.0	1.0	6	tags=6%, list=1%, signal=6%	
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN	ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN		17	-0.3845038	-1.1227901	0.3833581	1.0	1.0	4	tags=6%, list=1%, signal=6%	
KIM_ALL_DISORDERS_CALB1_CORR_UP	KIM_ALL_DISORDERS_CALB1_CORR_UP		31	-0.33291712	-1.1227825	0.33116883	0.9950038	1.0	20	tags=10%, list=5%, signal=9%	
HAN_SATB1_TARGETS_DN	HAN_SATB1_TARGETS_DN		18	-0.36890137	-1.1007602	0.40393344	1.0	1.0	49	tags=28%, list=12%, signal=30%	
BENPORATH_SUZ12_TARGETS	BENPORATH_SUZ12_TARGETS		16	-0.36994445	-1.094823	0.39694658	1.0	1.0	112	tags=63%, list=27%, signal=82%	
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5	CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5		23	-0.3405821	-1.0922421	0.36864406	1.0	1.0	49	tags=22%, list=12%, signal=23%	
HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_UP	HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_UP		19	-0.3715933	-1.0849602	0.41339156	1.0	1.0	64	tags=32%, list=15%, signal=36%	
LEE_BMP2_TARGETS_UP	LEE_BMP2_TARGETS_UP		42	-0.29601735	-1.0782707	0.38235295	0.99430645	1.0	56	tags=19%, list=13%, signal=20%	
THUM_SYSTOLIC_HEART_FAILURE_UP	THUM_SYSTOLIC_HEART_FAILURE_UP		15	-0.38183904	-1.0576731	0.4317841	1.0	1.0	14	tags=13%, list=3%, signal=13%	
