NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KOINUMA_TARGETS_OF_SMAD2_OR_SMAD3	KOINUMA_TARGETS_OF_SMAD2_OR_SMAD3	Details ...	51	0.40272522	2.4268773	0.0	0.01183658	0.005	220	tags=84%, list=53%, signal=156%	
PUJANA_BRCA1_PCC_NETWORK	PUJANA_BRCA1_PCC_NETWORK	Details ...	93	0.3436363	2.3829374	0.0	0.010905373	0.009	277	tags=94%, list=66%, signal=216%	
HSIAO_HOUSEKEEPING_GENES	HSIAO_HOUSEKEEPING_GENES	Details ...	86	0.33707488	2.3272815	0.0	0.012844162	0.016	177	tags=63%, list=42%, signal=87%	
REACTOME_METABOLISM_OF_RNA	REACTOME_METABOLISM_OF_RNA	Details ...	54	0.3700393	2.240282	0.0	0.02492783	0.041	250	tags=91%, list=60%, signal=197%	
PUJANA_CHEK2_PCC_NETWORK	PUJANA_CHEK2_PCC_NETWORK	Details ...	53	0.3665065	2.2082522	0.0	0.025724553	0.052	277	tags=98%, list=66%, signal=254%	
DODD_NASOPHARYNGEAL_CARCINOMA_DN	DODD_NASOPHARYNGEAL_CARCINOMA_DN	Details ...	56	0.3646409	2.1975803	0.0	0.023023006	0.056	285	tags=100%, list=68%, signal=272%	
ZHONG_SECRETOME_OF_LUNG_CANCER_AND_FIBROBLAST	ZHONG_SECRETOME_OF_LUNG_CANCER_AND_FIBROBLAST	Details ...	26	0.45929754	2.1938546	0.0	0.020075109	0.057	75	tags=50%, list=18%, signal=57%	
WANG_TUMOR_INVASIVENESS_UP	WANG_TUMOR_INVASIVENESS_UP	Details ...	59	0.34168518	2.1540084	0.0	0.024714628	0.077	259	tags=90%, list=62%, signal=203%	
KRIGE_RESPONSE_TO_TOSEDOSTAT_6HR_DN	KRIGE_RESPONSE_TO_TOSEDOSTAT_6HR_DN	Details ...	47	0.35054237	2.1004446	0.0064935065	0.0387929	0.132	155	tags=62%, list=37%, signal=87%	
REACTOME_SELENOAMINO_ACID_METABOLISM	REACTOME_SELENOAMINO_ACID_METABOLISM	Details ...	35	0.38600653	2.0995147	0.0	0.035130274	0.133	250	tags=94%, list=60%, signal=215%	
