NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GSTA1	glutathione S-transferase alpha 1 [Source:HGNC Symbol;Acc:HGNC:4626]	3	0.7680385112762451	0.10995724	Yes	
row_1	GSR	glutathione-disulfide reductase [Source:HGNC Symbol;Acc:HGNC:4623]	20	0.5758184194564819	0.15810372	Yes	
row_2	GPX1	glutathione peroxidase 1 [Source:HGNC Symbol;Acc:HGNC:4553]	22	0.555739164352417	0.24058641	Yes	
row_3	HSPA9	heat shock protein family A (Hsp70) member 9 [Source:HGNC Symbol;Acc:HGNC:5244]	37	0.4671379327774048	0.27710238	Yes	
row_4	UGDH	UDP-glucose 6-dehydrogenase [Source:HGNC Symbol;Acc:HGNC:12525]	58	0.4147617816925049	0.2906471	Yes	
row_5	GSS	glutathione synthetase [Source:HGNC Symbol;Acc:HGNC:4624]	73	0.3869691491127014	0.31490472	Yes	
row_6	GSTO1	glutathione S-transferase omega 1 [Source:HGNC Symbol;Acc:HGNC:13312]	75	0.38322019577026367	0.37100804	Yes	
row_7	DBI	diazepam binding inhibitor, acyl-CoA binding protein [Source:HGNC Symbol;Acc:HGNC:2690]	83	0.37401294708251953	0.4107409	Yes	
row_8	SCD	stearoyl-CoA desaturase [Source:HGNC Symbol;Acc:HGNC:10571]	84	0.3732236325740814	0.46780944	Yes	
row_9	GCLC	glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]	173	0.30015799403190613	0.29425436	No	
row_10	PAPSS2	3'-phosphoadenosine 5'-phosphosulfate synthase 2 [Source:HGNC Symbol;Acc:HGNC:8604]	182	0.2927941381931305	0.31907454	No	
row_11	IDH1	isocitrate dehydrogenase (NADP(+)) 1 [Source:HGNC Symbol;Acc:HGNC:5382]	188	0.29080525040626526	0.3510719	No	
row_12	GSTA3	glutathione S-transferase alpha 3 [Source:HGNC Symbol;Acc:HGNC:4628]	189	0.28995591402053833	0.3954082	No	
row_13	B4GALT6	beta-1,4-galactosyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:929]	207	0.2823690176010132	0.3961904	No	
row_14	ELOVL6	ELOVL fatty acid elongase 6 [Source:HGNC Symbol;Acc:HGNC:15829]	251	0.2637553811073303	0.32928857	No	
row_15	GLO1	glyoxalase I [Source:HGNC Symbol;Acc:HGNC:4323]	254	0.26285994052886963	0.36449417	No	
row_16	DGAT2	diacylglycerol O-acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:16940]	270	0.25829917192459106	0.36658347	No	
