NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	Details ...	16	-0.692011	-2.0155003	0.0045941807	0.24967767	0.359	50	tags=63%, list=12%, signal=68%	
GO_DEFENSE_RESPONSE_TO_BACTERIUM	GO_DEFENSE_RESPONSE_TO_BACTERIUM	Details ...	15	-0.6408976	-1.8243766	0.011254019	0.80905825	0.955	20	tags=27%, list=5%, signal=27%	
GO_REGULATION_OF_SYSTEM_PROCESS	GO_REGULATION_OF_SYSTEM_PROCESS	Details ...	16	-0.6216644	-1.7440056	0.026431719	1.0	0.993	61	tags=50%, list=15%, signal=56%	
GO_RESPONSE_TO_BACTERIUM	GO_RESPONSE_TO_BACTERIUM	Details ...	28	-0.5186835	-1.7256882	0.02972973	0.8848096	0.998	37	tags=25%, list=9%, signal=26%	
GO_ANATOMICAL_STRUCTURE_HOMEOSTASIS	GO_ANATOMICAL_STRUCTURE_HOMEOSTASIS	Details ...	18	-0.60191333	-1.7241195	0.02529762	0.716161	0.998	12	tags=17%, list=3%, signal=16%	
GO_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE	GO_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE	Details ...	15	-0.5851036	-1.6563431	0.056971513	0.93079585	1.0	34	tags=27%, list=8%, signal=28%	
GO_MULTICELLULAR_ORGANISMAL_HOMEOSTASIS	GO_MULTICELLULAR_ORGANISMAL_HOMEOSTASIS	Details ...	20	-0.5446344	-1.628338	0.057224605	0.9517442	1.0	12	tags=15%, list=3%, signal=15%	
GO_REGULATION_OF_SMALL_MOLECULE_METABOLIC_PROCESS	GO_REGULATION_OF_SMALL_MOLECULE_METABOLIC_PROCESS	Details ...	18	-0.5498082	-1.6099902	0.0461997	0.92393035	1.0	44	tags=33%, list=11%, signal=36%	
GO_PROTEOLYSIS	GO_PROTEOLYSIS	Details ...	57	-0.40179113	-1.5563241	0.05978898	1.0	1.0	47	tags=23%, list=11%, signal=22%	
GO_DEFENSE_RESPONSE_TO_OTHER_ORGANISM	GO_DEFENSE_RESPONSE_TO_OTHER_ORGANISM	Details ...	42	-0.41906857	-1.5320188	0.091925465	1.0	1.0	20	tags=12%, list=5%, signal=11%	
GO_RESPONSE_TO_BIOTIC_STIMULUS	GO_RESPONSE_TO_BIOTIC_STIMULUS	Details ...	56	-0.40845817	-1.5288179	0.050410315	1.0	1.0	37	tags=18%, list=9%, signal=17%	
GO_ANTIMICROBIAL_HUMORAL_RESPONSE	GO_ANTIMICROBIAL_HUMORAL_RESPONSE	Details ...	15	-0.5291185	-1.5169533	0.09969789	1.0	1.0	23	tags=27%, list=6%, signal=27%	
GO_HUMORAL_IMMUNE_RESPONSE	GO_HUMORAL_IMMUNE_RESPONSE	Details ...	16	-0.51418966	-1.4846865	0.10549777	1.0	1.0	23	tags=25%, list=6%, signal=25%	
GO_MULTI_ORGANISM_PROCESS	GO_MULTI_ORGANISM_PROCESS	Details ...	26	-0.45780775	-1.4833878	0.101626016	1.0	1.0	76	tags=35%, list=18%, signal=40%	
GO_DEFENSE_RESPONSE	GO_DEFENSE_RESPONSE	Details ...	60	-0.3850639	-1.4618268	0.071680374	1.0	1.0	20	tags=12%, list=5%, signal=10%	
GO_NEGATIVE_REGULATION_OF_PEPTIDASE_ACTIVITY	GO_NEGATIVE_REGULATION_OF_PEPTIDASE_ACTIVITY	Details ...	17	-0.499792	-1.4615514	0.12368024	0.9859655	1.0	47	tags=29%, list=11%, signal=32%	
GO_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS	GO_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS	Details ...	20	-0.47663215	-1.4551364	0.12707183	0.95409584	1.0	131	tags=70%, list=31%, signal=97%	
GO_REGULATION_OF_HORMONE_LEVELS	GO_REGULATION_OF_HORMONE_LEVELS	Details ...	18	-0.49084264	-1.4505684	0.13372956	0.9201341	1.0	64	tags=39%, list=15%, signal=44%	
GO_NEGATIVE_REGULATION_OF_HYDROLASE_ACTIVITY	GO_NEGATIVE_REGULATION_OF_HYDROLASE_ACTIVITY	Details ...	27	-0.44426563	-1.4499054	0.1284153	0.8745079	1.0	59	tags=37%, list=14%, signal=40%	
GO_NEGATIVE_REGULATION_OF_PROTEOLYSIS	GO_NEGATIVE_REGULATION_OF_PROTEOLYSIS	Details ...	19	-0.47673982	-1.4308503	0.13119534	0.9016723	1.0	53	tags=32%, list=13%, signal=35%	
GO_RESPONSE_TO_EXTRACELLULAR_STIMULUS	GO_RESPONSE_TO_EXTRACELLULAR_STIMULUS		29	-0.42241117	-1.42966	0.11290322	0.86343724	1.0	54	tags=24%, list=13%, signal=26%	
GO_REGULATION_OF_DEFENSE_RESPONSE	GO_REGULATION_OF_DEFENSE_RESPONSE		24	-0.4474253	-1.4122536	0.14265928	0.8855413	1.0	44	tags=25%, list=11%, signal=26%	
GO_REGULATION_OF_PEPTIDASE_ACTIVITY	GO_REGULATION_OF_PEPTIDASE_ACTIVITY		30	-0.41510558	-1.3781213	0.13297872	0.97007585	1.0	47	tags=23%, list=11%, signal=24%	
GO_REGULATION_OF_PROTEOLYSIS	GO_REGULATION_OF_PROTEOLYSIS		37	-0.39101657	-1.3649756	0.16342412	0.97890776	1.0	53	tags=24%, list=13%, signal=25%	
GO_NEGATIVE_REGULATION_OF_TRANSPORT	GO_NEGATIVE_REGULATION_OF_TRANSPORT		16	-0.4732499	-1.3636746	0.19054653	0.9451828	1.0	46	tags=31%, list=11%, signal=34%	
GO_CIRCULATORY_SYSTEM_PROCESS	GO_CIRCULATORY_SYSTEM_PROCESS		16	-0.4500509	-1.3390876	0.20310077	0.9987915	1.0	46	tags=38%, list=11%, signal=41%	
GO_CARBOHYDRATE_METABOLIC_PROCESS	GO_CARBOHYDRATE_METABOLIC_PROCESS		19	-0.4467437	-1.3341268	0.20402299	0.9804125	1.0	38	tags=16%, list=9%, signal=17%	
GO_NEGATIVE_REGULATION_OF_MOLECULAR_FUNCTION	GO_NEGATIVE_REGULATION_OF_MOLECULAR_FUNCTION		46	-0.37073645	-1.3275721	0.17739975	0.96956843	1.0	59	tags=30%, list=14%, signal=32%	
GO_NEGATIVE_REGULATION_OF_CATALYTIC_ACTIVITY	GO_NEGATIVE_REGULATION_OF_CATALYTIC_ACTIVITY		35	-0.3847376	-1.3200978	0.1826087	0.96157134	1.0	59	tags=31%, list=14%, signal=34%	
