NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LY6H	lymphocyte antigen 6 family member H [Source:HGNC Symbol;Acc:HGNC:6728]	8	1.057090163230896	0.054746255	No	
row_1	SULT6B2P	sulfotransferase family 6B member 2, pseudogene [Source:HGNC Symbol;Acc:HGNC:53737]	35	0.6576266288757324	0.060585506	No	
row_2	APP	amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]	97	0.4662449061870575	0.007589197	No	
row_3	MBOAT1	membrane bound O-acyltransferase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21579]	104	0.4589919447898865	0.027969088	No	
row_4	IDH1	isocitrate dehydrogenase (NADP(+)) 1 [Source:HGNC Symbol;Acc:HGNC:5382]	160	0.38597342371940613	-0.021946177	No	
row_5	GSTA3	glutathione S-transferase alpha 3 [Source:HGNC Symbol;Acc:HGNC:4628]	205	0.33760884404182434	-0.060092427	No	
row_6	MT1A	metallothionein 1A [Source:HGNC Symbol;Acc:HGNC:7393]	267	0.2897450625896454	-0.12402253	No	
row_7	KRT23	keratin 23 [Source:HGNC Symbol;Acc:HGNC:6438]	299	0.2679624855518341	-0.14903356	No	
row_8	GSTM1	glutathione S-transferase mu 1 [Source:HGNC Symbol;Acc:HGNC:4632]	363	-0.25750473141670227	-0.21764544	No	
row_9	XPNPEP2	X-prolyl aminopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:12823]	447	-0.29356396198272705	-0.31086916	No	
row_10	MGST2	microsomal glutathione S-transferase 2 [Source:HGNC Symbol;Acc:HGNC:7063]	460	-0.30048391222953796	-0.30836222	No	
row_11	CYP2J2	cytochrome P450 family 2 subfamily J member 2 [Source:HGNC Symbol;Acc:HGNC:2634]	520	-0.3361716866493225	-0.3667317	No	
row_12	COX7A1	cytochrome c oxidase subunit 7A1 [Source:HGNC Symbol;Acc:HGNC:2287]	571	-0.37922653555870056	-0.41035354	No	
row_13	SULT2B1	sulfotransferase family 2B member 1 [Source:HGNC Symbol;Acc:HGNC:11459]	622	-0.4644802510738373	-0.44869405	Yes	
row_14	MOGAT2	monoacylglycerol O-acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:23248]	623	-0.46740174293518066	-0.4197395	Yes	
row_15	CDA	cytidine deaminase [Source:HGNC Symbol;Acc:HGNC:1712]	626	-0.4705687165260315	-0.39327332	Yes	
row_16	KLK1	kallikrein 1 [Source:HGNC Symbol;Acc:HGNC:6357]	656	-0.522150456905365	-0.39985338	Yes	
row_17	HLA-DRB1	major histocompatibility complex, class II, DR beta 1 [Source:HGNC Symbol;Acc:HGNC:4948]	686	-0.6428012847900391	-0.39895937	Yes	
row_18	HLA-DQB2	major histocompatibility complex, class II, DQ beta 2 [Source:HGNC Symbol;Acc:HGNC:4945]	728	-0.9095942378044128	-0.39764547	Yes	
row_19	CCL25	C-C motif chemokine ligand 25 [Source:HGNC Symbol;Acc:HGNC:10624]	730	-0.9363037347793579	-0.34098572	Yes	
row_20	CLPS	colipase [Source:HGNC Symbol;Acc:HGNC:2085]	743	-1.1424281597137451	-0.2863221	Yes	
row_21	SELENOP	selenoprotein P [Source:HGNC Symbol;Acc:HGNC:10751]	754	-1.5462311506271362	-0.20395915	Yes	
row_22	CD74	CD74 molecule [Source:HGNC Symbol;Acc:HGNC:1697]	755	-1.7358746528625488	-0.09642537	Yes	
row_23	CLCA1	chloride channel accessory 1 [Source:HGNC Symbol;Acc:HGNC:2015]	757	-1.8165706396102905	0.014765065	Yes	
