NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FAM162A	family with sequence similarity 162 member A [Source:HGNC Symbol;Acc:HGNC:17865]	17	0.8848053216934204	0.09608432	Yes	
row_1	RPL36	ribosomal protein L36 [Source:HGNC Symbol;Acc:HGNC:13631]	44	0.6095325946807861	0.14327456	Yes	
row_2	ERO1A	endoplasmic reticulum oxidoreductase 1 alpha [Source:HGNC Symbol;Acc:HGNC:13280]	63	0.544617235660553	0.19239515	Yes	
row_3	ACTN1	actinin alpha 1 [Source:HGNC Symbol;Acc:HGNC:163]	84	0.49115392565727234	0.2316844	Yes	
row_4	FAT1	FAT atypical cadherin 1 [Source:HGNC Symbol;Acc:HGNC:3595]	85	0.49035942554473877	0.29746282	Yes	
row_5	PGK1	phosphoglycerate kinase 1 [Source:HGNC Symbol;Acc:HGNC:8896]	99	0.4636472165584564	0.34237078	Yes	
row_6	SEM1	SEM1 26S proteasome complex subunit [Source:HGNC Symbol;Acc:HGNC:10845]	119	0.4436001181602478	0.3766108	Yes	
row_7	EIF2S3	eukaryotic translation initiation factor 2 subunit gamma [Source:HGNC Symbol;Acc:HGNC:3267]	130	0.4280144274234772	0.42072818	Yes	
row_8	KRT19	keratin 19 [Source:HGNC Symbol;Acc:HGNC:6436]	141	0.41142556071281433	0.4626203	Yes	
row_9	HIGD1A	HIG1 hypoxia inducible domain family member 1A [Source:HGNC Symbol;Acc:HGNC:29527]	154	0.3945419192314148	0.499588	Yes	
row_10	BHLHE40	basic helix-loop-helix family member e40 [Source:HGNC Symbol;Acc:HGNC:1046]	155	0.39408618211746216	0.552452	Yes	
row_11	SNRPF	small nuclear ribonucleoprotein polypeptide F [Source:HGNC Symbol;Acc:HGNC:11162]	228	0.3153865337371826	0.49901432	No	
row_12	HK2	hexokinase 2 [Source:HGNC Symbol;Acc:HGNC:4923]	251	0.301866352558136	0.51025236	No	
row_13	MT1A	metallothionein 1A [Source:HGNC Symbol;Acc:HGNC:7393]	267	0.2897450625896454	0.5291729	No	
row_14	POLR2K	RNA polymerase II subunit K [Source:HGNC Symbol;Acc:HGNC:9198]	285	0.2762744426727295	0.5436269	No	
row_15	EPHX2	epoxide hydrolase 2 [Source:HGNC Symbol;Acc:HGNC:3402]	498	-0.3204619288444519	0.30469984	No	
row_16	IFT20	intraflagellar transport 20 [Source:HGNC Symbol;Acc:HGNC:30989]	584	-0.3951971232891083	0.24468096	No	
