NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CLDN2	claudin 2 [Source:HGNC Symbol;Acc:HGNC:2041]	45	0.6020601391792297	-0.0024803914	No	
row_1	CEACAM1	CEA cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:1814]	143	0.40932005643844604	-0.092355356	No	
row_2	TKFC	triokinase and FMN cyclase [Source:HGNC Symbol;Acc:HGNC:24552]	387	-0.26732462644577026	-0.389631	No	
row_3	SLC3A1	solute carrier family 3 member 1 [Source:HGNC Symbol;Acc:HGNC:11025]	399	-0.2724728286266327	-0.37831593	No	
row_4	DDC	dopa decarboxylase [Source:HGNC Symbol;Acc:HGNC:2719]	445	-0.29240524768829346	-0.4102572	No	
row_5	PDZK1	PDZ domain containing 1 [Source:HGNC Symbol;Acc:HGNC:8821]	500	-0.3211478888988495	-0.45141602	No	
row_6	CYP2D6	cytochrome P450 family 2 subfamily D member 6 [Source:HGNC Symbol;Acc:HGNC:2625]	549	-0.36581969261169434	-0.4803566	No	
row_7	NLRP6	NLR family pyrin domain containing 6 [Source:HGNC Symbol;Acc:HGNC:22944]	558	-0.3722885251045227	-0.4555609	No	
row_8	CYP4V2	cytochrome P450 family 4 subfamily V member 2 [Source:HGNC Symbol;Acc:HGNC:23198]	609	-0.443386435508728	-0.47977775	No	
row_9	OTC	ornithine carbamoyltransferase [Source:HGNC Symbol;Acc:HGNC:8512]	678	-0.5922812819480896	-0.513733	Yes	
row_10	CES2	carboxylesterase 2 [Source:HGNC Symbol;Acc:HGNC:1864]	689	-0.6505717039108276	-0.46511722	Yes	
row_11	APOA4	apolipoprotein A4 [Source:HGNC Symbol;Acc:HGNC:602]	692	-0.6682462692260742	-0.40419567	Yes	
row_12	SULT1B1	sulfotransferase family 1B member 1 [Source:HGNC Symbol;Acc:HGNC:17845]	706	-0.7295291423797607	-0.35205185	Yes	
row_13	CCL23	C-C motif chemokine ligand 23 [Source:HGNC Symbol;Acc:HGNC:10622]	717	-0.814434289932251	-0.28784603	Yes	
row_14	MTTP	microsomal triglyceride transfer protein [Source:HGNC Symbol;Acc:HGNC:7467]	720	-0.8416233658790588	-0.21042924	Yes	
row_15	FABP2	fatty acid binding protein 2 [Source:HGNC Symbol;Acc:HGNC:3556]	763	-2.8678102493286133	0.006640034	Yes	
