NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CLDN2	claudin 2 [Source:HGNC Symbol;Acc:HGNC:2041]	45	0.6020601391792297	-0.008957574	No	
row_1	CDH1	cadherin 1 [Source:HGNC Symbol;Acc:HGNC:1748]	72	0.5145708322525024	-4.331104E-5	No	
row_2	EIF2S3	eukaryotic translation initiation factor 2 subunit gamma [Source:HGNC Symbol;Acc:HGNC:3267]	130	0.4280144274234772	-0.03966773	No	
row_3	ANG	angiogenin [Source:HGNC Symbol;Acc:HGNC:483]	386	-0.26653802394866943	-0.3562371	No	
row_4	SLC3A1	solute carrier family 3 member 1 [Source:HGNC Symbol;Acc:HGNC:11025]	399	-0.2724728286266327	-0.34916663	No	
row_5	DDC	dopa decarboxylase [Source:HGNC Symbol;Acc:HGNC:2719]	445	-0.29240524768829346	-0.38429457	No	
row_6	CHKA	choline kinase alpha [Source:HGNC Symbol;Acc:HGNC:1937]	469	-0.3041428327560425	-0.38917518	No	
row_7	CYP2J2	cytochrome P450 family 2 subfamily J member 2 [Source:HGNC Symbol;Acc:HGNC:2634]	520	-0.3361716866493225	-0.42725313	No	
row_8	CYP2D6	cytochrome P450 family 2 subfamily D member 6 [Source:HGNC Symbol;Acc:HGNC:2625]	549	-0.36581969261169434	-0.4335701	No	
row_9	FMO5	flavin containing dimethylaniline monoxygenase 5 [Source:HGNC Symbol;Acc:HGNC:3773]	579	-0.391428679227829	-0.4390525	No	
row_10	CYP4V2	cytochrome P450 family 4 subfamily V member 2 [Source:HGNC Symbol;Acc:HGNC:23198]	609	-0.443386435508728	-0.4401437	No	
row_11	DPP4	dipeptidyl peptidase 4 [Source:HGNC Symbol;Acc:HGNC:3009]	710	-0.7545823454856873	-0.5093492	Yes	
row_12	CYP4F2	cytochrome P450 family 4 subfamily F member 2 [Source:HGNC Symbol;Acc:HGNC:2645]	726	-0.8854303956031799	-0.45446426	Yes	
row_13	CLEC2D	C-type lectin domain family 2 member D [Source:HGNC Symbol;Acc:HGNC:14351]	729	-0.9099520444869995	-0.38021964	Yes	
row_14	PIGR	polymeric immunoglobulin receptor [Source:HGNC Symbol;Acc:HGNC:8968]	737	-1.0182609558105469	-0.30347025	Yes	
row_15	FABP1	fatty acid binding protein 1 [Source:HGNC Symbol;Acc:HGNC:3555]	742	-1.1126315593719482	-0.21475585	Yes	
row_16	TFF3	trefoil factor 3 [Source:HGNC Symbol;Acc:HGNC:11757]	764	-2.9344115257263184	0.0053191395	Yes	
