NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACTB	actin beta [Source:HGNC Symbol;Acc:HGNC:132]	7	1.0671534538269043	0.13238482	Yes	
row_1	CTNNB1	catenin beta 1 [Source:HGNC Symbol;Acc:HGNC:2514]	27	0.7286320924758911	0.2038644	Yes	
row_2	LMNA	lamin A/C [Source:HGNC Symbol;Acc:HGNC:6636]	43	0.6165744662284851	0.26578444	Yes	
row_3	DSP	desmoplakin [Source:HGNC Symbol;Acc:HGNC:3052]	57	0.5623799562454224	0.32316828	Yes	
row_4	DSG2	desmoglein 2 [Source:HGNC Symbol;Acc:HGNC:3049]	74	0.5113564133644104	0.36978802	Yes	
row_5	ACTN1	actinin alpha 1 [Source:HGNC Symbol;Acc:HGNC:163]	84	0.49115392565727234	0.42303383	Yes	
row_6	ITGA6	integrin subunit alpha 6 [Source:HGNC Symbol;Acc:HGNC:6142]	106	0.454662024974823	0.4554769	Yes	
row_7	JUP	junction plakoglobin [Source:HGNC Symbol;Acc:HGNC:6207]	164	0.3797909915447235	0.43010652	Yes	
row_8	ATP2A2	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2 [Source:HGNC Symbol;Acc:HGNC:812]	178	0.3644122779369354	0.46120483	Yes	
row_9	ITGAV	integrin subunit alpha V [Source:HGNC Symbol;Acc:HGNC:6150]	187	0.3513985574245453	0.49722415	Yes	
row_10	ACTG1	actin gamma 1 [Source:HGNC Symbol;Acc:HGNC:144]	232	0.3139440417289734	0.48039803	Yes	
row_11	ITGB1	integrin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:6153]	238	0.31028908491134644	0.5149483	Yes	
row_12	CTNNA1	catenin alpha 1 [Source:HGNC Symbol;Acc:HGNC:2509]	258	0.2955130636692047	0.5289197	Yes	
row_13	DSC2	desmocollin 2 [Source:HGNC Symbol;Acc:HGNC:3036]	263	0.29266178607940674	0.56245923	Yes	
row_14	ITGA3	integrin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6139]	286	0.2755010724067688	0.5697841	Yes	
row_15	ITGB4	integrin subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:6158]	317	0.2586687207221985	0.56423575	Yes	
row_16	TCF7L2	transcription factor 7 like 2 [Source:HGNC Symbol;Acc:HGNC:11641]	321	0.25733882188796997	0.594415	Yes	
