NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL1RN	interleukin 1 receptor antagonist [Source:HGNC Symbol;Acc:HGNC:6000]	18	0.8720592856407166	-0.011740793	No	
row_1	SPRR1A	small proline rich protein 1A [Source:HGNC Symbol;Acc:HGNC:11259]	64	0.5398656129837036	-0.069019124	No	
row_2	GPX1	glutathione peroxidase 1 [Source:HGNC Symbol;Acc:HGNC:4553]	66	0.5342736840248108	-0.061400045	No	
row_3	CYBA	cytochrome b-245 alpha chain [Source:HGNC Symbol;Acc:HGNC:2577]	73	0.5142569541931152	-0.06150728	No	
row_4	MIF	macrophage migration inhibitory factor [Source:HGNC Symbol;Acc:HGNC:7097]	79	0.5006850361824036	-0.06036848	No	
row_5	KRT8	keratin 8 [Source:HGNC Symbol;Acc:HGNC:6446]	118	0.4440076947212219	-0.10893909	No	
row_6	SOD1	superoxide dismutase 1 [Source:HGNC Symbol;Acc:HGNC:11179]	120	0.44357559084892273	-0.10286417	No	
row_7	PLAUR	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]	121	0.44230976700782776	-0.0953337	No	
row_8	GCH1	GTP cyclohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:4193]	125	0.43810585141181946	-0.09230612	No	
row_9	EIF2S3	eukaryotic translation initiation factor 2 subunit gamma [Source:HGNC Symbol;Acc:HGNC:3267]	130	0.4280144274234772	-0.09092746	No	
row_10	KRT18	keratin 18 [Source:HGNC Symbol;Acc:HGNC:6430]	148	0.40142855048179626	-0.109203786	No	
row_11	RPS27L	ribosomal protein S27 like [Source:HGNC Symbol;Acc:HGNC:18476]	169	0.3717173933982849	-0.13241728	No	
row_12	CFTR	CF transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]	183	0.35461246967315674	-0.14558224	No	
row_13	BOK	BCL2 family apoptosis regulator BOK [Source:HGNC Symbol;Acc:HGNC:1087]	186	0.3521551489830017	-0.1425409	No	
row_14	KLF6	Kruppel like factor 6 [Source:HGNC Symbol;Acc:HGNC:2235]	196	0.34194743633270264	-0.15001307	No	
row_15	NAP1L1	nucleosome assembly protein 1 like 1 [Source:HGNC Symbol;Acc:HGNC:7637]	226	0.3189855217933655	-0.18741828	No	
row_16	HES1	hes family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:5192]	236	0.31269019842147827	-0.19538857	No	
row_17	RPS15	ribosomal protein S15 [Source:HGNC Symbol;Acc:HGNC:10388]	280	0.280056893825531	-0.25413603	No	
row_18	GSS	glutathione synthetase [Source:HGNC Symbol;Acc:HGNC:4624]	281	0.27953001856803894	-0.24937692	No	
row_19	SERPINB5	serpin family B member 5 [Source:HGNC Symbol;Acc:HGNC:8949]	300	0.26674750447273254	-0.27142334	No	
row_20	ITGB4	integrin subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:6158]	317	0.2586687207221985	-0.2906531	No	
row_21	IER3	immediate early response 3 [Source:HGNC Symbol;Acc:HGNC:5392]	318	0.25861456990242004	-0.2862501	No	
row_22	KITLG	KIT ligand [Source:HGNC Symbol;Acc:HGNC:6343]	324	0.2563706338405609	-0.28927085	No	
row_23	MYL12A	myosin light chain 12A [Source:HGNC Symbol;Acc:HGNC:16701]	326	0.25582826137542725	-0.2863924	No	
row_24	CLDN7	claudin 7 [Source:HGNC Symbol;Acc:HGNC:2049]	343	-0.2506396770477295	-0.30575883	No	
row_25	TREH	trehalase [Source:HGNC Symbol;Acc:HGNC:12266]	356	-0.2554281949996948	-0.31913537	No	
row_26	TMEM120A	transmembrane protein 120A [Source:HGNC Symbol;Acc:HGNC:21697]	360	-0.25618574023246765	-0.31920502	No	
row_27	GSTM1	glutathione S-transferase mu 1 [Source:HGNC Symbol;Acc:HGNC:4632]	363	-0.25750473141670227	-0.31777513	No	
row_28	DNASE1	deoxyribonuclease 1 [Source:HGNC Symbol;Acc:HGNC:2956]	413	-0.27985620498657227	-0.3853886	No	
row_29	CDS1	CDP-diacylglycerol synthase 1 [Source:HGNC Symbol;Acc:HGNC:1800]	436	-0.28682753443717957	-0.4130016	No	
row_30	MUC13	mucin 13, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7511]	437	-0.28770431876182556	-0.40810335	No	
row_31	DNPEP	aspartyl aminopeptidase [Source:HGNC Symbol;Acc:HGNC:2981]	438	-0.2890874147415161	-0.40318152	No	
row_32	GPT	glutamic--pyruvic transaminase [Source:HGNC Symbol;Acc:HGNC:4552]	440	-0.29030704498291016	-0.39971605	No	
row_33	RPL28	ribosomal protein L28 [Source:HGNC Symbol;Acc:HGNC:10330]	442	-0.2905573546886444	-0.39624634	No	
row_34	HLA-E	major histocompatibility complex, class I, E [Source:HGNC Symbol;Acc:HGNC:4962]	444	-0.2920899987220764	-0.3927505	No	
row_35	DDC	dopa decarboxylase [Source:HGNC Symbol;Acc:HGNC:2719]	445	-0.29240524768829346	-0.3877722	No	
row_36	NDUFB5	NADH:ubiquinone oxidoreductase subunit B5 [Source:HGNC Symbol;Acc:HGNC:7700]	457	-0.29884418845176697	-0.39893246	No	
row_37	COX4I1	cytochrome c oxidase subunit 4I1 [Source:HGNC Symbol;Acc:HGNC:2265]	461	-0.3006324768066406	-0.3982454	No	
row_38	PRLR	prolactin receptor [Source:HGNC Symbol;Acc:HGNC:9446]	467	-0.30366697907447815	-0.4004609	No	
row_39	HLA-DMA	major histocompatibility complex, class II, DM alpha [Source:HGNC Symbol;Acc:HGNC:4934]	484	-0.3123410940170288	-0.41877687	No	
row_40	CASP6	caspase 6 [Source:HGNC Symbol;Acc:HGNC:1507]	485	-0.3128769099712372	-0.41345003	No	
row_41	AK2	adenylate kinase 2 [Source:HGNC Symbol;Acc:HGNC:362]	489	-0.3141055107116699	-0.41253358	No	
row_42	EPHX2	epoxide hydrolase 2 [Source:HGNC Symbol;Acc:HGNC:3402]	498	-0.3204619288444519	-0.41889447	No	
row_43	IL18	interleukin 18 [Source:HGNC Symbol;Acc:HGNC:5986]	499	-0.320738285779953	-0.4134338	No	
row_44	CKMT1A	creatine kinase, mitochondrial 1A [Source:HGNC Symbol;Acc:HGNC:31736]	510	-0.3279588520526886	-0.42262122	No	
row_45	ALDH1A1	aldehyde dehydrogenase 1 family member A1 [Source:HGNC Symbol;Acc:HGNC:402]	517	-0.33406004309654236	-0.4257964	No	
