NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
PASINI_SUZ12_TARGETS_DN	PASINI_SUZ12_TARGETS_DN	Details ...	50	0.5429608	3.0118904	0.0	0.0	0.0	320	tags=92%, list=42%, signal=147%	
KOINUMA_TARGETS_OF_SMAD2_OR_SMAD3	KOINUMA_TARGETS_OF_SMAD2_OR_SMAD3	Details ...	85	0.44280896	2.9024928	0.0	0.0	0.0	319	tags=78%, list=41%, signal=118%	
RICKMAN_METASTASIS_DN	RICKMAN_METASTASIS_DN	Details ...	22	0.6134198	2.6703076	0.0	0.0	0.0	164	tags=68%, list=21%, signal=84%	
DACOSTA_UV_RESPONSE_VIA_ERCC3_DN	DACOSTA_UV_RESPONSE_VIA_ERCC3_DN	Details ...	36	0.49210465	2.5310426	0.0	0.0014220136	0.003	334	tags=92%, list=43%, signal=154%	
CHICAS_RB1_TARGETS_LOW_SERUM	CHICAS_RB1_TARGETS_LOW_SERUM	Details ...	19	0.6053333	2.4768414	0.0	0.0038132071	0.01	314	tags=100%, list=41%, signal=165%	
KRIEG_HYPOXIA_NOT_VIA_KDM3A	KRIEG_HYPOXIA_NOT_VIA_KDM3A	Details ...	51	0.43451568	2.447807	0.0	0.0038603442	0.012	337	tags=82%, list=44%, signal=137%	
MCBRYAN_PUBERTAL_BREAST_3_4WK_UP	MCBRYAN_PUBERTAL_BREAST_3_4WK_UP	Details ...	29	0.51624167	2.4166918	0.0	0.004590928	0.017	148	tags=55%, list=19%, signal=66%	
AMIT_EGF_RESPONSE_480_HELA	AMIT_EGF_RESPONSE_480_HELA	Details ...	18	0.594377	2.3708873	0.0	0.0051614325	0.022	172	tags=72%, list=22%, signal=91%	
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	Details ...	17	0.5944149	2.3547237	0.0	0.0054029436	0.026	321	tags=100%, list=42%, signal=168%	
WP_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY	WP_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY	Details ...	17	0.594415	2.28043	0.0	0.010492476	0.057	321	tags=100%, list=42%, signal=168%	
RODRIGUES_THYROID_CARCINOMA_ANAPLASTIC_UP	RODRIGUES_THYROID_CARCINOMA_ANAPLASTIC_UP	Details ...	39	0.4385079	2.278198	0.0	0.009538614	0.057	339	tags=85%, list=44%, signal=144%	
JINESH_BLEBBISHIELD_TRANSFORMED_STEM_CELL_SPHERES_UP	JINESH_BLEBBISHIELD_TRANSFORMED_STEM_CELL_SPHERES_UP	Details ...	27	0.49451733	2.2708354	0.0	0.008908677	0.058	151	tags=56%, list=20%, signal=67%	
DURCHDEWALD_SKIN_CARCINOGENESIS_DN	DURCHDEWALD_SKIN_CARCINOGENESIS_DN	Details ...	24	0.49911907	2.2573926	0.0	0.009243061	0.065	312	tags=83%, list=41%, signal=136%	
