NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CLU	clusterin [Source:HGNC Symbol;Acc:HGNC:2095]	3	1.3506386280059814	0.12574187	Yes	
row_1	FAM162A	family with sequence similarity 162 member A [Source:HGNC Symbol;Acc:HGNC:17865]	17	0.8848053216934204	0.19342221	Yes	
row_2	YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta [Source:HGNC Symbol;Acc:HGNC:12853]	34	0.6588003635406494	0.23539883	Yes	
row_3	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta [Source:HGNC Symbol;Acc:HGNC:12855]	38	0.6448140144348145	0.2933422	Yes	
row_4	LMNA	lamin A/C [Source:HGNC Symbol;Acc:HGNC:6636]	43	0.6165744662284851	0.3472415	Yes	
row_5	GCLC	glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]	60	0.5550163388252258	0.37924904	Yes	
row_6	GPX1	glutathione peroxidase 1 [Source:HGNC Symbol;Acc:HGNC:4553]	66	0.5342736840248108	0.4239113	Yes	
row_7	YWHAG	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma [Source:HGNC Symbol;Acc:HGNC:12852]	87	0.4866916537284851	0.44402966	Yes	
row_8	SFN	stratifin [Source:HGNC Symbol;Acc:HGNC:10773]	110	0.44804179668426514	0.45777234	Yes	
row_9	PLAUR	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]	121	0.44230976700782776	0.48694316	Yes	
row_10	HIGD1A	HIG1 hypoxia inducible domain family member 1A [Source:HGNC Symbol;Acc:HGNC:29527]	154	0.3945419192314148	0.4822313	No	
row_11	BOK	BCL2 family apoptosis regulator BOK [Source:HGNC Symbol;Acc:HGNC:1087]	186	0.3521551489830017	0.47477952	No	
row_12	HK2	hexokinase 2 [Source:HGNC Symbol;Acc:HGNC:4923]	251	0.301866352558136	0.4185558	No	
row_13	ACAA2	acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]	555	-0.37108758091926575	0.05073884	No	
row_14	CHCHD10	coiled-coil-helix-coiled-coil-helix domain containing 10 [Source:HGNC Symbol;Acc:HGNC:15559]	607	-0.4350408911705017	0.024617549	No	
row_15	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	630	-0.47617611289024353	0.041062713	No	
row_16	SLC25A5	solute carrier family 25 member 5 [Source:HGNC Symbol;Acc:HGNC:10991]	672	-0.5778260231018066	0.041972324	No	
row_17	PYCARD	PYD and CARD domain containing [Source:HGNC Symbol;Acc:HGNC:16608]	725	-0.8799656629562378	0.057257045	No	
