NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL41	ribosomal protein L41 [Source:HGNC Symbol;Acc:HGNC:10354]	10	1.0323172807693481	0.07892963	Yes	
row_1	RPS28	ribosomal protein S28 [Source:HGNC Symbol;Acc:HGNC:10418]	14	0.9433043003082275	0.15929201	Yes	
row_2	RPS29	ribosomal protein S29 [Source:HGNC Symbol;Acc:HGNC:10419]	20	0.8111591339111328	0.22514796	Yes	
row_3	RPL38	ribosomal protein L38 [Source:HGNC Symbol;Acc:HGNC:10349]	24	0.7375556230545044	0.2871038	Yes	
row_4	RPL36	ribosomal protein L36 [Source:HGNC Symbol;Acc:HGNC:13631]	44	0.6095325946807861	0.31613	Yes	
row_5	RPL39	ribosomal protein L39 [Source:HGNC Symbol;Acc:HGNC:10350]	49	0.5838735103607178	0.36299497	Yes	
row_6	EIF2S2	eukaryotic translation initiation factor 2 subunit beta [Source:HGNC Symbol;Acc:HGNC:3266]	117	0.44433629512786865	0.31281298	Yes	
row_7	EIF2S3	eukaryotic translation initiation factor 2 subunit gamma [Source:HGNC Symbol;Acc:HGNC:3267]	130	0.4280144274234772	0.33499634	Yes	
row_8	RPL31	ribosomal protein L31 [Source:HGNC Symbol;Acc:HGNC:10334]	138	0.4128604233264923	0.3625354	Yes	
row_9	PKM	pyruvate kinase M1/2 [Source:HGNC Symbol;Acc:HGNC:9021]	140	0.412327378988266	0.39808044	Yes	
row_10	RPL22L1	ribosomal protein L22 like 1 [Source:HGNC Symbol;Acc:HGNC:27610]	150	0.39837318658828735	0.4216389	Yes	
row_11	RPS21	ribosomal protein S21 [Source:HGNC Symbol;Acc:HGNC:10409]	184	0.35385313630104065	0.40899977	Yes	
row_12	RPL35A	ribosomal protein L35a [Source:HGNC Symbol;Acc:HGNC:10345]	194	0.3432455360889435	0.4276264	Yes	
row_13	EIF3B	eukaryotic translation initiation factor 3 subunit B [Source:HGNC Symbol;Acc:HGNC:3280]	216	0.3283242881298065	0.4288108	Yes	
row_14	RPS26	ribosomal protein S26 [Source:HGNC Symbol;Acc:HGNC:10414]	219	0.3265533745288849	0.45534015	Yes	
row_15	RPL36A	ribosomal protein L36a [Source:HGNC Symbol;Acc:HGNC:10359]	254	0.30072447657585144	0.43660575	No	
row_16	EIF3I	eukaryotic translation initiation factor 3 subunit I [Source:HGNC Symbol;Acc:HGNC:3272]	389	-0.26832982897758484	0.28074512	No	
row_17	EIF3K	eukaryotic translation initiation factor 3 subunit K [Source:HGNC Symbol;Acc:HGNC:24656]	433	-0.2865299582481384	0.24866033	No	
row_18	EIF3M	eukaryotic translation initiation factor 3 subunit M [Source:HGNC Symbol;Acc:HGNC:24460]	435	-0.2868252992630005	0.2729778	No	
row_19	RPL15	ribosomal protein L15 [Source:HGNC Symbol;Acc:HGNC:10306]	494	-0.317314475774765	0.22351283	No	
row_20	EIF3F	eukaryotic translation initiation factor 3 subunit F [Source:HGNC Symbol;Acc:HGNC:3275]	526	-0.34900572896003723	0.21312459	No	
row_21	RPLP0	ribosomal protein lateral stalk subunit P0 [Source:HGNC Symbol;Acc:HGNC:10371]	556	-0.37142419815063477	0.2074265	No	
row_22	EIF3H	eukaryotic translation initiation factor 3 subunit H [Source:HGNC Symbol;Acc:HGNC:3273]	565	-0.3759695589542389	0.23032297	No	
row_23	EIF3E	eukaryotic translation initiation factor 3 subunit E [Source:HGNC Symbol;Acc:HGNC:3277]	618	-0.4562643766403198	0.20134233	No	
