NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CTNNB1	catenin beta 1 [Source:HGNC Symbol;Acc:HGNC:2514]	27	0.7286320924758911	0.09110252	Yes	
row_1	RTN4	reticulon 4 [Source:HGNC Symbol;Acc:HGNC:14085]	39	0.6444033980369568	0.18875442	Yes	
row_2	HIF1A	hypoxia inducible factor 1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:4910]	47	0.595140814781189	0.28313094	Yes	
row_3	SDCBP	syndecan binding protein [Source:HGNC Symbol;Acc:HGNC:10662]	132	0.4208434224128723	0.24502668	Yes	
row_4	BASP1	brain abundant membrane attached signal protein 1 [Source:HGNC Symbol;Acc:HGNC:957]	142	0.40963611006736755	0.30443987	Yes	
row_5	RFLNB	refilin B [Source:HGNC Symbol;Acc:HGNC:28705]	174	0.36592936515808105	0.32706258	Yes	
row_6	RDH10	retinol dehydrogenase 10 [Source:HGNC Symbol;Acc:HGNC:19975]	208	0.33457833528518677	0.3415721	Yes	
row_7	HES1	hes family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:5192]	236	0.31269019842147827	0.36022678	Yes	
row_8	FOXA1	forkhead box A1 [Source:HGNC Symbol;Acc:HGNC:5021]	241	0.3077232241630554	0.4085203	Yes	
row_9	SOX9	SRY-box transcription factor 9 [Source:HGNC Symbol;Acc:HGNC:11204]	278	0.280718058347702	0.40966982	Yes	
row_10	HNRNPAB	heterogeneous nuclear ribonucleoprotein A/B [Source:HGNC Symbol;Acc:HGNC:5034]	282	0.2795132100582123	0.45437604	Yes	
row_11	TGFBR2	transforming growth factor beta receptor 2 [Source:HGNC Symbol;Acc:HGNC:11773]	307	0.2639567255973816	0.46852118	Yes	
row_12	TCF7L2	transcription factor 7 like 2 [Source:HGNC Symbol;Acc:HGNC:11641]	321	0.25733882188796997	0.4961025	Yes	
row_13	KITLG	KIT ligand [Source:HGNC Symbol;Acc:HGNC:6343]	324	0.2563706338405609	0.53810406	Yes	
row_14	PDCD4	programmed cell death 4 [Source:HGNC Symbol;Acc:HGNC:8763]	419	-0.2837854027748108	0.46286476	No	
