NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CYBA	cytochrome b-245 alpha chain [Source:HGNC Symbol;Acc:HGNC:2577]	73	0.5142569541931152	-0.05303608	No	
row_1	SOD1	superoxide dismutase 1 [Source:HGNC Symbol;Acc:HGNC:11179]	120	0.44357559084892273	-0.076220706	No	
row_2	GCH1	GTP cyclohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:4193]	125	0.43810585141181946	-0.04402267	No	
row_3	F11R	F11 receptor [Source:HGNC Symbol;Acc:HGNC:14685]	269	0.2896535098552704	-0.20937777	No	
row_4	TPM1	tropomyosin 1 [Source:HGNC Symbol;Acc:HGNC:12010]	272	0.2868867814540863	-0.1874698	No	
row_5	ATP5PF	ATP synthase peripheral stalk subunit F6 [Source:HGNC Symbol;Acc:HGNC:847]	375	-0.2641719579696655	-0.30048573	No	
row_6	CTSZ	cathepsin Z [Source:HGNC Symbol;Acc:HGNC:2547]	480	-0.3102013170719147	-0.41221952	No	
row_7	MME	membrane metalloendopeptidase [Source:HGNC Symbol;Acc:HGNC:7154]	631	-0.4768880009651184	-0.5708493	Yes	
row_8	ACE	angiotensin I converting enzyme [Source:HGNC Symbol;Acc:HGNC:2707]	655	-0.5219672322273254	-0.55673575	Yes	
row_9	KLK1	kallikrein 1 [Source:HGNC Symbol;Acc:HGNC:6357]	656	-0.522150456905365	-0.5120214	Yes	
row_10	ATP1A1	ATPase Na+/K+ transporting subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:799]	691	-0.6605367064476013	-0.5006691	Yes	
row_11	CYP4F2	cytochrome P450 family 4 subfamily F member 2 [Source:HGNC Symbol;Acc:HGNC:2645]	726	-0.8854303956031799	-0.47005808	Yes	
row_12	CHGA	chromogranin A [Source:HGNC Symbol;Acc:HGNC:1929]	727	-0.8985058665275574	-0.39311454	Yes	
row_13	ENPEP	glutamyl aminopeptidase [Source:HGNC Symbol;Acc:HGNC:3355]	731	-0.9550605416297913	-0.3153173	Yes	
row_14	ACE2	angiotensin I converting enzyme 2 [Source:HGNC Symbol;Acc:HGNC:13557]	740	-1.0326404571533203	-0.23752548	Yes	
row_15	GUCA2B	guanylate cyclase activator 2B [Source:HGNC Symbol;Acc:HGNC:4683]	751	-1.3612439632415771	-0.13425325	Yes	
row_16	ANPEP	alanyl aminopeptidase, membrane [Source:HGNC Symbol;Acc:HGNC:500]	756	-1.8161946535110474	0.015957406	Yes	
