NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO_DIGESTION	GO_DIGESTION	Details ...	28	-0.69747967	-2.6020648	0.0	0.0	0.0	32	tags=39%, list=4%, signal=39%	
GO_DIGESTIVE_SYSTEM_PROCESS	GO_DIGESTIVE_SYSTEM_PROCESS	Details ...	22	-0.66848046	-2.2686322	0.0	0.014399266	0.039	168	tags=64%, list=22%, signal=79%	
GO_LIPID_CATABOLIC_PROCESS	GO_LIPID_CATABOLIC_PROCESS	Details ...	36	-0.5822456	-2.2297835	0.0013586957	0.01550894	0.063	103	tags=42%, list=13%, signal=46%	
GO_TRIGLYCERIDE_METABOLIC_PROCESS	GO_TRIGLYCERIDE_METABOLIC_PROCESS	Details ...	15	-0.70346624	-2.1622167	0.0	0.028719487	0.152	147	tags=67%, list=19%, signal=81%	
GO_CELLULAR_LIPID_CATABOLIC_PROCESS	GO_CELLULAR_LIPID_CATABOLIC_PROCESS	Details ...	28	-0.59443414	-2.1573603	0.0	0.024396848	0.161	103	tags=43%, list=13%, signal=48%	
GO_ANTIMICROBIAL_HUMORAL_RESPONSE	GO_ANTIMICROBIAL_HUMORAL_RESPONSE	Details ...	15	-0.66923994	-2.0914829	0.0015600624	0.043441266	0.302	43	tags=40%, list=6%, signal=42%	
GO_INTESTINAL_ABSORPTION	GO_INTESTINAL_ABSORPTION	Details ...	15	-0.67939305	-2.0728676	0.0	0.045180567	0.356	168	tags=73%, list=22%, signal=92%	
GO_LIPID_LOCALIZATION	GO_LIPID_LOCALIZATION	Details ...	42	-0.50760174	-2.058175	0.001310616	0.045610998	0.399	127	tags=43%, list=17%, signal=49%	
GO_DEFENSE_RESPONSE_TO_BACTERIUM	GO_DEFENSE_RESPONSE_TO_BACTERIUM	Details ...	23	-0.591966	-2.0538948	0.00147929	0.042355545	0.416	65	tags=30%, list=8%, signal=32%	
GO_NEUTRAL_LIPID_METABOLIC_PROCESS	GO_NEUTRAL_LIPID_METABOLIC_PROCESS	Details ...	17	-0.6443647	-2.0520108	0.003164557	0.038764667	0.422	147	tags=59%, list=19%, signal=71%	
GO_HUMORAL_IMMUNE_RESPONSE	GO_HUMORAL_IMMUNE_RESPONSE	Details ...	19	-0.60082006	-2.014012	0.001510574	0.05227623	0.543	43	tags=32%, list=6%, signal=33%	
GO_CELL_KILLING	GO_CELL_KILLING	Details ...	17	-0.606747	-1.9426658	0.0077160494	0.09635313	0.798	67	tags=29%, list=9%, signal=32%	
GO_REGULATION_OF_BLOOD_PRESSURE	GO_REGULATION_OF_BLOOD_PRESSURE	Details ...	17	-0.6116876	-1.9415197	0.0047244094	0.08949632	0.8	139	tags=59%, list=18%, signal=70%	
GO_RESPONSE_TO_BACTERIUM	GO_RESPONSE_TO_BACTERIUM	Details ...	51	-0.44037965	-1.8850338	0.0025608195	0.13859078	0.916	100	tags=27%, list=13%, signal=29%	
GO_TISSUE_HOMEOSTASIS	GO_TISSUE_HOMEOSTASIS	Details ...	18	-0.5451576	-1.7860416	0.02157165	0.28635097	0.998	67	tags=28%, list=9%, signal=30%	
GO_SECOND_MESSENGER_MEDIATED_SIGNALING	GO_SECOND_MESSENGER_MEDIATED_SIGNALING	Details ...	19	-0.5265737	-1.7582788	0.022624435	0.32645527	0.999	102	tags=37%, list=13%, signal=41%	
GO_PROTEIN_COMPLEX_OLIGOMERIZATION	GO_PROTEIN_COMPLEX_OLIGOMERIZATION	Details ...	15	-0.559692	-1.7364379	0.022970904	0.35975236	1.0	84	tags=33%, list=11%, signal=37%	
GO_GLYCEROLIPID_METABOLIC_PROCESS	GO_GLYCEROLIPID_METABOLIC_PROCESS	Details ...	33	-0.45629567	-1.7318687	0.019746121	0.3511305	1.0	147	tags=36%, list=19%, signal=43%	
GO_RESPONSE_TO_BIOTIC_STIMULUS	GO_RESPONSE_TO_BIOTIC_STIMULUS	Details ...	108	-0.35430828	-1.693799	0.012345679	0.4301433	1.0	93	tags=21%, list=12%, signal=21%	
GO_DEFENSE_RESPONSE	GO_DEFENSE_RESPONSE	Details ...	118	-0.3428368	-1.6743635	0.005760369	0.46495247	1.0	84	tags=20%, list=11%, signal=19%	
GO_NEGATIVE_REGULATION_OF_TRANSPORT	GO_NEGATIVE_REGULATION_OF_TRANSPORT		34	-0.42397693	-1.6454593	0.032967035	0.53043383	1.0	108	tags=35%, list=14%, signal=39%	
GO_ANATOMICAL_STRUCTURE_HOMEOSTASIS	GO_ANATOMICAL_STRUCTURE_HOMEOSTASIS		22	-0.47719926	-1.6262956	0.04379562	0.56998587	1.0	33	tags=18%, list=4%, signal=18%	
GO_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	GO_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE		16	-0.5116756	-1.6180577	0.047328245	0.57319206	1.0	222	tags=63%, list=29%, signal=86%	
