NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SCD	stearoyl-CoA desaturase [Source:HGNC Symbol;Acc:HGNC:10571]	15	0.9035183787345886	0.061395578	Yes	
row_1	ABHD2	abhydrolase domain containing 2, acylglycerol lipase [Source:HGNC Symbol;Acc:HGNC:18717]	22	0.7936760187149048	0.12492134	Yes	
row_2	PMEPA1	prostate transmembrane protein, androgen induced 1 [Source:HGNC Symbol;Acc:HGNC:14107]	26	0.7293991446495056	0.18666345	Yes	
row_3	SAT1	spermidine/spermine N1-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10540]	59	0.5569945573806763	0.19409384	Yes	
row_4	ACTN1	actinin alpha 1 [Source:HGNC Symbol;Acc:HGNC:163]	84	0.49115392565727234	0.2062841	Yes	
row_5	GSR	glutathione-disulfide reductase [Source:HGNC Symbol;Acc:HGNC:4623]	90	0.4816640615463257	0.24301995	Yes	
row_6	KRT8	keratin 8 [Source:HGNC Symbol;Acc:HGNC:6446]	118	0.4440076947212219	0.24694946	Yes	
row_7	KRT19	keratin 19 [Source:HGNC Symbol;Acc:HGNC:6436]	141	0.41142556071281433	0.25462627	Yes	
row_8	INSIG1	insulin induced gene 1 [Source:HGNC Symbol;Acc:HGNC:6083]	145	0.4066869914531708	0.287277	Yes	
row_9	ACSL3	acyl-CoA synthetase long chain family member 3 [Source:HGNC Symbol;Acc:HGNC:3570]	165	0.37829911708831787	0.2959783	Yes	
row_10	IDI1	isopentenyl-diphosphate delta isomerase 1 [Source:HGNC Symbol;Acc:HGNC:5387]	167	0.375064492225647	0.32845217	Yes	
row_11	ITGAV	integrin subunit alpha V [Source:HGNC Symbol;Acc:HGNC:6150]	187	0.3513985574245453	0.33472848	Yes	
row_12	HMGCR	3-hydroxy-3-methylglutaryl-CoA reductase [Source:HGNC Symbol;Acc:HGNC:5006]	275	0.28087490797042847	0.2437382	No	
row_13	DHCR24	24-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2859]	291	0.273009330034256	0.24829558	No	
row_14	MYL12A	myosin light chain 12A [Source:HGNC Symbol;Acc:HGNC:16701]	326	0.25582826137542725	0.22590306	No	
row_15	SLC26A2	solute carrier family 26 member 2 [Source:HGNC Symbol;Acc:HGNC:10994]	477	-0.30740243196487427	0.053079568	No	
row_16	IQGAP2	IQ motif containing GTPase activating protein 2 [Source:HGNC Symbol;Acc:HGNC:6111]	550	-0.3660280406475067	-0.010180954	No	
row_17	HPGD	15-hydroxyprostaglandin dehydrogenase [Source:HGNC Symbol;Acc:HGNC:5154]	621	-0.4598962366580963	-0.06230579	No	
row_18	MAF	MAF bZIP transcription factor [Source:HGNC Symbol;Acc:HGNC:6776]	669	-0.5618994832038879	-0.07448672	No	
row_19	B2M	beta-2-microglobulin [Source:HGNC Symbol;Acc:HGNC:914]	703	-0.718590497970581	-0.053825922	No	
row_20	SELENOP	selenoprotein P [Source:HGNC Symbol;Acc:HGNC:10751]	754	-1.5462311506271362	0.018716542	No	
