NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CLU	clusterin [Source:HGNC Symbol;Acc:HGNC:2095]	3	1.3506386280059814	0.089399286	Yes	
row_1	LGALS3	galectin 3 [Source:HGNC Symbol;Acc:HGNC:6563]	6	1.0708757638931274	0.1607919	Yes	
row_2	ANXA1	annexin A1 [Source:HGNC Symbol;Acc:HGNC:533]	9	1.036751389503479	0.22982351	Yes	
row_3	EMP1	epithelial membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:3333]	16	0.8945969939231873	0.28362164	Yes	
row_4	CTNNB1	catenin beta 1 [Source:HGNC Symbol;Acc:HGNC:2514]	27	0.7286320924758911	0.3205389	Yes	
row_5	LMNA	lamin A/C [Source:HGNC Symbol;Acc:HGNC:6636]	43	0.6165744662284851	0.3429555	Yes	
row_6	TSPO	translocator protein [Source:HGNC Symbol;Acc:HGNC:1158]	51	0.5812650322914124	0.37372532	Yes	
row_7	CD44	CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681]	58	0.5619633793830872	0.40450922	Yes	
row_8	SAT1	spermidine/spermine N1-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10540]	59	0.5569945573806763	0.4430465	Yes	
row_9	GPX1	glutathione peroxidase 1 [Source:HGNC Symbol;Acc:HGNC:4553]	66	0.5342736840248108	0.47191462	Yes	
row_10	GSR	glutathione-disulfide reductase [Source:HGNC Symbol;Acc:HGNC:4623]	90	0.4816640615463257	0.47420084	Yes	
row_11	APP	amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]	97	0.4662449061870575	0.49836218	Yes	
row_12	SOD1	superoxide dismutase 1 [Source:HGNC Symbol;Acc:HGNC:11179]	120	0.44357559084892273	0.49936265	Yes	
row_13	GCH1	GTP cyclohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:4193]	125	0.43810585141181946	0.52427614	Yes	
row_14	KRT18	keratin 18 [Source:HGNC Symbol;Acc:HGNC:6430]	148	0.40142855048179626	0.52236056	No	
row_15	PLAT	plasminogen activator, tissue type [Source:HGNC Symbol;Acc:HGNC:9051]	231	0.3140313923358917	0.43342647	No	
row_16	TNFRSF12A	TNF receptor superfamily member 12A [Source:HGNC Symbol;Acc:HGNC:18152]	261	0.29406967759132385	0.41463622	No	
row_17	IER3	immediate early response 3 [Source:HGNC Symbol;Acc:HGNC:5392]	318	0.25861456990242004	0.3569557	No	
row_18	GSTM1	glutathione S-transferase mu 1 [Source:HGNC Symbol;Acc:HGNC:4632]	363	-0.25750473141670227	0.3153927	No	
row_19	BCAP31	B cell receptor associated protein 31 [Source:HGNC Symbol;Acc:HGNC:16695]	408	-0.2780051529407501	0.27524808	No	
row_20	PDCD4	programmed cell death 4 [Source:HGNC Symbol;Acc:HGNC:8763]	419	-0.2837854027748108	0.28138733	No	
row_21	EBP	EBP cholestenol delta-isomerase [Source:HGNC Symbol;Acc:HGNC:3133]	455	-0.29833024740219116	0.25479472	No	
row_22	BTG2	BTG anti-proliferation factor 2 [Source:HGNC Symbol;Acc:HGNC:1131]	456	-0.2984066605567932	0.27544084	No	
row_23	CASP6	caspase 6 [Source:HGNC Symbol;Acc:HGNC:1507]	485	-0.3128769099712372	0.25930136	No	
row_24	IL18	interleukin 18 [Source:HGNC Symbol;Acc:HGNC:5986]	499	-0.320738285779953	0.2639487	No	
row_25	CASP1	caspase 1 [Source:HGNC Symbol;Acc:HGNC:1499]	601	-0.4244210422039032	0.15701124	No	
row_26	IFITM3	interferon induced transmembrane protein 3 [Source:HGNC Symbol;Acc:HGNC:5414]	627	-0.47284606099128723	0.15598828	No	
row_27	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	630	-0.47617611289024353	0.18623486	No	
