NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EIF4G2	eukaryotic translation initiation factor 4 gamma 2 [Source:HGNC Symbol;Acc:HGNC:3297]	46	0.5970147848129272	0.0010202336	Yes	
row_1	HNRNPA3	heterogeneous nuclear ribonucleoprotein A3 [Source:HGNC Symbol;Acc:HGNC:24941]	54	0.5767353773117065	0.052392717	Yes	
row_2	SNRPG	small nuclear ribonucleoprotein polypeptide G [Source:HGNC Symbol;Acc:HGNC:11163]	96	0.46854397654533386	0.046600305	Yes	
row_3	PGK1	phosphoglycerate kinase 1 [Source:HGNC Symbol;Acc:HGNC:8896]	99	0.4636472165584564	0.092781626	Yes	
row_4	PTGES3	prostaglandin E synthase 3 [Source:HGNC Symbol;Acc:HGNC:16049]	105	0.45866790413856506	0.1344004	Yes	
row_5	EIF2S2	eukaryotic translation initiation factor 2 subunit beta [Source:HGNC Symbol;Acc:HGNC:3266]	117	0.44433629512786865	0.1664331	Yes	
row_6	PCBP1	poly(rC) binding protein 1 [Source:HGNC Symbol;Acc:HGNC:8647]	153	0.3952089846134186	0.1609858	Yes	
row_7	IFRD1	interferon related developmental regulator 1 [Source:HGNC Symbol;Acc:HGNC:5456]	168	0.3726617097854614	0.18142559	Yes	
row_8	EIF3B	eukaryotic translation initiation factor 3 subunit B [Source:HGNC Symbol;Acc:HGNC:3280]	216	0.3283242881298065	0.15277722	Yes	
row_9	NAP1L1	nucleosome assembly protein 1 like 1 [Source:HGNC Symbol;Acc:HGNC:7637]	226	0.3189855217933655	0.17428848	Yes	
row_10	LSM7	LSM7 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:20470]	264	0.29098084568977356	0.15516269	Yes	
row_11	PABPC4	poly(A) binding protein cytoplasmic 4 [Source:HGNC Symbol;Acc:HGNC:8557]	288	0.27486884593963623	0.15318108	Yes	
row_12	NME1	NME/NM23 nucleoside diphosphate kinase 1 [Source:HGNC Symbol;Acc:HGNC:7849]	328	0.25545382499694824	0.12761858	Yes	
row_13	RPS6	ribosomal protein S6 [Source:HGNC Symbol;Acc:HGNC:10429]	369	-0.261263370513916	0.10132259	Yes	
row_14	HSP90AB1	heat shock protein 90 alpha family class B member 1 [Source:HGNC Symbol;Acc:HGNC:5258]	381	-0.26613056659698486	0.1145706	Yes	
row_15	RACK1	receptor for activated C kinase 1 [Source:HGNC Symbol;Acc:HGNC:4399]	403	-0.275566965341568	0.11535436	Yes	
row_16	RPL14	ribosomal protein L14 [Source:HGNC Symbol;Acc:HGNC:10305]	404	-0.275900274515152	0.14443704	Yes	
row_17	CYC1	cytochrome c1 [Source:HGNC Symbol;Acc:HGNC:2579]	453	-0.29723429679870605	0.11116559	Yes	
row_18	PSMA2	proteasome 20S subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:9531]	475	-0.3064170181751251	0.11520125	Yes	
row_19	PHB2	prohibitin 2 [Source:HGNC Symbol;Acc:HGNC:30306]	486	-0.312918484210968	0.13472708	Yes	
row_20	EEF1B2	eukaryotic translation elongation factor 1 beta 2 [Source:HGNC Symbol;Acc:HGNC:3208]	497	-0.32006916403770447	0.15500666	Yes	
row_21	PSMB2	proteasome 20S subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:9539]	548	-0.36536866426467896	0.12622547	Yes	
row_22	RPLP0	ribosomal protein lateral stalk subunit P0 [Source:HGNC Symbol;Acc:HGNC:10371]	556	-0.37142419815063477	0.15595607	Yes	
row_23	PSMA4	proteasome 20S subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:9533]	577	-0.3874157965183258	0.16987573	Yes	
row_24	SLC25A3	solute carrier family 25 member 3 [Source:HGNC Symbol;Acc:HGNC:10989]	580	-0.3929939866065979	0.20860948	Yes	
row_25	RPS3	ribosomal protein S3 [Source:HGNC Symbol;Acc:HGNC:10420]	589	-0.40862247347831726	0.24091527	Yes	
