NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UQCR11	ubiquinol-cytochrome c reductase, complex III subunit XI [Source:HGNC Symbol;Acc:HGNC:30862]	86	0.48772773146629333	-0.09591625	No	
row_1	HSPA9	heat shock protein family A (Hsp70) member 9 [Source:HGNC Symbol;Acc:HGNC:5244]	129	0.4292227625846863	-0.13334794	No	
row_2	COX7C	cytochrome c oxidase subunit 7C [Source:HGNC Symbol;Acc:HGNC:2292]	133	0.42079755663871765	-0.116801396	No	
row_3	ATP5F1E	ATP synthase F1 subunit epsilon [Source:HGNC Symbol;Acc:HGNC:838]	152	0.3967072069644928	-0.122362174	No	
row_4	IDH1	isocitrate dehydrogenase (NADP(+)) 1 [Source:HGNC Symbol;Acc:HGNC:5382]	160	0.38597342371940613	-0.11311004	No	
row_5	ATP5ME	ATP synthase membrane subunit e [Source:HGNC Symbol;Acc:HGNC:846]	189	0.3497360050678253	-0.13493186	No	
row_6	POR	cytochrome p450 oxidoreductase [Source:HGNC Symbol;Acc:HGNC:9208]	210	0.33342283964157104	-0.14639975	No	
row_7	NDUFA3	NADH:ubiquinone oxidoreductase subunit A3 [Source:HGNC Symbol;Acc:HGNC:7686]	213	0.3300606310367584	-0.13292867	No	
row_8	UQCR10	ubiquinol-cytochrome c reductase, complex III subunit X [Source:HGNC Symbol;Acc:HGNC:30863]	215	0.3289731442928314	-0.118116476	No	
row_9	NDUFA2	NADH:ubiquinone oxidoreductase subunit A2 [Source:HGNC Symbol;Acc:HGNC:7685]	229	0.3151789903640747	-0.120720245	No	
row_10	ATP5MC3	ATP synthase membrane subunit c locus 3 [Source:HGNC Symbol;Acc:HGNC:843]	253	0.3009689152240753	-0.13797107	No	
row_11	COX17	cytochrome c oxidase copper chaperone COX17 [Source:HGNC Symbol;Acc:HGNC:2264]	265	0.2902754545211792	-0.13901232	No	
row_12	DECR1	2,4-dienoyl-CoA reductase 1 [Source:HGNC Symbol;Acc:HGNC:2753]	351	-0.25323325395584106	-0.24508627	No	
row_13	CYB5R3	cytochrome b5 reductase 3 [Source:HGNC Symbol;Acc:HGNC:2873]	362	-0.2570410966873169	-0.2463701	Yes	
row_14	ATP1B1	ATPase Na+/K+ transporting subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:804]	365	-0.25856655836105347	-0.2364212	Yes	
row_15	NDUFB8	NADH:ubiquinone oxidoreductase subunit B8 [Source:HGNC Symbol;Acc:HGNC:7703]	367	-0.2595989406108856	-0.22502673	Yes	
row_16	ATP5PF	ATP synthase peripheral stalk subunit F6 [Source:HGNC Symbol;Acc:HGNC:847]	375	-0.2641719579696655	-0.22177516	Yes	
row_17	SLC25A11	solute carrier family 25 member 11 [Source:HGNC Symbol;Acc:HGNC:10981]	377	-0.2645299732685089	-0.21013775	Yes	
row_18	NDUFS7	NADH:ubiquinone oxidoreductase core subunit S7 [Source:HGNC Symbol;Acc:HGNC:7714]	385	-0.2664353847503662	-0.20677468	Yes	
row_19	IDH3B	isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:5385]	392	-0.26882895827293396	-0.20189899	Yes	
row_20	ACAA1	acetyl-CoA acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:82]	405	-0.275907963514328	-0.20504276	Yes	
row_21	FH	fumarate hydratase [Source:HGNC Symbol;Acc:HGNC:3700]	407	-0.277224063873291	-0.19277999	Yes	
row_22	HSD17B10	hydroxysteroid 17-beta dehydrogenase 10 [Source:HGNC Symbol;Acc:HGNC:4800]	421	-0.2841920256614685	-0.19691034	Yes	
row_23	CYC1	cytochrome c1 [Source:HGNC Symbol;Acc:HGNC:2579]	453	-0.29723429679870605	-0.22550274	Yes	
row_24	NDUFA8	NADH:ubiquinone oxidoreductase subunit A8 [Source:HGNC Symbol;Acc:HGNC:7692]	454	-0.2976175844669342	-0.21084058	Yes	
row_25	NDUFB5	NADH:ubiquinone oxidoreductase subunit B5 [Source:HGNC Symbol;Acc:HGNC:7700]	457	-0.29884418845176697	-0.19890739	Yes	
row_26	COX4I1	cytochrome c oxidase subunit 4I1 [Source:HGNC Symbol;Acc:HGNC:2265]	461	-0.3006324768066406	-0.18828079	Yes	
