NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AREG	amphiregulin [Source:HGNC Symbol;Acc:HGNC:651]	11	1.0183526277542114	0.09388928	Yes	
row_1	PHLDA1	pleckstrin homology like domain family A member 1 [Source:HGNC Symbol;Acc:HGNC:8933]	25	0.7318364977836609	0.15456033	Yes	
row_2	PMEPA1	prostate transmembrane protein, androgen induced 1 [Source:HGNC Symbol;Acc:HGNC:14107]	26	0.7293991446495056	0.23232798	Yes	
row_3	F3	coagulation factor III, tissue factor [Source:HGNC Symbol;Acc:HGNC:3541]	29	0.7270906567573547	0.30717927	Yes	
row_4	CD44	CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681]	58	0.5619633793830872	0.32971197	Yes	
row_5	SAT1	spermidine/spermine N1-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10540]	59	0.5569945573806763	0.38909805	Yes	
row_6	PLAUR	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]	121	0.44230976700782776	0.35481465	Yes	
row_7	GCH1	GTP cyclohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:4193]	125	0.43810585141181946	0.39751962	Yes	
row_8	MARCKS	myristoylated alanine rich protein kinase C substrate [Source:HGNC Symbol;Acc:HGNC:6759]	128	0.43441522121429443	0.44116622	Yes	
row_9	BHLHE40	basic helix-loop-helix family member e40 [Source:HGNC Symbol;Acc:HGNC:1046]	155	0.39408618211746216	0.44847026	Yes	
row_10	KLF6	Kruppel like factor 6 [Source:HGNC Symbol;Acc:HGNC:2235]	196	0.34194743633270264	0.43152374	No	
row_11	HES1	hes family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:5192]	236	0.31269019842147827	0.41279298	No	
row_12	IER3	immediate early response 3 [Source:HGNC Symbol;Acc:HGNC:5392]	318	0.25861456990242004	0.33222196	No	
row_13	FOS	Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]	400	-0.2729761004447937	0.25318214	No	
row_14	BTG2	BTG anti-proliferation factor 2 [Source:HGNC Symbol;Acc:HGNC:1131]	456	-0.2984066605567932	0.21156664	No	
row_15	IER2	immediate early response 2 [Source:HGNC Symbol;Acc:HGNC:28871]	491	-0.3156209886074066	0.19982392	No	
row_16	IL18	interleukin 18 [Source:HGNC Symbol;Acc:HGNC:5986]	499	-0.320738285779953	0.22467485	No	
row_17	FOSB	FosB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3797]	524	-0.34593603014945984	0.2295154	No	
row_18	KLF4	Kruppel like factor 4 [Source:HGNC Symbol;Acc:HGNC:6348]	586	-0.4015501141548157	0.19088627	No	
row_19	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	630	-0.47617611289024353	0.1842457	No	
