NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GPX2	glutathione peroxidase 2 [Source:HGNC Symbol;Acc:HGNC:4554]	14	1.3460278511047363	0.0391645	No	
row_1	CSTB	cystatin B [Source:HGNC Symbol;Acc:HGNC:2482]	381	0.3745793104171753	-0.24433011	No	
row_2	SDC1	syndecan 1 [Source:HGNC Symbol;Acc:HGNC:10658]	387	0.37059035897254944	-0.23447858	No	
row_3	NFIB	nuclear factor I B [Source:HGNC Symbol;Acc:HGNC:7785]	578	0.27903813123703003	-0.37847155	No	
row_4	CD81	CD81 molecule [Source:HGNC Symbol;Acc:HGNC:1701]	610	0.27105283737182617	-0.39349613	No	
row_5	IDH3A	isocitrate dehydrogenase (NAD(+)) 3 catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:5384]	618	0.2662072777748108	-0.38919044	No	
row_6	AGL	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase [Source:HGNC Symbol;Acc:HGNC:321]	638	0.26108723878860474	-0.39483315	No	
row_7	ATOX1	antioxidant 1 copper chaperone [Source:HGNC Symbol;Acc:HGNC:798]	641	0.2604807913303375	-0.38667747	No	
row_8	BLVRB	biliverdin reductase B [Source:HGNC Symbol;Acc:HGNC:1063]	650	0.25917306542396545	-0.38344896	No	
row_9	GOT2	glutamic-oxaloacetic transaminase 2 [Source:HGNC Symbol;Acc:HGNC:4433]	653	0.25883540511131287	-0.37535506	No	
row_10	TINAGL1	tubulointerstitial nephritis antigen like 1 [Source:HGNC Symbol;Acc:HGNC:19168]	662	0.25586840510368347	-0.37225065	No	
row_11	ISG15	ISG15 ubiquitin like modifier [Source:HGNC Symbol;Acc:HGNC:4053]	694	-0.25390058755874634	-0.38791934	No	
row_12	MSMO1	methylsterol monooxygenase 1 [Source:HGNC Symbol;Acc:HGNC:10545]	710	-0.25897055864334106	-0.39038947	No	
row_13	ALDH4A1	aldehyde dehydrogenase 4 family member A1 [Source:HGNC Symbol;Acc:HGNC:406]	762	-0.2749358117580414	-0.42152837	No	
row_14	RHOB	ras homolog family member B [Source:HGNC Symbol;Acc:HGNC:668]	766	-0.2765064537525177	-0.41358393	No	
row_15	LPIN2	lipin 2 [Source:HGNC Symbol;Acc:HGNC:14450]	774	-0.2803380489349365	-0.4087476	No	
row_16	MGST2	microsomal glutathione S-transferase 2 [Source:HGNC Symbol;Acc:HGNC:7063]	782	-0.28684794902801514	-0.40366682	No	
row_17	PKLR	pyruvate kinase L/R [Source:HGNC Symbol;Acc:HGNC:9020]	895	-0.35259172320365906	-0.48148304	No	
row_18	ABHD2	abhydrolase domain containing 2, acylglycerol lipase [Source:HGNC Symbol;Acc:HGNC:18717]	900	-0.35513100028038025	-0.47139907	No	
row_19	SLCO2A1	solute carrier organic anion transporter family member 2A1 [Source:HGNC Symbol;Acc:HGNC:10955]	924	-0.3782690763473511	-0.47589332	No	
row_20	ALDH1A1	aldehyde dehydrogenase 1 family member A1 [Source:HGNC Symbol;Acc:HGNC:402]	964	-0.40646785497665405	-0.49233678	No	
row_21	CAT	catalase [Source:HGNC Symbol;Acc:HGNC:1516]	1010	-0.4575786292552948	-0.51173896	No	
row_22	IQGAP2	IQ motif containing GTPase activating protein 2 [Source:HGNC Symbol;Acc:HGNC:6111]	1089	-0.5797886252403259	-0.55338115	Yes	
row_23	TOB1	transducer of ERBB2, 1 [Source:HGNC Symbol;Acc:HGNC:11979]	1090	-0.5846691727638245	-0.53142536	Yes	
row_24	GCHFR	GTP cyclohydrolase I feedback regulator [Source:HGNC Symbol;Acc:HGNC:4194]	1109	-0.632881760597229	-0.52229327	Yes	
row_25	CYP2J2	cytochrome P450 family 2 subfamily J member 2 [Source:HGNC Symbol;Acc:HGNC:2634]	1110	-0.6333218216896057	-0.4985105	Yes	
row_26	SLC2A2	solute carrier family 2 member 2 [Source:HGNC Symbol;Acc:HGNC:11006]	1126	-0.6852066516876221	-0.48497444	Yes	
row_27	PGRMC1	progesterone receptor membrane component 1 [Source:HGNC Symbol;Acc:HGNC:16090]	1128	-0.6904101967811584	-0.45986086	Yes	
row_28	CGREF1	cell growth regulator with EF-hand domain 1 [Source:HGNC Symbol;Acc:HGNC:16962]	1139	-0.7320263981819153	-0.4405016	Yes	
row_29	HADH	hydroxyacyl-CoA dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4799]	1140	-0.735589861869812	-0.4128784	Yes	
row_30	TMBIM6	transmembrane BAX inhibitor motif containing 6 [Source:HGNC Symbol;Acc:HGNC:11723]	1142	-0.7428931593894958	-0.38579398	Yes	
row_31	PCK1	phosphoenolpyruvate carboxykinase 1 [Source:HGNC Symbol;Acc:HGNC:8724]	1151	-0.7642478346824646	-0.36359867	Yes	
row_32	GPT	glutamic--pyruvic transaminase [Source:HGNC Symbol;Acc:HGNC:4552]	1157	-0.7762855291366577	-0.3385123	Yes	
row_33	AOC1	amine oxidase copper containing 1 [Source:HGNC Symbol;Acc:HGNC:80]	1167	-0.8074677586555481	-0.315507	Yes	
row_34	CYB5A	cytochrome b5 type A [Source:HGNC Symbol;Acc:HGNC:2570]	1169	-0.8133570551872253	-0.28577647	Yes	
row_35	ACOX1	acyl-CoA oxidase 1 [Source:HGNC Symbol;Acc:HGNC:119]	1179	-0.8377947807312012	-0.26163232	Yes	
row_36	MAOA	monoamine oxidase A [Source:HGNC Symbol;Acc:HGNC:6833]	1195	-0.9478849768638611	-0.23823206	Yes	
row_37	MME	membrane metalloendopeptidase [Source:HGNC Symbol;Acc:HGNC:7154]	1201	-0.9800930023193359	-0.20549223	Yes	
row_38	ALDOB	aldolase, fructose-bisphosphate B [Source:HGNC Symbol;Acc:HGNC:417]	1233	-1.2944633960723877	-0.18208523	Yes	
row_39	APOA1	apolipoprotein A1 [Source:HGNC Symbol;Acc:HGNC:600]	1266	-2.727443218231201	-0.10567938	Yes	
