NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	METAP2	methionyl aminopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:16672]	148	0.7092140316963196	-0.07607791	No	
row_1	AKR1B10	aldo-keto reductase family 1 member B10 [Source:HGNC Symbol;Acc:HGNC:382]	269	0.4620147943496704	-0.14443217	No	
row_2	SDC1	syndecan 1 [Source:HGNC Symbol;Acc:HGNC:10658]	387	0.37059035897254944	-0.21579091	No	
row_3	RBP1	retinol binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9919]	441	0.33832940459251404	-0.23805733	No	
row_4	RDH10	retinol dehydrogenase 10 [Source:HGNC Symbol;Acc:HGNC:19975]	479	0.3195706307888031	-0.2486817	No	
row_5	SDC4	syndecan 4 [Source:HGNC Symbol;Acc:HGNC:10661]	538	0.29445430636405945	-0.27752122	No	
row_6	RDH16	retinol dehydrogenase 16 [Source:HGNC Symbol;Acc:HGNC:29674]	824	-0.30542370676994324	-0.48658997	No	
row_7	APOE	apolipoprotein E [Source:HGNC Symbol;Acc:HGNC:613]	1005	-0.4446200132369995	-0.60377944	No	
row_8	PLB1	phospholipase B1 [Source:HGNC Symbol;Acc:HGNC:30041]	1115	-0.662757933139801	-0.651523	Yes	
row_9	CALM1	calmodulin 1 [Source:HGNC Symbol;Acc:HGNC:1442]	1132	-0.7100363969802856	-0.6223731	Yes	
row_10	CYP4V2	cytochrome P450 family 4 subfamily V member 2 [Source:HGNC Symbol;Acc:HGNC:23198]	1196	-0.9478849768638611	-0.61663806	Yes	
row_11	APOB	apolipoprotein B [Source:HGNC Symbol;Acc:HGNC:603]	1252	-1.6867952346801758	-0.5609258	Yes	
row_12	RBP2	retinol binding protein 2 [Source:HGNC Symbol;Acc:HGNC:9920]	1253	-1.6917424201965332	-0.46109688	Yes	
row_13	APOA4	apolipoprotein A4 [Source:HGNC Symbol;Acc:HGNC:602]	1262	-2.3588438034057617	-0.32827717	Yes	
row_14	APOA1	apolipoprotein A1 [Source:HGNC Symbol;Acc:HGNC:600]	1266	-2.727443218231201	-0.1697225	Yes	
row_15	APOC3	apolipoprotein C3 [Source:HGNC Symbol;Acc:HGNC:610]	1268	-2.9166970252990723	0.0015935712	Yes	
