NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GSTA1	glutathione S-transferase alpha 1 [Source:HGNC Symbol;Acc:HGNC:4626]	83	0.944245457649231	-0.052260436	No	
row_1	AKR1B10	aldo-keto reductase family 1 member B10 [Source:HGNC Symbol;Acc:HGNC:382]	269	0.4620147943496704	-0.19926813	No	
row_2	BASP1	brain abundant membrane attached signal protein 1 [Source:HGNC Symbol;Acc:HGNC:957]	277	0.4525924623012543	-0.19674529	No	
row_3	AGR2	anterior gradient 2, protein disulphide isomerase family member [Source:HGNC Symbol;Acc:HGNC:328]	373	0.381974995136261	-0.26954645	No	
row_4	NFIA	nuclear factor I A [Source:HGNC Symbol;Acc:HGNC:7784]	511	0.3051337003707886	-0.37909928	No	
row_5	LDB3	LIM domain binding 3 [Source:HGNC Symbol;Acc:HGNC:15710]	697	-0.2559233605861664	-0.5299366	No	
row_6	RHOC	ras homolog family member C [Source:HGNC Symbol;Acc:HGNC:669]	698	-0.2564958333969116	-0.5251703	No	
row_7	DDHD2	DDHD domain containing 2 [Source:HGNC Symbol;Acc:HGNC:29106]	701	-0.25730910897254944	-0.52207106	No	
row_8	HLA-E	major histocompatibility complex, class I, E [Source:HGNC Symbol;Acc:HGNC:4962]	703	-0.25807103514671326	-0.5181166	No	
row_9	HAGH	hydroxyacylglutathione hydrolase [Source:HGNC Symbol;Acc:HGNC:4805]	752	-0.27164173126220703	-0.55343896	No	
row_10	ABR	ABR activator of RhoGEF and GTPase [Source:HGNC Symbol;Acc:HGNC:81]	756	-0.2720566689968109	-0.5509067	No	
row_11	ABCD1	ATP binding cassette subfamily D member 1 [Source:HGNC Symbol;Acc:HGNC:61]	765	-0.27601656317710876	-0.552506	No	
row_12	MGST2	microsomal glutathione S-transferase 2 [Source:HGNC Symbol;Acc:HGNC:7063]	782	-0.28684794902801514	-0.56063247	No	
row_13	JAK2	Janus kinase 2 [Source:HGNC Symbol;Acc:HGNC:6192]	784	-0.28793269395828247	-0.55612314	No	
