NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CLU	clusterin [Source:HGNC Symbol;Acc:HGNC:2095]	44	1.1072791814804077	-0.003451942	No	
row_1	GSTA1	glutathione S-transferase alpha 1 [Source:HGNC Symbol;Acc:HGNC:4626]	83	0.944245457649231	-0.006782431	No	
row_2	GSTA3	glutathione S-transferase alpha 3 [Source:HGNC Symbol;Acc:HGNC:4628]	375	0.37815016508102417	-0.23106028	No	
row_3	NR3C1	nuclear receptor subfamily 3 group C member 1 [Source:HGNC Symbol;Acc:HGNC:7978]	687	-0.25131332874298096	-0.47518533	No	
row_4	LDB3	LIM domain binding 3 [Source:HGNC Symbol;Acc:HGNC:15710]	697	-0.2559233605861664	-0.47503763	No	
row_5	BNIP3	BCL2 interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:1084]	705	-0.25848570466041565	-0.4731988	No	
row_6	ELL2	elongation factor for RNA polymerase II 2 [Source:HGNC Symbol;Acc:HGNC:17064]	714	-0.26024314761161804	-0.4721174	No	
row_7	CITED2	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2 [Source:HGNC Symbol;Acc:HGNC:1987]	749	-0.2708832621574402	-0.49174595	No	
row_8	CYP2C19	cytochrome P450 family 2 subfamily C member 19 [Source:HGNC Symbol;Acc:HGNC:2621]	758	-0.2726186513900757	-0.49030557	No	
row_9	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide [Source:HGNC Symbol;Acc:HGNC:250]	828	-0.3087038993835449	-0.53713137	No	
row_10	CPE	carboxypeptidase E [Source:HGNC Symbol;Acc:HGNC:2303]	869	-0.3360442817211151	-0.5597203	No	
row_11	ERBIN	erbb2 interacting protein [Source:HGNC Symbol;Acc:HGNC:15842]	937	-0.39321112632751465	-0.60247797	No	
row_12	ALDH1A1	aldehyde dehydrogenase 1 family member A1 [Source:HGNC Symbol;Acc:HGNC:402]	964	-0.40646785497665405	-0.6117065	No	
row_13	SMLR1	small leucine rich protein 1 [Source:HGNC Symbol;Acc:HGNC:44670]	977	-0.41390329599380493	-0.6094016	No	
row_14	TSC22D3	TSC22 domain family member 3 [Source:HGNC Symbol;Acc:HGNC:3051]	1009	-0.45608267188072205	-0.621233	No	
row_15	SLC28A2	solute carrier family 28 member 2 [Source:HGNC Symbol;Acc:HGNC:11002]	1046	-0.4984593689441681	-0.63587725	No	
row_16	SLC2A2	solute carrier family 2 member 2 [Source:HGNC Symbol;Acc:HGNC:11006]	1126	-0.6852066516876221	-0.6798662	No	
row_17	FMO5	flavin containing dimethylaniline monoxygenase 5 [Source:HGNC Symbol;Acc:HGNC:3773]	1165	-0.806075394153595	-0.6872045	Yes	
row_18	HPGD	15-hydroxyprostaglandin dehydrogenase [Source:HGNC Symbol;Acc:HGNC:5154]	1181	-0.8437060117721558	-0.67485785	Yes	
row_19	ASPA	aspartoacylase [Source:HGNC Symbol;Acc:HGNC:756]	1189	-0.9151434898376465	-0.65397185	Yes	
row_20	MAOA	monoamine oxidase A [Source:HGNC Symbol;Acc:HGNC:6833]	1195	-0.9478849768638611	-0.63051933	Yes	
row_21	SULT1B1	sulfotransferase family 1B member 1 [Source:HGNC Symbol;Acc:HGNC:17845]	1214	-1.08074152469635	-0.61372244	Yes	
row_22	MAF	MAF bZIP transcription factor [Source:HGNC Symbol;Acc:HGNC:6776]	1222	-1.1567543745040894	-0.5858282	Yes	
row_23	MEP1B	meprin A subunit beta [Source:HGNC Symbol;Acc:HGNC:7020]	1228	-1.2365025281906128	-0.55400395	Yes	
row_24	ADA	adenosine deaminase [Source:HGNC Symbol;Acc:HGNC:186]	1244	-1.5328856706619263	-0.5216669	Yes	
row_25	SLC51A	solute carrier family 51 subunit alpha [Source:HGNC Symbol;Acc:HGNC:29955]	1246	-1.5922664403915405	-0.47628963	Yes	
row_26	ACE2	angiotensin I converting enzyme 2 [Source:HGNC Symbol;Acc:HGNC:13557]	1249	-1.6108580827713013	-0.43118155	Yes	
row_27	CYP3A4	cytochrome P450 family 3 subfamily A member 4 [Source:HGNC Symbol;Acc:HGNC:2637]	1251	-1.619191288948059	-0.38502333	Yes	
row_28	RBP2	retinol binding protein 2 [Source:HGNC Symbol;Acc:HGNC:9920]	1253	-1.6917424201965332	-0.33676067	Yes	
row_29	SLC15A1	solute carrier family 15 member 1 [Source:HGNC Symbol;Acc:HGNC:10920]	1254	-1.7016215324401855	-0.28740305	Yes	
row_30	MTTP	microsomal triglyceride transfer protein [Source:HGNC Symbol;Acc:HGNC:7467]	1256	-1.7194935083389282	-0.23833545	Yes	
row_31	APOA1	apolipoprotein A1 [Source:HGNC Symbol;Acc:HGNC:600]	1266	-2.727443218231201	-0.16649829	Yes	
row_32	SELENOP	selenoprotein P [Source:HGNC Symbol;Acc:HGNC:10751]	1267	-2.879131317138672	-0.082985565	Yes	
row_33	APOC3	apolipoprotein C3 [Source:HGNC Symbol;Acc:HGNC:610]	1268	-2.9166970252990723	0.0016167954	Yes	
