NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GPX1	glutathione peroxidase 1 [Source:HGNC Symbol;Acc:HGNC:4553]	72	0.9862943887710571	-0.03321038	No	
row_1	MBOAT1	membrane bound O-acyltransferase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21579]	214	0.5516892075538635	-0.13421428	No	
row_2	BTC	betacellulin [Source:HGNC Symbol;Acc:HGNC:1121]	245	0.49593114852905273	-0.14583692	No	
row_3	FABP5	fatty acid binding protein 5 [Source:HGNC Symbol;Acc:HGNC:3560]	266	0.4659968614578247	-0.15005654	No	
row_4	PLAUR	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]	267	0.46598249673843384	-0.13790992	No	
row_5	PGAP1	post-GPI attachment to proteins inositol deacylase 1 [Source:HGNC Symbol;Acc:HGNC:25712]	303	0.42935240268707275	-0.1553597	No	
row_6	FAR1	fatty acyl-CoA reductase 1 [Source:HGNC Symbol;Acc:HGNC:26222]	354	0.3969111442565918	-0.18593007	No	
row_7	DPM3	dolichyl-phosphate mannosyltransferase subunit 3, regulatory [Source:HGNC Symbol;Acc:HGNC:3007]	402	0.36151760816574097	-0.21496806	No	
row_8	PGAP2	post-GPI attachment to proteins 2 [Source:HGNC Symbol;Acc:HGNC:17893]	493	0.31285491585731506	-0.2804627	No	
row_9	CPNE3	copine 3 [Source:HGNC Symbol;Acc:HGNC:2316]	499	0.31002166867256165	-0.27647313	No	
row_10	KITLG	KIT ligand [Source:HGNC Symbol;Acc:HGNC:6343]	623	0.265450119972229	-0.37020838	No	
row_11	DDHD2	DDHD domain containing 2 [Source:HGNC Symbol;Acc:HGNC:29106]	701	-0.25730910897254944	-0.42651266	No	
row_12	SERINC3	serine incorporator 3 [Source:HGNC Symbol;Acc:HGNC:11699]	741	-0.26817986369132996	-0.451437	No	
row_13	BPNT1	3'(2'), 5'-bisphosphate nucleotidase 1 [Source:HGNC Symbol;Acc:HGNC:1096]	744	-0.2688548266887665	-0.4460655	No	
row_14	LPIN2	lipin 2 [Source:HGNC Symbol;Acc:HGNC:14450]	774	-0.2803380489349365	-0.4624896	No	
row_15	ETNK1	ethanolamine kinase 1 [Source:HGNC Symbol;Acc:HGNC:24649]	794	-0.29187196493148804	-0.47042975	No	
row_16	PLBD1	phospholipase B domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26215]	804	-0.2963722050189972	-0.4700693	No	
row_17	MTMR4	myotubularin related protein 4 [Source:HGNC Symbol;Acc:HGNC:7452]	816	-0.30156946182250977	-0.47121	No	
row_18	IRS2	insulin receptor substrate 2 [Source:HGNC Symbol;Acc:HGNC:6126]	826	-0.30751803517341614	-0.470559	No	
row_19	ABHD6	abhydrolase domain containing 6, acylglycerol lipase [Source:HGNC Symbol;Acc:HGNC:21398]	861	-0.3343585729598999	-0.4896666	No	
row_20	SLC44A4	solute carrier family 44 member 4 [Source:HGNC Symbol;Acc:HGNC:13941]	864	-0.33511897921562195	-0.48256785	No	
row_21	CDS1	CDP-diacylglycerol synthase 1 [Source:HGNC Symbol;Acc:HGNC:1800]	867	-0.3358948528766632	-0.47544885	No	
row_22	ABHD2	abhydrolase domain containing 2, acylglycerol lipase [Source:HGNC Symbol;Acc:HGNC:18717]	900	-0.35513100028038025	-0.49237832	No	
row_23	PCYT1A	phosphate cytidylyltransferase 1, choline, alpha [Source:HGNC Symbol;Acc:HGNC:8754]	941	-0.3953559100627899	-0.5148059	Yes	
row_24	DBI	diazepam binding inhibitor, acyl-CoA binding protein [Source:HGNC Symbol;Acc:HGNC:2690]	950	-0.3987870514392853	-0.51095754	Yes	
row_25	LPCAT3	lysophosphatidylcholine acyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:30244]	956	-0.4016794264316559	-0.5045787	Yes	
row_26	LPGAT1	lysophosphatidylglycerol acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:28985]	967	-0.4083123505115509	-0.5021187	Yes	
row_27	AGPAT2	1-acylglycerol-3-phosphate O-acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:325]	968	-0.4084446132183075	-0.4914719	Yes	
row_28	ERBB3	erb-b2 receptor tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:3431]	981	-0.4166356027126312	-0.49043155	Yes	
row_29	APOE	apolipoprotein E [Source:HGNC Symbol;Acc:HGNC:613]	1005	-0.4446200132369995	-0.49766338	Yes	
row_30	CAT	catalase [Source:HGNC Symbol;Acc:HGNC:1516]	1010	-0.4575786292552948	-0.48900914	Yes	
row_31	PCYT2	phosphate cytidylyltransferase 2, ethanolamine [Source:HGNC Symbol;Acc:HGNC:8756]	1011	-0.4582902193069458	-0.47706303	Yes	
row_32	DGAT2	diacylglycerol O-acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:16940]	1050	-0.5060001015663147	-0.49496984	Yes	
row_33	GPD1	glycerol-3-phosphate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:4455]	1051	-0.5062508583068848	-0.48177359	Yes	
row_34	HBEGF	heparin binding EGF like growth factor [Source:HGNC Symbol;Acc:HGNC:3059]	1058	-0.5173751711845398	-0.4731973	Yes	
row_35	AGMO	alkylglycerol monooxygenase [Source:HGNC Symbol;Acc:HGNC:33784]	1069	-0.534004807472229	-0.46746087	Yes	
row_36	MOGAT2	monoacylglycerol O-acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:23248]	1103	-0.6136521697044373	-0.4784699	Yes	
row_37	PLB1	phospholipase B1 [Source:HGNC Symbol;Acc:HGNC:30041]	1115	-0.662757933139801	-0.47019565	Yes	
row_38	CHKA	choline kinase alpha [Source:HGNC Symbol;Acc:HGNC:1937]	1124	-0.6817723512649536	-0.45897073	Yes	
row_39	PCK1	phosphoenolpyruvate carboxykinase 1 [Source:HGNC Symbol;Acc:HGNC:8724]	1151	-0.7642478346824646	-0.46032593	Yes	
row_40	GK	glycerol kinase [Source:HGNC Symbol;Acc:HGNC:4289]	1191	-0.9307053089141846	-0.4679804	Yes	
row_41	DGAT1	diacylglycerol O-acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:2843]	1224	-1.1827552318572998	-0.4633365	Yes	
row_42	APOB	apolipoprotein B [Source:HGNC Symbol;Acc:HGNC:603]	1252	-1.6867952346801758	-0.44146225	Yes	
row_43	FABP1	fatty acid binding protein 1 [Source:HGNC Symbol;Acc:HGNC:3555]	1259	-1.9348732233047485	-0.39593652	Yes	
row_44	APOA4	apolipoprotein A4 [Source:HGNC Symbol;Acc:HGNC:602]	1262	-2.3588438034057617	-0.33608592	Yes	
row_45	APOA1	apolipoprotein A1 [Source:HGNC Symbol;Acc:HGNC:600]	1266	-2.727443218231201	-0.2674455	Yes	
row_46	APOC3	apolipoprotein C3 [Source:HGNC Symbol;Acc:HGNC:610]	1268	-2.9166970252990723	-0.19223522	Yes	
row_47	FABP6	fatty acid binding protein 6 [Source:HGNC Symbol;Acc:HGNC:3561]	1269	-3.648376703262329	-0.09713413	Yes	
row_48	FABP2	fatty acid binding protein 2 [Source:HGNC Symbol;Acc:HGNC:3556]	1270	-3.7263708114624023	4.307367E-9	Yes	
