NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	S100A6	S100 calcium binding protein A6 [Source:HGNC Symbol;Acc:HGNC:10496]	1	1.8249326944351196	0.020309709	No	
row_1	RPS27A	ribosomal protein S27a [Source:HGNC Symbol;Acc:HGNC:10417]	15	1.3348257541656494	0.024421962	No	
row_2	ANXA1	annexin A1 [Source:HGNC Symbol;Acc:HGNC:533]	58	1.0583137273788452	-6.981753E-5	No	
row_3	TSPO	translocator protein [Source:HGNC Symbol;Acc:HGNC:1158]	64	1.0214496850967407	0.0074097533	No	
row_4	FXYD3	FXYD domain containing ion transport regulator 3 [Source:HGNC Symbol;Acc:HGNC:4027]	66	1.0110546350479126	0.018271277	No	
row_5	SLC12A2	solute carrier family 12 member 2 [Source:HGNC Symbol;Acc:HGNC:10911]	118	0.8279896974563599	-0.01677521	No	
row_6	UQCR11	ubiquinol-cytochrome c reductase, complex III subunit XI [Source:HGNC Symbol;Acc:HGNC:30862]	189	0.5853751301765442	-0.07127565	No	
row_7	FKBP1A	FKBP prolyl isomerase 1A [Source:HGNC Symbol;Acc:HGNC:3711]	199	0.5732502341270447	-0.072501786	No	
row_8	ANXA5	annexin A5 [Source:HGNC Symbol;Acc:HGNC:543]	202	0.5633208155632019	-0.067713596	No	
row_9	TFRC	transferrin receptor [Source:HGNC Symbol;Acc:HGNC:11763]	219	0.5463463664054871	-0.07538165	No	
row_10	NDUFA4	NDUFA4 mitochondrial complex associated [Source:HGNC Symbol;Acc:HGNC:7687]	220	0.5454450845718384	-0.06904966	No	
row_11	UQCR10	ubiquinol-cytochrome c reductase, complex III subunit X [Source:HGNC Symbol;Acc:HGNC:30863]	222	0.5415425300598145	-0.06363863	No	
row_12	KCNN4	potassium calcium-activated channel subfamily N member 4 [Source:HGNC Symbol;Acc:HGNC:6293]	257	0.47693338990211487	-0.087874316	No	
row_13	ATP2A2	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2 [Source:HGNC Symbol;Acc:HGNC:812]	264	0.4673498868942261	-0.087702855	No	
row_14	UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1 [Source:HGNC Symbol;Acc:HGNC:12458]	268	0.46371862292289734	-0.08494659	No	
row_15	FKBP4	FKBP prolyl isomerase 4 [Source:HGNC Symbol;Acc:HGNC:3720]	280	0.4493042826652527	-0.08936291	No	
row_16	COX7C	cytochrome c oxidase subunit 7C [Source:HGNC Symbol;Acc:HGNC:2292]	317	0.4177752733230591	-0.11603666	No	
row_17	VDAC1	voltage dependent anion channel 1 [Source:HGNC Symbol;Acc:HGNC:12669]	334	0.40679702162742615	-0.12532473	No	
row_18	IBTK	inhibitor of Bruton tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:17853]	340	0.4026070535182953	-0.1250292	No	
row_19	PARK7	Parkinsonism associated deglycase [Source:HGNC Symbol;Acc:HGNC:16369]	341	0.4025251865386963	-0.12035635	No	
row_20	CFTR	CF transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]	356	0.39435330033302307	-0.12803756	No	
row_21	KCNK1	potassium two pore domain channel subfamily K member 1 [Source:HGNC Symbol;Acc:HGNC:6272]	364	0.3856935203075409	-0.1296897	No	
row_22	YWHAE	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon [Source:HGNC Symbol;Acc:HGNC:12851]	370	0.38355112075805664	-0.1296154	No	
row_23	VDAC3	voltage dependent anion channel 3 [Source:HGNC Symbol;Acc:HGNC:12674]	428	0.34651315212249756	-0.1755052	No	
row_24	STARD10	StAR related lipid transfer domain containing 10 [Source:HGNC Symbol;Acc:HGNC:10666]	442	0.3365353047847748	-0.18298195	No	
row_25	CLIC4	chloride intracellular channel 4 [Source:HGNC Symbol;Acc:HGNC:13518]	467	0.32607346773147583	-0.20021237	No	
row_26	COX6A1	cytochrome c oxidase subunit 6A1 [Source:HGNC Symbol;Acc:HGNC:2277]	484	0.318014532327652	-0.2105311	No	
row_27	TOMM40	translocase of outer mitochondrial membrane 40 [Source:HGNC Symbol;Acc:HGNC:18001]	491	0.31327345967292786	-0.21214831	No	
row_28	ATP10B	ATPase phospholipid transporting 10B (putative) [Source:HGNC Symbol;Acc:HGNC:13543]	501	0.3097275197505951	-0.21643363	No	
row_29	KCNE3	potassium voltage-gated channel subfamily E regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:6243]	556	0.2882794141769409	-0.2603725	No	
row_30	SRI	sorcin [Source:HGNC Symbol;Acc:HGNC:11292]	564	0.28465917706489563	-0.26319754	No	
row_31	CALM2	calmodulin 2 [Source:HGNC Symbol;Acc:HGNC:1445]	568	0.28314584493637085	-0.2625375	No	
row_32	ATP6V1F	ATPase H+ transporting V1 subunit F [Source:HGNC Symbol;Acc:HGNC:16832]	607	0.2718659043312073	-0.29265642	No	
row_33	SLC2A1	solute carrier family 2 member 1 [Source:HGNC Symbol;Acc:HGNC:11005]	617	0.2663023769855499	-0.29744586	No	
row_34	ATOX1	antioxidant 1 copper chaperone [Source:HGNC Symbol;Acc:HGNC:798]	641	0.2604807913303375	-0.31456208	No	
row_35	GOT2	glutamic-oxaloacetic transaminase 2 [Source:HGNC Symbol;Acc:HGNC:4433]	653	0.25883540511131287	-0.32118952	No	
row_36	SLC4A7	solute carrier family 4 member 7 [Source:HGNC Symbol;Acc:HGNC:11033]	671	0.25454920530319214	-0.33312067	No	
row_37	SLC7A11	solute carrier family 7 member 11 [Source:HGNC Symbol;Acc:HGNC:11059]	685	0.25016888976097107	-0.34160003	No	
row_38	DENND5B	DENN domain containing 5B [Source:HGNC Symbol;Acc:HGNC:28338]	690	-0.25184574723243713	-0.34217903	No	
row_39	SLC9A2	solute carrier family 9 member A2 [Source:HGNC Symbol;Acc:HGNC:11072]	695	-0.2539786398410797	-0.34273323	No	
row_40	PRELID1	PRELI domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30255]	704	-0.25832563638687134	-0.34673965	No	
row_41	FTH1	ferritin heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:3976]	715	-0.26042091846466064	-0.35247302	No	
row_42	SFXN1	sideroflexin 1 [Source:HGNC Symbol;Acc:HGNC:16085]	729	-0.264760822057724	-0.36078298	No	
row_43	TRPM4	transient receptor potential cation channel subfamily M member 4 [Source:HGNC Symbol;Acc:HGNC:17993]	731	-0.26536092162132263	-0.35857812	No	
row_44	SLC35G1	solute carrier family 35 member G1 [Source:HGNC Symbol;Acc:HGNC:26607]	740	-0.267948180437088	-0.3624728	No	
row_45	SERINC3	serine incorporator 3 [Source:HGNC Symbol;Acc:HGNC:11699]	741	-0.26817986369132996	-0.35935953	No	
row_46	ANO6	anoctamin 6 [Source:HGNC Symbol;Acc:HGNC:25240]	745	-0.2690977156162262	-0.35886258	No	
row_47	ABCD1	ATP binding cassette subfamily D member 1 [Source:HGNC Symbol;Acc:HGNC:61]	765	-0.27601656317710876	-0.37229583	No	
row_48	SLC35A5	solute carrier family 35 member A5 [Source:HGNC Symbol;Acc:HGNC:20792]	776	-0.2823149561882019	-0.37777504	No	
row_49	SLC5A12	solute carrier family 5 member 12 [Source:HGNC Symbol;Acc:HGNC:28750]	781	-0.28620749711990356	-0.37795514	No	
row_50	SLC35B1	solute carrier family 35 member B1 [Source:HGNC Symbol;Acc:HGNC:20798]	788	-0.2893533706665039	-0.37985003	No	
row_51	TMC5	transmembrane channel like 5 [Source:HGNC Symbol;Acc:HGNC:22999]	791	-0.2910846471786499	-0.37822217	No	
row_52	SLC25A37	solute carrier family 25 member 37 [Source:HGNC Symbol;Acc:HGNC:29786]	792	-0.29136478900909424	-0.37483975	No	
row_53	SLC9A3	solute carrier family 9 member A3 [Source:HGNC Symbol;Acc:HGNC:11073]	796	-0.29210180044174194	-0.37407577	No	
row_54	PPFIA3	PTPRF interacting protein alpha 3 [Source:HGNC Symbol;Acc:HGNC:9247]	802	-0.29589784145355225	-0.375019	No	
