NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GPX1	glutathione peroxidase 1 [Source:HGNC Symbol;Acc:HGNC:4553]	72	0.9862943887710571	-0.049699627	No	
row_1	SNRPF	small nuclear ribonucleoprotein polypeptide F [Source:HGNC Symbol;Acc:HGNC:11162]	84	0.9410713911056519	-0.047251225	No	
row_2	PRDX6	peroxiredoxin 6 [Source:HGNC Symbol;Acc:HGNC:16753]	143	0.7324610352516174	-0.08807539	No	
row_3	CD44	CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681]	144	0.730023205280304	-0.07880089	No	
row_4	TOMM7	translocase of outer mitochondrial membrane 7 [Source:HGNC Symbol;Acc:HGNC:21648]	160	0.6732818484306335	-0.08321181	No	
row_5	LSM4	LSM4 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:17259]	162	0.6551991105079651	-0.0757522	No	
row_6	SEC61B	SEC61 translocon subunit beta [Source:HGNC Symbol;Acc:HGNC:16993]	188	0.5891520380973816	-0.08987498	No	
row_7	ANXA5	annexin A5 [Source:HGNC Symbol;Acc:HGNC:543]	202	0.5633208155632019	-0.09395429	No	
row_8	SNRPD1	small nuclear ribonucleoprotein D1 polypeptide [Source:HGNC Symbol;Acc:HGNC:11158]	207	0.5564059019088745	-0.0903427	No	
row_9	SNRPB	small nuclear ribonucleoprotein polypeptides B and B1 [Source:HGNC Symbol;Acc:HGNC:11153]	208	0.5540605187416077	-0.08330369	No	
row_10	YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta [Source:HGNC Symbol;Acc:HGNC:12853]	232	0.5337080359458923	-0.09640225	No	
row_11	DUOX2	dual oxidase 2 [Source:HGNC Symbol;Acc:HGNC:13273]	263	0.4690738618373871	-0.11637207	No	
row_12	FABP5	fatty acid binding protein 5 [Source:HGNC Symbol;Acc:HGNC:3560]	266	0.4659968614578247	-0.11218047	No	
row_13	AKR1B10	aldo-keto reductase family 1 member B10 [Source:HGNC Symbol;Acc:HGNC:382]	269	0.4620147943496704	-0.10803946	No	
row_14	DUT	deoxyuridine triphosphatase [Source:HGNC Symbol;Acc:HGNC:3078]	282	0.44682660698890686	-0.112734444	No	
row_15	PARK7	Parkinsonism associated deglycase [Source:HGNC Symbol;Acc:HGNC:16369]	341	0.4025251865386963	-0.15775025	No	
row_16	VCP	valosin containing protein [Source:HGNC Symbol;Acc:HGNC:12666]	347	0.39957109093666077	-0.15699546	No	
row_17	HINT1	histidine triad nucleotide binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4912]	392	0.3677305579185486	-0.19035305	No	
row_18	PRDX1	peroxiredoxin 1 [Source:HGNC Symbol;Acc:HGNC:9352]	405	0.3589172661304474	-0.19616488	No	
row_19	ATG9B	autophagy related 9B [Source:HGNC Symbol;Acc:HGNC:21899]	421	0.3507792353630066	-0.20467299	No	
row_20	HK2	hexokinase 2 [Source:HGNC Symbol;Acc:HGNC:4923]	463	0.3280578553676605	-0.2359417	No	
row_21	CDC37	cell division cycle 37, HSP90 cochaperone [Source:HGNC Symbol;Acc:HGNC:1735]	468	0.3258790969848633	-0.23525882	No	
