NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MIF	macrophage migration inhibitory factor [Source:HGNC Symbol;Acc:HGNC:7097]	57	1.0691020488739014	-0.04429649	No	
row_1	NME1	NME/NM23 nucleoside diphosphate kinase 1 [Source:HGNC Symbol;Acc:HGNC:7849]	69	0.9985309839248657	-0.046231583	No	
row_2	GPX1	glutathione peroxidase 1 [Source:HGNC Symbol;Acc:HGNC:4553]	72	0.9862943887710571	-0.039865468	No	
row_3	SCD	stearoyl-CoA desaturase [Source:HGNC Symbol;Acc:HGNC:10571]	73	0.9840580224990845	-0.03165061	No	
row_4	PTGES3	prostaglandin E synthase 3 [Source:HGNC Symbol;Acc:HGNC:16049]	120	0.8163634538650513	-0.06778617	No	
row_5	HSPA8	heat shock protein family A (Hsp70) member 8 [Source:HGNC Symbol;Acc:HGNC:5241]	164	0.6465098261833191	-0.10253853	No	
row_6	PGD	phosphogluconate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:8891]	181	0.6039797067642212	-0.112435855	No	
row_7	UQCR11	ubiquinol-cytochrome c reductase, complex III subunit XI [Source:HGNC Symbol;Acc:HGNC:30862]	189	0.5853751301765442	-0.11408513	No	
row_8	GSR	glutathione-disulfide reductase [Source:HGNC Symbol;Acc:HGNC:4623]	191	0.584474503993988	-0.110139675	No	
row_9	MBOAT1	membrane bound O-acyltransferase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21579]	214	0.5516892075538635	-0.12607576	No	
row_10	NDUFA4	NDUFA4 mitochondrial complex associated [Source:HGNC Symbol;Acc:HGNC:7687]	220	0.5454450845718384	-0.12619095	No	
row_11	UQCR10	ubiquinol-cytochrome c reductase, complex III subunit X [Source:HGNC Symbol;Acc:HGNC:30863]	222	0.5415425300598145	-0.122603886	No	
row_12	LBR	lamin B receptor [Source:HGNC Symbol;Acc:HGNC:6518]	226	0.5386313199996948	-0.12090854	No	
row_13	DTYMK	deoxythymidylate kinase [Source:HGNC Symbol;Acc:HGNC:3061]	234	0.5300902724266052	-0.12301933	No	
row_14	GCLC	glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]	238	0.5175463557243347	-0.12150001	No	
row_15	FABP5	fatty acid binding protein 5 [Source:HGNC Symbol;Acc:HGNC:3560]	266	0.4659968614578247	-0.14281997	No	
row_16	AKR1B10	aldo-keto reductase family 1 member B10 [Source:HGNC Symbol;Acc:HGNC:382]	269	0.4620147943496704	-0.14083052	No	
row_17	CMAS	cytidine monophosphate N-acetylneuraminic acid synthetase [Source:HGNC Symbol;Acc:HGNC:18290]	270	0.46072494983673096	-0.13698441	No	
row_18	DUT	deoxyuridine triphosphatase [Source:HGNC Symbol;Acc:HGNC:3078]	282	0.44682660698890686	-0.14352511	No	
row_19	APRT	adenine phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:626]	283	0.44662290811538696	-0.13979672	No	
row_20	HIF1A	hypoxia inducible factor 1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:4910]	284	0.44610700011253357	-0.13607265	No	
row_21	FASN	fatty acid synthase [Source:HGNC Symbol;Acc:HGNC:3594]	285	0.44585850834846497	-0.13235064	No	
row_22	ODC1	ornithine decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:8109]	292	0.43809011578559875	-0.13429573	No	
row_23	ERH	ERH mRNA splicing and mitosis factor [Source:HGNC Symbol;Acc:HGNC:3447]	311	0.42239654064178467	-0.14757632	No	
row_24	COX7C	cytochrome c oxidase subunit 7C [Source:HGNC Symbol;Acc:HGNC:2292]	317	0.4177752733230591	-0.1487573	No	
row_25	PGLS	6-phosphogluconolactonase [Source:HGNC Symbol;Acc:HGNC:8903]	321	0.41502758860588074	-0.14809377	No	
row_26	PARK7	Parkinsonism associated deglycase [Source:HGNC Symbol;Acc:HGNC:16369]	341	0.4025251865386963	-0.16247395	No	
row_27	VCP	valosin containing protein [Source:HGNC Symbol;Acc:HGNC:12666]	347	0.39957109093666077	-0.16380689	No	
row_28	FAR1	fatty acyl-CoA reductase 1 [Source:HGNC Symbol;Acc:HGNC:26222]	354	0.3969111442565918	-0.16609575	No	
row_29	CFTR	CF transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]	356	0.39435330033302307	-0.16373742	No	
row_30	AKT1	AKT serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:391]	376	0.3779148459434509	-0.17832303	No	
row_31	GLO1	glyoxalase I [Source:HGNC Symbol;Acc:HGNC:4323]	384	0.3719477355480194	-0.18175398	No	
row_32	ELOVL6	ELOVL fatty acid elongase 6 [Source:HGNC Symbol;Acc:HGNC:15829]	388	0.37027984857559204	-0.18146403	No	
row_33	HINT1	histidine triad nucleotide binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4912]	392	0.3677305579185486	-0.18119535	No	
row_34	CNBP	CCHC-type zinc finger nucleic acid binding protein [Source:HGNC Symbol;Acc:HGNC:13164]	424	0.34980306029319763	-0.20722012	No	
row_35	IDI1	isopentenyl-diphosphate delta isomerase 1 [Source:HGNC Symbol;Acc:HGNC:5387]	433	0.34290289878845215	-0.21182725	No	
row_36	RBP1	retinol binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9919]	441	0.33832940459251404	-0.21553884	No	
row_37	MAT2A	methionine adenosyltransferase 2A [Source:HGNC Symbol;Acc:HGNC:6904]	444	0.33613407611846924	-0.21460024	No	
row_38	HK2	hexokinase 2 [Source:HGNC Symbol;Acc:HGNC:4923]	463	0.3280578553676605	-0.22866835	No	
row_39	GSS	glutathione synthetase [Source:HGNC Symbol;Acc:HGNC:4624]	473	0.32288792729377747	-0.23437625	No	
row_40	RDH10	retinol dehydrogenase 10 [Source:HGNC Symbol;Acc:HGNC:19975]	479	0.3195706307888031	-0.23637703	No	
row_41	SUCLG2	succinate-CoA ligase GDP-forming subunit beta [Source:HGNC Symbol;Acc:HGNC:11450]	483	0.31816327571868896	-0.23652214	No	
row_42	COX6A1	cytochrome c oxidase subunit 6A1 [Source:HGNC Symbol;Acc:HGNC:2277]	484	0.318014532327652	-0.23386738	No	
row_43	SMPD3	sphingomyelin phosphodiesterase 3 [Source:HGNC Symbol;Acc:HGNC:14240]	508	0.30643269419670105	-0.25278455	No	
row_44	NDUFA7	NADH:ubiquinone oxidoreductase subunit A7 [Source:HGNC Symbol;Acc:HGNC:7691]	509	0.30554378032684326	-0.2502339	No	
row_45	EEF1E1	eukaryotic translation elongation factor 1 epsilon 1 [Source:HGNC Symbol;Acc:HGNC:3212]	519	0.3031326234340668	-0.2561067	No	
row_46	NDUFC1	NADH:ubiquinone oxidoreductase subunit C1 [Source:HGNC Symbol;Acc:HGNC:7705]	534	0.29637059569358826	-0.26670453	No	
row_47	DCTPP1	dCTP pyrophosphatase 1 [Source:HGNC Symbol;Acc:HGNC:28777]	535	0.29608961939811707	-0.26423278	No	
row_48	SMS	spermine synthase [Source:HGNC Symbol;Acc:HGNC:11123]	545	0.29234573245048523	-0.27019566	No	
row_49	ATIC	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase [Source:HGNC Symbol;Acc:HGNC:794]	546	0.29206013679504395	-0.26775756	No	
row_50	ME1	malic enzyme 1 [Source:HGNC Symbol;Acc:HGNC:6983]	559	0.28761300444602966	-0.27656108	No	
row_51	IMPDH2	inosine monophosphate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:6053]	560	0.2869499921798706	-0.27416563	No	
row_52	CALM2	calmodulin 2 [Source:HGNC Symbol;Acc:HGNC:1445]	568	0.28314584493637085	-0.2783379	No	
row_53	ACLY	ATP citrate lyase [Source:HGNC Symbol;Acc:HGNC:115]	572	0.2820367217063904	-0.27878457	No	
row_54	NDUFC2	NADH:ubiquinone oxidoreductase subunit C2 [Source:HGNC Symbol;Acc:HGNC:7706]	577	0.28007376194000244	-0.28018138	No	
row_55	DNMT1	DNA methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:2976]	594	0.2744017243385315	-0.29283	No	
row_56	SLC2A1	solute carrier family 2 member 1 [Source:HGNC Symbol;Acc:HGNC:11005]	617	0.2663023769855499	-0.31114846	No	
row_57	IDH3A	isocitrate dehydrogenase (NAD(+)) 3 catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:5384]	618	0.2662072777748108	-0.3089262	No	
row_58	OLA1	Obg like ATPase 1 [Source:HGNC Symbol;Acc:HGNC:28833]	635	0.26266026496887207	-0.32167283	No	
row_59	NDUFB6	NADH:ubiquinone oxidoreductase subunit B6 [Source:HGNC Symbol;Acc:HGNC:7701]	652	0.25892311334609985	-0.33445066	No	
row_60	GOT2	glutamic-oxaloacetic transaminase 2 [Source:HGNC Symbol;Acc:HGNC:4433]	653	0.25883540511131287	-0.3322899	No	
row_61	RRM2	ribonucleotide reductase regulatory subunit M2 [Source:HGNC Symbol;Acc:HGNC:10452]	665	0.2555435299873352	-0.34042743	No	
row_62	PDE5A	phosphodiesterase 5A [Source:HGNC Symbol;Acc:HGNC:8784]	693	-0.2536242604255676	-0.36352026	No	
row_63	ALDH9A1	aldehyde dehydrogenase 9 family member A1 [Source:HGNC Symbol;Acc:HGNC:412]	696	-0.25422900915145874	-0.3632654	No	
row_64	PPARGC1A	PPARG coactivator 1 alpha [Source:HGNC Symbol;Acc:HGNC:9237]	709	-0.2587960958480835	-0.37230945	No	
row_65	MSMO1	methylsterol monooxygenase 1 [Source:HGNC Symbol;Acc:HGNC:10545]	710	-0.25897055864334106	-0.3701476	No	
row_66	AZIN1	antizyme inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:16432]	711	-0.2593008279800415	-0.36798295	No	
row_67	FAAH	fatty acid amide hydrolase [Source:HGNC Symbol;Acc:HGNC:3553]	716	-0.2604481875896454	-0.36954358	No	
row_68	HMGCS1	3-hydroxy-3-methylglutaryl-CoA synthase 1 [Source:HGNC Symbol;Acc:HGNC:5007]	721	-0.2626231014728546	-0.37108603	No	
row_69	TNFRSF1A	TNF receptor superfamily member 1A [Source:HGNC Symbol;Acc:HGNC:11916]	725	-0.26396360993385315	-0.37168363	No	
row_70	DHCR24	24-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2859]	726	-0.26444530487060547	-0.36947605	No	
row_71	NPL	N-acetylneuraminate pyruvate lyase [Source:HGNC Symbol;Acc:HGNC:16781]	728	-0.26451805233955383	-0.36820155	No	
row_72	B4GALT5	beta-1,4-galactosyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:928]	738	-0.26738879084587097	-0.37437278	No	
row_73	ALDH1L1	aldehyde dehydrogenase 1 family member L1 [Source:HGNC Symbol;Acc:HGNC:3978]	739	-0.26777830719947815	-0.3721374	No	
row_74	BPNT1	3'(2'), 5'-bisphosphate nucleotidase 1 [Source:HGNC Symbol;Acc:HGNC:1096]	744	-0.2688548266887665	-0.3736278	No	
row_75	HAGH	hydroxyacylglutathione hydrolase [Source:HGNC Symbol;Acc:HGNC:4805]	752	-0.27164173126220703	-0.37789613	No	
