NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GO_POSITIVE_REGULATION_OF_VIRAL_TRANSCRIPTION	39		Rejected!	
GO_CARDIAC_CHAMBER_DEVELOPMENT	144		Rejected!	
GO_DNA_DEPENDENT_DNA_REPLICATION_MAINTENANCE_OF_FIDELITY	24		Rejected!	
GO_CIRCADIAN_RHYTHM	137	18		
GO_PHOSPHATIDYLSERINE_ACYL_CHAIN_REMODELING	17		Rejected!	
GO_SPINAL_CORD_DEVELOPMENT	106		Rejected!	
GO_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	34		Rejected!	
GO_CELLULAR_RESPONSE_TO_LIPOPROTEIN_PARTICLE_STIMULUS	13		Rejected!	
GO_REGULATION_OF_NLRP3_INFLAMMASOME_COMPLEX_ASSEMBLY	11		Rejected!	
GO_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION	57		Rejected!	
GO_POSITIVE_REGULATION_OF_KINASE_ACTIVITY	482	36		
GO_NEGATIVE_REGULATION_OF_TRANSCRIPTION_FACTOR_IMPORT_INTO_NUCLEUS	39		Rejected!	
GO_POTASSIUM_ION_TRANSPORT	154		Rejected!	
GO_REGULATION_OF_T_CELL_RECEPTOR_SIGNALING_PATHWAY	28		Rejected!	
GO_CARDIAC_MUSCLE_ADAPTATION	11		Rejected!	
GO_NEGATIVE_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION	115		Rejected!	
GO_MOVEMENT_IN_ENVIRONMENT_OF_OTHER_ORGANISM_INVOLVED_IN_SYMBIOTIC_INTERACTION	87		Rejected!	
GO_REGULATION_OF_PROTEIN_TARGETING_TO_MITOCHONDRION	98		Rejected!	
GO_APICAL_PROTEIN_LOCALIZATION	12		Rejected!	
GO_REGULATION_OF_ESTABLISHMENT_OF_PLANAR_POLARITY	110	15		
GO_FOREBRAIN_NEURON_DEVELOPMENT	34		Rejected!	
GO_POSITIVE_REGULATION_OF_PROTEIN_MATURATION	19		Rejected!	
GO_NEUROMUSCULAR_JUNCTION_DEVELOPMENT	36		Rejected!	
GO_MITOTIC_CYTOKINESIS	31		Rejected!	
GO_NEGATIVE_REGULATION_OF_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS	39		Rejected!	
GO_SMAD_PROTEIN_SIGNAL_TRANSDUCTION	56		Rejected!	
GO_CYTOPLASMIC_TRANSLATION	41	26		
GO_MEIOTIC_CHROMOSOME_SEGREGATION	65		Rejected!	
GO_POSITIVE_REGULATION_OF_CALCIUM_ION_TRANSPORT	106		Rejected!	
GO_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR	38		Rejected!	
GO_RNA_DEPENDENT_DNA_BIOSYNTHETIC_PROCESS	27		Rejected!	
GO_REGULATION_OF_B_CELL_RECEPTOR_SIGNALING_PATHWAY	15		Rejected!	
GO_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY	127		Rejected!	
GO_DENDRITE_DEVELOPMENT	79		Rejected!	
GO_REGULATION_OF_RESPIRATORY_BURST	14		Rejected!	
GO_G_PROTEIN_COUPLED_RECEPTOR_INTERNALIZATION	13		Rejected!	
GO_MEMORY	98		Rejected!	
GO_NEURON_DEVELOPMENT	687	43		
GO_REGULATION_OF_GOLGI_ORGANIZATION	12		Rejected!	
GO_ENDOTHELIAL_CELL_DEVELOPMENT	45		Rejected!	
GO_POSITIVE_REGULATION_OF_MYOTUBE_DIFFERENTIATION	29		Rejected!	
GO_REGULATION_OF_CELL_ACTIVATION	484	37		
