NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	Details ...	79	0.89638054	4.8016114	0.0	0.0	0.0	128	tags=89%, list=10%, signal=92%	
GO_MULTI_ORGANISM_METABOLIC_PROCESS	GO_MULTI_ORGANISM_METABOLIC_PROCESS	Details ...	86	0.8664938	4.7130866	0.0	0.0	0.0	156	tags=85%, list=12%, signal=90%	
GO_PROTEIN_TARGETING_TO_MEMBRANE	GO_PROTEIN_TARGETING_TO_MEMBRANE	Details ...	83	0.8835848	4.6947107	0.0	0.0	0.0	128	tags=84%, list=10%, signal=88%	
GO_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	GO_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	Details ...	80	0.89284146	4.6789007	0.0	0.0	0.0	128	tags=88%, list=10%, signal=91%	
GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY	GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY	Details ...	83	0.88023317	4.675803	0.0	0.0	0.0	128	tags=84%, list=10%, signal=88%	
GO_NCRNA_METABOLIC_PROCESS	GO_NCRNA_METABOLIC_PROCESS	Details ...	100	0.8216802	4.630495	0.0	0.0	0.0	156	tags=75%, list=12%, signal=79%	
GO_RRNA_METABOLIC_PROCESS	GO_RRNA_METABOLIC_PROCESS	Details ...	92	0.84641004	4.5716066	0.0	0.0	0.0	156	tags=80%, list=12%, signal=85%	
GO_NCRNA_PROCESSING	GO_NCRNA_PROCESSING	Details ...	95	0.84092456	4.5575542	0.0	0.0	0.0	156	tags=79%, list=12%, signal=83%	
GO_RIBOSOME_BIOGENESIS	GO_RIBOSOME_BIOGENESIS	Details ...	101	0.8258364	4.5425534	0.0	0.0	0.0	136	tags=73%, list=11%, signal=76%	
GO_RNA_CATABOLIC_PROCESS	GO_RNA_CATABOLIC_PROCESS	Details ...	98	0.81215185	4.5083437	0.0	0.0	0.0	163	tags=76%, list=13%, signal=80%	
GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE	GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE	Details ...	99	0.80638963	4.486402	0.0	0.0	0.0	128	tags=73%, list=10%, signal=75%	
GO_TRANSLATIONAL_INITIATION	GO_TRANSLATIONAL_INITIATION	Details ...	101	0.8112678	4.4548187	0.0	0.0	0.0	128	tags=70%, list=10%, signal=72%	
GO_PROTEIN_TARGETING	GO_PROTEIN_TARGETING	Details ...	121	0.75766087	4.394508	0.0	0.0	0.0	164	tags=65%, list=13%, signal=68%	
