NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPS19	ribosomal protein S19 [Source:HGNC Symbol;Acc:HGNC:10402]	10	1.3945354223251343	0.065842174	Yes	
row_1	RPL39	ribosomal protein L39 [Source:HGNC Symbol;Acc:HGNC:10350]	23	1.2893012762069702	0.12449968	Yes	
row_2	NPM1	nucleophosmin 1 [Source:HGNC Symbol;Acc:HGNC:7910]	32	1.2022429704666138	0.18176255	Yes	
row_3	RPS9	ribosomal protein S9 [Source:HGNC Symbol;Acc:HGNC:10442]	36	1.167751431465149	0.24122047	Yes	
row_4	NME1	NME/NM23 nucleoside diphosphate kinase 1 [Source:HGNC Symbol;Acc:HGNC:7849]	69	0.9985309839248657	0.26838186	Yes	
row_5	RPS3A	ribosomal protein S3A [Source:HGNC Symbol;Acc:HGNC:10421]	106	0.8604964017868042	0.2850117	Yes	
row_6	RPL9	ribosomal protein L9 [Source:HGNC Symbol;Acc:HGNC:10369]	112	0.8523621559143066	0.32615024	Yes	
row_7	EIF5A	eukaryotic translation initiation factor 5A [Source:HGNC Symbol;Acc:HGNC:3300]	126	0.7835948467254639	0.35720918	Yes	
row_8	CCND2	cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583]	131	0.7622792720794678	0.3943793	Yes	
row_9	CAPG	capping actin protein, gelsolin like [Source:HGNC Symbol;Acc:HGNC:1474]	175	0.6201288104057312	0.3926421	Yes	
row_10	EIF3A	eukaryotic translation initiation factor 3 subunit A [Source:HGNC Symbol;Acc:HGNC:3271]	180	0.6043892502784729	0.42144668	Yes	
row_11	HIF1A	hypoxia inducible factor 1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:4910]	284	0.44610700011253357	0.36221892	No	
row_12	AKT1	AKT serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:391]	376	0.3779148459434509	0.30903214	No	
row_13	EIF3J	eukaryotic translation initiation factor 3 subunit J [Source:HGNC Symbol;Acc:HGNC:3270]	438	0.3403122127056122	0.27798823	No	
row_14	UBE2N	ubiquitin conjugating enzyme E2 N [Source:HGNC Symbol;Acc:HGNC:12492]	505	0.30804717540740967	0.24121225	No	
row_15	EIF3D	eukaryotic translation initiation factor 3 subunit D [Source:HGNC Symbol;Acc:HGNC:3278]	521	0.3022186756134033	0.24515724	No	
row_16	WARS1	tryptophanyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:12729]	622	0.26575967669487	0.17878757	No	
row_17	FLNA	filamin A [Source:HGNC Symbol;Acc:HGNC:3754]	637	0.2617831230163574	0.18139465	No	
row_18	HLA-E	major histocompatibility complex, class I, E [Source:HGNC Symbol;Acc:HGNC:4962]	703	-0.25807103514671326	0.1427753	No	
row_19	JAK2	Janus kinase 2 [Source:HGNC Symbol;Acc:HGNC:6192]	784	-0.28793269395828247	0.09367053	No	
row_20	NOS2	nitric oxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:7873]	833	-0.3117631673812866	0.07157255	No	
row_21	CTSS	cathepsin S [Source:HGNC Symbol;Acc:HGNC:2545]	907	-0.3589349091053009	0.031861257	No	
row_22	IL18	interleukin 18 [Source:HGNC Symbol;Acc:HGNC:5986]	944	-0.39616748690605164	0.023889368	No	
row_23	IRF7	interferon regulatory factor 7 [Source:HGNC Symbol;Acc:HGNC:6122]	1054	-0.5112994313240051	-0.036711324	No	
row_24	TAPBP	TAP binding protein [Source:HGNC Symbol;Acc:HGNC:11566]	1068	-0.529076337814331	-0.019137628	No	
row_25	CD74	CD74 molecule [Source:HGNC Symbol;Acc:HGNC:1697]	1173	-0.821943461894989	-0.05925682	No	
row_26	HLA-A	major histocompatibility complex, class I, A [Source:HGNC Symbol;Acc:HGNC:4931]	1223	-1.1691548824310303	-0.036731776	No	
row_27	B2M	beta-2-microglobulin [Source:HGNC Symbol;Acc:HGNC:914]	1239	-1.3917396068572998	0.024939744	No	
